time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	BODY_x	BODY_y	BODY_z	
0.025	-5.05199e-05	0.000982543	0.222535	-7.44931e-05	-0.00798871	2.16884e-06	-7.37635e-05	0.0732146	2.09091e-06	0	0.000797862	0.00476359	-0.0115966	0.282262
0.05	-5.05182e-05	0.00101249	0.222535	-7.44947e-05	-0.00798864	2.16716e-06	-7.37651e-05	0.0732146	2.08867e-06	0	0.00161533	0.00476353	-0.0115548	0.282261
0.075	-5.05154e-05	0.00106322	0.222535	-7.44972e-05	-0.00798853	2.16433e-06	-7.37678e-05	0.0732148	2.08487e-06	0	0.0024725	0.00476344	-0.0114841	0.282259
0.1	-5.05113e-05	0.00113597	0.222535	-7.45009e-05	-0.00798836	2.16027e-06	-7.37716e-05	0.0732149	2.07944e-06	0	0.00339043	0.00476331	-0.0113826	0.282256
0.125	-5.05059e-05	0.00123254	0.222536	-7.45058e-05	-0.00798814	2.15492e-06	-7.37767e-05	0.0732151	2.07227e-06	0	0.00439168	0.00476314	-0.011248	0.282251
0.15	-5.04991e-05	0.0013553	0.222536	-7.4512e-05	-0.00798787	2.14816e-06	-7.37832e-05	0.0732154	2.06319e-06	0	0.00550085	0.00476292	-0.0110768	0.282246
0.175	-5.04907e-05	0.00150727	0.222536	-7.45197e-05	-0.00798753	2.13985e-06	-7.37912e-05	0.0732158	2.05202e-06	0	0.00674521	0.00476266	-0.010865	0.282239
0.2	-5.04806e-05	0.00169218	0.222536	-7.4529e-05	-0.00798711	2.12985e-06	-7.3801e-05	0.0732162	2.03853e-06	0	0.00815533	0.00476233	-0.0106072	0.282231
0.225	-5.04684e-05	0.00191457	0.222536	-7.45403e-05	-0.00798661	2.11798e-06	-7.38127e-05	0.0732167	2.02246e-06	0	0.00976588	0.00476195	-0.0102972	0.282222
0.25	-5.04541e-05	0.00217992	0.222536	-7.45536e-05	-0.00798601	2.10402e-06	-7.38267e-05	0.0732173	2.00349e-06	0	0.0116164	0.00476149	-0.00992734	0.282211
0.275	-5.04371e-05	0.00249473	0.222537	-7.45695e-05	-0.0079853	2.08776e-06	-7.38432e-05	0.073218	1.98129e-06	0	0.0137524	0.00476095	-0.00948861	0.282198
