time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0111356	6.79026	2.53435	0.0154678	-2.49855	-6.76155	0.00819689	10.9894	2.50508	0.0121921	-2.46884	-10.9607	
0.05	0.0111414	6.78195	2.5344	0.015474	-2.4986	-6.75323	0.00820263	10.9813	2.50515	0.0122014	-2.46892	-10.9526	
0.075	0.0111512	6.76786	2.53448	0.0154845	-2.49867	-6.73915	0.00821235	10.9676	2.50527	0.012217	-2.46904	-10.9389	
0.1	0.0111651	6.74766	2.53459	0.0154996	-2.49879	-6.71895	0.0082263	10.9479	2.50544	0.0122393	-2.46921	-10.9192	
0.125	0.0111837	6.72085	2.53473	0.0155195	-2.49894	-6.69213	0.00824481	10.9218	2.50567	0.0122689	-2.46944	-10.893	
0.15	0.0112073	6.68676	2.53492	0.0155447	-2.49912	-6.65804	0.00826834	10.8885	2.50595	0.0123064	-2.46973	-10.8598	
0.175	0.0112366	6.64455	2.53515	0.0155758	-2.49936	-6.61583	0.00829747	10.8473	2.5063	0.0123527	-2.47008	-10.8186	
0.2	0.0112721	6.59318	2.53543	0.0156133	-2.49964	-6.56447	0.00833291	10.7972	2.50673	0.0124088	-2.47052	-10.7685	
0.225	0.0113149	6.53139	2.53576	0.015658	-2.49997	-6.50267	0.00837554	10.737	2.50724	0.0124759	-2.47104	-10.7082	
0.25	0.0113659	6.45764	2.53615	0.0157109	-2.50037	-6.42893	0.00842641	10.665	2.50785	0.0125554	-2.47165	-10.6363	
0.275	0.0114265	6.37012	2.53661	0.0157729	-2.50084	-6.3414	0.00848676	10.5796	2.50856	0.0126491	-2.47238	-10.5509	
0.3	0.011498	6.26665	2.53714	0.0158452	-2.50138	-6.23794	0.00855808	10.4786	2.5094	0.0127587	-2.47323	-10.4498	
0.325	0.0115823	6.14468	2.53776	0.0159289	-2.50201	-6.11597	0.00864212	10.3594	2.51038	0.0128866	-2.47422	-10.3307	
0.35	0.0116815	6.00119	2.53848	0.0160254	-2.50273	-5.97247	0.00874096	10.2193	2.51152	0.013035	-2.47538	-10.1905	
0.375	0.0117979	5.8326	2.5393	0.016136	-2.50357	-5.80388	0.00885702	10.0545	2.51284	0.0132066	-2.47672	-10.0258	
0.4	0.0119345	5.63474	2.54023	0.0162619	-2.50451	-5.60602	0.00899316	9.86102	2.51437	0.0134042	-2.47826	-9.83231	
0.425	0.0120945	5.40268	2.54129	0.0164043	-2.50559	-5.37396	0.00915273	9.63398	2.51612	0.0136308	-2.48004	-9.60526	
0.45	0.012282	5.13064	2.54248	0.0165641	-2.50679	-5.10192	0.00933966	9.36763	2.51812	0.0138893	-2.48208	-9.33891	
0.475	0.0125015	4.81184	2.54381	0.0167413	-2.50814	-4.78312	0.00955856	9.05525	2.52041	0.0141824	-2.4844	-9.02653	
0.5	0.0127584	4.43832	2.54526	0.0169354	-2.50961	-4.40961	0.0098148	8.6889	2.52299	0.0145124	-2.48702	-8.66018	
0	0.0127584	4.43832	2.54526	0.0169354	-2.50961	-4.40961	0.0098148	8.6889	2.52299	0.0145124	-2.48702	-8.66018	
0.025	0.0130572	4.00345	2.54681	0.0171429	-2.51118	-3.97474	0.0101129	8.26189	2.52588	0.0148783	-2.48995	-8.23318	
0.05	0.0133956	3.51037	2.5484	0.0173544	-2.51279	-3.48166	0.0104505	7.7771	2.52899	0.0152697	-2.4931	-7.74838	
0.075	0.0137696	2.96485	2.54994	0.0175587	-2.51435	-2.93614	0.0108238	7.23997	2.53222	0.0156734	-2.49639	-7.21125	
0.1	0.0141752	2.37277	2.55136	0.0177455	-2.51579	-2.34406	0.0112286	6.65605	2.5355	0.0160769	-2.4997	-6.62734	
0.125	0.0146082	1.74012	2.55257	0.0179048	-2.51702	-1.7114	0.0116609	6.03103	2.53871	0.0164682	-2.50296	-6.00232	
0.15	0.0150644	1.07297	2.55352	0.0180278	-2.51798	-1.04426	0.0121166	5.37072	2.54178	0.0168363	-2.50608	-5.342	
0.175	0.0155398	0.377543	2.55415	0.0181071	-2.51861	-0.348827	0.0125915	4.68106	2.54463	0.0171714	-2.50897	-4.65235	
0.2	0.0160302	-0.339882	2.55441	0.0181363	-2.51888	0.368598	0.0130814	3.96815	2.5472	0.017465	-2.51158	-3.93943	
0.225	0.0165313	-1.07293	2.55427	0.0181111	-2.51873	1.10164	0.0135823	3.23818	2.54943	0.0177103	-2.51383	-3.20946	
0.25	0.0170389	-1.81516	2.55371	0.0180289	-2.51815	1.84387	0.0140898	2.49749	2.55128	0.0179023	-2.5157	-2.46877	
