L_C_roll	L_A_roll	L_Linear	
0	0	-0.02474	
0	0	-0.0258396	
0	0	-0.0257709	
0	0	-0.0257022	
0	0	-0.0257022	
0	0	-0.0257022	
0	0	-0.0257022	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0255647	
0	0	-0.0256334	
0	0	-0.0252211	
0	0	-0.0257022	
0	0	-0.0252898	
0	0	-0.025496	
0	0	-0.0254273	
0	0	-0.0252898	
0	0	-0.0252898	
0	0	-0.0252898	
0	0	-0.0252211	
0	0	-0.0251524	
0	0	-0.0251524	
0	0	-0.0250149	
0	0	-0.0249462	
0	0	-0.0248775	
0	0	-0.0248088	
0	0	-0.0246713	
0	0	-0.02474	
0	0	-0.0246026	
0	0	-0.0246713	
0	0	-0.0246026	
0	0	-0.0246713	
0	0	-0.0246026	
0	0	-0.02474	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0244652	
0	0	-0.0246026	
0	0	-0.0246713	
0	0	-0.0246026	
0	0	-0.0246713	
0	0	-0.0245339	
0	0	-0.0246026	
0	0	-0.0245339	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.025496	
0	0	-0.025496	
0	0	-0.0257022	
0	0	-0.0256334	
0	0	-0.0253585	
0	0	-0.0256334	
0	0	-0.0253585	
0	0	-0.0257022	
0	0	-0.025496	
0	0	-0.0261832	
0	0	-0.0260458	
0	0	-0.0261832	
0	0	-0.0261832	
0	0	-0.0260458	
0	0	-0.0260458	
0	0	-0.0260458	
0	0	-0.0261145	
0	0	-0.0261145	
0	0	-0.0261832	
0	0	-0.0261145	
0	0	-0.0262519	
0	0	-0.0263207	
0	0	-0.0263894	
0	0	-0.027214	
0	0	-0.0270079	
0	0	-0.0272828	
0	0	-0.0274202	
0	0	-0.0274889	
0	0	-0.0276264	
0	0	-0.0276264	
0	0	-0.0275577	
0	0	-0.0276264	
0	0	-0.0277638	
0	0	-0.0277638	
0	0	-0.0277638	
0	0	-0.0277638	
0	0	-0.0277638	
0	0	-0.0277638	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0277638	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0277638	
0	0	-0.0278325	
0	0	-0.0277638	
0	0	-0.0279013	
0	0	-0.0278325	
0	0	-0.0279013	
0	0	-0.0278325	
0	0	-0.0279013	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
0	0	-0.0278325	
