L_C_roll	L_A_roll	L_Linear	
4.96703	-4.52747	0	
4.96703	-4.96703	0	
4.96703	-5.23077	0	
4.96703	-5.58242	0	
4.96703	-5.67033	0	
4.96703	-5.40659	0	
4.96703	-5.05495	0	
4.96703	-4.87912	0	
4.96703	-4.61538	0	
4.96703	-4.35165	0	
4.96703	-4.61538	0	
4.96703	-4.96703	0	
4.96703	-5.31868	0	
4.96703	-5.49451	0	
4.96703	-5.49451	0	
4.87912	-5.14286	0	
4.87912	-4.87912	0	
4.87912	-4.43956	0	
4.87912	-4.35165	0	
4.87912	-4.43956	0	
4.96703	-4.87912	0	
4.87912	-5.05495	0	
4.87912	-5.40659	0	
4.87912	-5.49451	0	
4.87912	-4.96703	0	
4.79121	-4.7033	0	
4.61538	-4.35165	0	
4.7033	-4.08791	0	
4.61538	-4	0	
4.52747	-4.17582	0	
4.43956	-4.43956	0	
4.43956	-4.61538	0	
4.26374	-4.87912	0	
4.26374	-4.61538	0	
4.08791	-4.08791	0	
4	-3.73626	0	
3.91209	-3.2967	0	
3.73626	-3.12088	0	
3.56044	-3.47253	0	
3.2967	-3.47253	0	
3.03297	-3.2967	0	
2.68132	-3.12088	0	
2.50549	-3.03297	0	
2.24176	-2.32967	0	
1.8022	-1.53846	0	
1.36264	-0.747253	0	
0.923077	-0.307692	0	
0.395604	-0.043956	0	
-0.21978	0.395604	0	
-1.01099	0.835165	0	
-1.8022	1.36264	0	
-2.06593	1.53846	0	
-2.59341	3.03297	0	
-3.2967	4.17582	0	
-4	4.79121	0	
-4.61538	4.79121	0	
-5.14286	5.23077	0	
-5.58242	5.31868	0	
-5.93407	5.49451	0	
-6.28571	5.93407	0	
-6.54945	6.72527	0	
-6.81319	7.25275	0	
-7.16484	7.69231	0	
-7.16484	7.69231	0	
-7.42857	7.42857	0	
-7.51648	7.25275	0	
-7.69231	7.25275	0	
-7.95604	7.95604	0	
-8.04396	8.3956	0	
-8.13187	8.74725	0	
-8.21978	8.57143	0	
-8.30769	8.3956	0	
-8.21978	8.04396	0	
-8.30769	7.78022	0	
-8.30769	7.86813	0	
-8.30769	8.30769	0	
-8.3956	8.57143	0	
-8.3956	8.65934	0	
-8.30769	8.92308	0	
-8.30769	8.92308	0	
-8.30769	8.83516	0	
-8.21978	8.3956	0	
-8.21978	8.04396	0	
-8.13187	7.69231	0	
-7.95604	7.51648	0	
-7.95604	7.6044	0	
-7.78022	7.78022	0	
-7.69231	7.86813	0	
-7.6044	7.86813	0	
