L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.14286	-5.05495	0	-250.17	-112.98	
5.14286	-5.05495	0	-271.69	-112.98	
5.14286	-5.05495	0	-301.28	-72.63	
5.14286	-5.05495	0	-279.76	-112.98	
5.14286	-5.05495	0	-285.14	-115.67	
5.14286	-5.05495	0	-263.62	-102.22	
5.14286	-5.05495	0	-314.73	-112.98	
5.14286	-5.05495	0	-290.52	2.69	
5.14286	-4.96703	0	-220.58	-104.91	
5.05495	-4.96703	0	-252.86	-110.29	
5.14286	-4.96703	0	-258.24	-112.98	
5.14286	-4.96703	0	-430.4	-112.98	
5.05495	-4.96703	0	-317.42	-112.98	
5.05495	-4.96703	0	-317.42	-112.98	
5.05495	-4.96703	0	-328.18	-112.98	
5.05495	-4.96703	0	-320.11	29.59	
5.05495	-4.96703	0	-478.82	-99.53	
4.96703	-4.96703	0	-349.7	-115.67	
4.96703	-4.87912	0	-320.11	34.97	
4.96703	-4.87912	0	-484.2	43.04	
4.87912	-4.7033	0	-457.3	-88.77	
4.79121	-4.79121	0	-390.05	-75.32	
4.79121	-4.7033	0	-443.85	-56.49	
4.7033	-4.52747	0	-322.8	88.77	
4.7033	-4.43956	0	-484.2	16.14	
4.52747	-4.43956	0	-465.37	-104.91	
4.43956	-4.26374	0	-438.47	59.18	
4.35165	-4.08791	0	-527.24	-53.8	
4.17582	-4	0	-336.25	59.18	
4	-3.73626	0	-320.11	-169.47	
3.73626	-3.56044	0	-398.12	-147.95	
3.56044	-3.38462	0	-411.57	-53.8	
3.20879	-3.03297	0	-468.06	53.8	
2.94505	-2.68132	0	-411.57	10.76	
2.50549	-2.24176	0	-384.67	-21.52	
1.97802	-1.89011	0	-468.06	8.07	
1.45055	-1.27473	0	-406.19	-56.49	
0.835165	-0.659341	0	-338.94	21.52	
0.21978	0.043956	0	-400.81	37.66	
-0.659341	0.923077	0	-478.82	-16.14	
-1.8022	1.97802	0	-193.68	-239.41	
