time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-8.71024e-05	0.0088947	0.217065	-5.16954e-05	-1.67426e-06	1.21945e-05	-5.12874e-05	0.0812158	1.21661e-05	0.0294784	-0.00550819	0.287938	0	0	0	0	0	0	0	0.000797862	0	0	0.032175	0	
0.05	-8.7099e-05	0.00892473	0.217065	-5.16972e-05	-1.59613e-06	1.21924e-05	-5.12892e-05	0.0812159	1.21636e-05	0.0294783	-0.0054646	0.287937	-4.81015e-06	0.00174372	-5.35706e-05	-0.000192406	0.0697487	-0.00214282	0	0.00161533	0	0	0.0333562	0	
0.075	-8.70932e-05	0.0089756	0.217065	-5.17003e-05	-1.46379e-06	1.21888e-05	-5.12923e-05	0.081216	1.21595e-05	0.029478	-0.00539075	0.287934	-8.1386e-06	0.00295372	-9.06405e-05	-0.000133138	0.0484	-0.0014828	0	0.0024725	0	0	0.0353572	0	
0.1	-8.7085e-05	0.00904856	0.217065	-5.17047e-05	-1.27398e-06	1.21837e-05	-5.12968e-05	0.0812162	1.21535e-05	0.0294778	-0.00528485	0.287931	-1.16517e-05	0.00423622	-0.000129769	-0.000140525	0.0513001	-0.00156513	0	0.00339043	0	0	0.0382271	0	
0.125	-8.70742e-05	0.00914541	0.217065	-5.17105e-05	-1.02204e-06	1.21769e-05	-5.13027e-05	0.0812165	1.21456e-05	0.0294774	-0.00514428	0.287927	-1.54276e-05	0.00562269	-0.000171826	-0.000151035	0.055459	-0.00168228	0	0.00439168	0	0	0.0420364	0	
0.15	-8.70604e-05	0.00926851	0.217065	-5.17179e-05	-7.01792e-07	1.21684e-05	-5.13102e-05	0.0812168	1.21357e-05	0.0294769	-0.0049656	0.287921	-1.95484e-05	0.00714716	-0.000217728	-0.000164833	0.0609786	-0.0018361	0	0.00550085	0	0	0.0468788	0	
0.175	-8.70435e-05	0.00942091	0.217065	-5.1727e-05	-3.05375e-07	1.21579e-05	-5.13194e-05	0.0812172	1.21234e-05	0.0294763	-0.00474443	0.287915	-2.41014e-05	0.008847	-0.00026845	-0.000182121	0.0679937	-0.00202886	0	0.00674521	0	0	0.0528733	0	
0.2	-8.70229e-05	0.00960633	0.217065	-5.17382e-05	1.76942e-07	1.21452e-05	-5.13307e-05	0.0812176	1.21086e-05	0.0294755	-0.00447533	0.287907	-2.91797e-05	0.0107639	-0.000325029	-0.000203131	0.0766757	-0.00226316	0	0.00815533	0	0	0.0601671	0	
0.225	-8.69984e-05	0.00982935	0.217065	-5.17515e-05	7.56993e-07	1.21301e-05	-5.13442e-05	0.0812182	1.2091e-05	0.0294747	-0.00415171	0.287897	-3.48825e-05	0.0129448	-0.000388574	-0.000228111	0.0872366	-0.00254179	0	0.00976588	0	0	0.0689395	0	
0.25	-8.69693e-05	0.0100954	0.217066	-5.17674e-05	1.44901e-06	1.21124e-05	-5.13603e-05	0.0812189	1.20702e-05	0.0294736	-0.00376563	0.287885	-4.1315e-05	0.0154432	-0.000460261	-0.000257301	0.0999341	-0.00286749	0	0.0116164	0	0	0.0794062	0	
0.275	-8.69351e-05	0.0104111	0.217066	-5.17863e-05	2.26996e-06	1.20917e-05	-5.13794e-05	0.0812197	1.20459e-05	0.0294724	-0.00330763	0.287872	-4.85876e-05	0.0183201	-0.000541325	-0.000290905	0.115078	-0.00324259	0	0.0137524	0	0	0.0918242	0	
0.3	-8.68951e-05	0.0107842	0.217066	-5.18085e-05	3.23999e-06	1.20677e-05	-5.14019e-05	0.0812207	1.20177e-05	0.029471	-0.00276648	0.287856	-5.68136e-05	0.021646	-0.000633037	-0.000329039	0.133036	-0.00366847	0	0.0162264	0	0	0.106499	0	
0.325	-8.68486e-05	0.0112238	0.217066	-5.18347e-05	4.38285e-06	1.20401e-05	-5.14284e-05	0.0812219	1.19851e-05	0.0294694	-0.00212892	0.287838	-6.61053e-05	0.0255022	-0.000736658	-0.000371666	0.154247	-0.00414483	0	0.0190992	0	0	0.123791	0	
0.35	-8.67947e-05	0.0117408	0.217066	-5.18653e-05	5.72656e-06	1.20087e-05	-5.14594e-05	0.0812232	1.19477e-05	0.0294674	-0.00137935	0.287816	-7.65674e-05	0.0299828	-0.000853371	-0.000418486	0.179224	-0.00466851	0	0.0224413	0	0	0.144125	0	
0.375	-8.67325e-05	0.0123478	0.217067	-5.19012e-05	7.30403e-06	1.1973e-05	-5.14957e-05	0.0812248	1.19051e-05	0.0294652	-0.000499423	0.287792	-8.82873e-05	0.0351972	-0.000984168	-0.000468795	0.208576	-0.00523187	0	0.0263349	0	0	0.168001	0	
0.4	-8.66612e-05	0.0130597	0.217067	-5.19431e-05	9.15388e-06	1.1933e-05	-5.15382e-05	0.0812266	1.18569e-05	0.0294627	0.000532389	0.287763	-0.000101319	0.0412725	-0.00112968	-0.000521265	0.243012	-0.00582044	0	0.0308757	0	0	0.196005	0	
0.425	-8.65797e-05	0.0138942	0.217068	-5.1992e-05	1.13214e-05	1.18886e-05	-5.15877e-05	0.0812288	1.1803e-05	0.0294598	0.0017413	0.287731	-0.00011566	0.0483566	-0.00128992	-0.000573646	0.283366	-0.00640957	0	0.0361753	0	0	0.228827	0	
0.45	-8.64873e-05	0.0148716	0.217068	-5.2049e-05	1.38595e-05	1.18399e-05	-5.16454e-05	0.0812313	1.17432e-05	0.0294565	0.00315685	0.287695	-0.000131218	0.056622	-0.00146391	-0.00062233	0.330615	-0.00695961	0	0.0423639	0	0	0.267272	0	
0.475	-8.63832e-05	0.016016	0.217069	-5.21153e-05	1.68302e-05	1.17877e-05	-5.17125e-05	0.0812343	1.16778e-05	0.0294528	0.00481359	0.287653	-0.000147762	0.0662696	-0.00164914	-0.000661737	0.385902	-0.00740913	0	0.0495935	0	0	0.312285	0	
0.5	-8.6267e-05	0.0173555	0.217069	-5.21922e-05	2.03061e-05	1.1733e-05	-5.17905e-05	0.0812378	1.16078e-05	0.0294487	0.00675193	0.287607	-0.000164848	0.0775336	-0.00184077	-0.000683448	0.450562	-0.00766535	0	0.058042	0	0	0.364972	0	
0	-8.6267e-05	0.0173555	0.217069	-5.21922e-05	2.03061e-05	1.1733e-05	-5.17905e-05	0.0812378	1.16078e-05	0.0294487	0.00675193	0.287607	-0.000164848	0.0775336	-0.00184077	-0.000683448	0.450562	-0.00766535	0	0.058042	0	0	0.364972	0	
0.025	-8.61397e-05	0.0189135	0.21707	-5.22809e-05	2.4347e-05	1.16783e-05	-5.18805e-05	0.0812418	1.15352e-05	0.0294442	0.0090052	0.287557	-0.000180643	0.0901305	-0.00201847	-0.000631798	0.503876	-0.00710786	0	0.0667479	0	0	0.331462	0	
0.05	-8.60441e-05	0.0206781	0.217071	-5.23804e-05	2.89219e-05	1.16277e-05	-5.19814e-05	0.0812464	1.14645e-05	0.0294394	0.011556	0.287504	-0.000192331	0.102033	-0.00212635	-0.000467537	0.476115	-0.00431529	0	0.0746132	0	0	0.29772	0	
0.075	-8.60166e-05	0.0226285	0.217071	-5.24892e-05	3.39756e-05	1.15861e-05	-5.20918e-05	0.0812514	1.14006e-05	0.0294344	0.0143737	0.28745	-0.000198246	0.112708	-0.00214873	-0.000236586	0.426977	-0.000895336	0	0.081632	0	0	0.263744	0	
0.1	-8.57418e-05	0.0247432	0.217072	-4.73456e-05	3.55077e-05	1.04024e-05	-5.22105e-05	0.0812569	1.13484e-05	0.0294293	0.0174277	0.287398	-0.000205478	0.122157	-0.00208998	-0.000289263	0.377968	0.0023501	0	0.0877984	0	0	0.229536	0	
0.125	-8.56186e-05	0.027001	0.217073	-4.74554e-05	4.07679e-05	1.03932e-05	-5.23344e-05	0.0812628	1.13123e-05	0.029425	0.0206862	0.287349	-0.000173514	0.130342	-0.00195712	0.00127854	0.327415	0.00531444	0	0.0931068	0	0	0.195094	0	
0.15	-8.559e-05	0.0293806	0.217073	-4.75695e-05	4.63087e-05	1.04035e-05	-5.24633e-05	0.0812689	1.12964e-05	0.029421	0.0241187	0.287305	-0.000159256	0.1373	-0.00174612	0.000570337	0.278285	0.00843991	0	0.0975512	0	0	0.160421	0	
0.175	-8.54007e-05	0.0318602	0.217073	-4.76885e-05	5.20803e-05	1.04372e-05	-4.73382e-05	0.0812716	1.0175e-05	0.0294162	0.0276944	0.287269	-0.000192248	0.143028	-0.00144801	-0.0013197	0.229142	0.0119243	0	0.101126	0	0	0.125514	0	
0.2	-8.53277e-05	0.0344181	0.217074	-4.78065e-05	5.8031e-05	1.04942e-05	-4.74584e-05	0.0812775	1.02055e-05	0.0294136	0.0313814	0.28724	-0.000101489	0.147478	-0.00115387	0.00363037	0.178016	0.0117657	0	0.103825	0	0	0.0903745	0	
0.225	-8.52859e-05	0.0370323	0.217074	-4.79246e-05	6.41103e-05	1.0577e-05	-4.7579e-05	0.0812836	1.02614e-05	0.0294119	0.0351486	0.28722	-6.89743e-05	0.150689	-0.000791106	0.00130059	0.128437	0.0145106	0	0.105643	0	0	0.0550023	0	
0.25	-8.52607e-05	0.0396808	0.217074	-4.80417e-05	7.02674e-05	1.06865e-05	-4.76986e-05	0.0812897	1.03435e-05	0.0294111	0.0389646	0.28721	-3.29096e-05	0.152642	-0.000395922	0.00144259	0.0781078	0.0158074	0	0.106573	0	0	0.0193973	0	
0.275	-8.52611e-05	0.0423414	0.217074	-4.81567e-05	7.64508e-05	1.08224e-05	-4.78164e-05	0.0812959	1.0452e-05	0.0294112	0.0427979	0.287211	3.94394e-06	0.153331	1.18949e-05	0.00147414	0.027558	0.0163127	0	0.106611	0	0	-0.0164404	0	
0.3	-8.52872e-05	0.0449917	0.217074	-4.82686e-05	8.2609e-05	1.09836e-05	-4.79311e-05	0.0813021	1.05857e-05	0.0294122	0.0466166	0.287221	4.07993e-05	0.152748	0.000420003	0.00147421	-0.0233088	0.0163243	0	0.105749	0	0	-0.052511	0	
0.325	-8.53382e-05	0.0476093	0.217074	-4.83764e-05	8.86903e-05	1.11681e-05	-4.80419e-05	0.0813082	1.07431e-05	0.0294141	0.0503888	0.287242	7.63524e-05	0.150885	0.000813956	0.00142213	-0.074538	0.0157581	0	0.103983	0	0	-0.0888142	0	
0.35	-8.54238e-05	0.0501715	0.217074	-4.84794e-05	9.46425e-05	1.1373e-05	-4.8148e-05	0.0813141	1.09215e-05	0.0294168	0.054082	0.287271	0.00010865	0.147731	0.00117926	0.00129191	-0.126174	0.0146121	0	0.101307	0	0	-0.12535	0	
0.375	-8.55182e-05	0.0526555	0.217073	-4.85768e-05	0.000100413	1.15945e-05	-4.82484e-05	0.0813199	1.11173e-05	0.0294203	0.0576638	0.287309	0.000138502	0.143273	0.00150352	0.00119407	-0.178308	0.0129703	0	0.0977137	0	0	-0.162119	0	
0.4	-8.56297e-05	0.0550383	0.217072	-4.86678e-05	0.000105949	1.18281e-05	-4.83426e-05	0.0813254	1.13262e-05	0.0294244	0.0611013	0.287353	0.000162761	0.1375	0.00177317	0.000970375	-0.230921	0.0107863	0	0.0931986	0	0	-0.199121	0	
0.425	-8.57541e-05	0.057297	0.217072	-4.87519e-05	0.000111197	1.20685e-05	-4.84298e-05	0.0813307	1.15432e-05	0.0294289	0.0643613	0.287402	0.000181111	0.130398	0.00197766	0.000734006	-0.284083	0.0081795	0	0.0877557	0	0	-0.236355	0	
0.45	-8.58868e-05	0.0594082	0.217071	-4.88287e-05	0.000116103	1.231e-05	-4.85096e-05	0.0813356	1.17627e-05	0.0294337	0.0674101	0.287455	0.000192716	0.121953	0.00210773	0.000464178	-0.337799	0.00520289	0	0.081379	0	0	-0.273822	0	
0.475	-8.60226e-05	0.0613486	0.21707	-4.88976e-05	0.000120613	1.2546e-05	-4.85814e-05	0.0813401	1.19786e-05	0.0294386	0.0702139	0.287509	0.000196919	0.112151	0.00215615	0.000168115	-0.392069	0.00193664	0	0.0740626	0	0	-0.311522	0	
0.5	-8.6156e-05	0.0630948	0.21707	-4.89582e-05	0.000124672	1.27699e-05	-4.86447e-05	0.0813442	1.21844e-05	0.0294435	0.0727383	0.287562	0.000193266	0.100979	0.00211791	-0.00014611	-0.446879	-0.00152971	0	0.0658009	0	0	-0.349455	0	
0	-8.6156e-05	0.0630948	0.21707	-4.89582e-05	0.000124672	1.27699e-05	-4.86447e-05	0.0813442	1.21844e-05	0.0294435	0.0727383	0.287562	0.000193266	0.100979	0.00211791	-0.00014611	-0.446879	-0.00152971	0	0.058042	0	0	-0.396008	0	
0.025	-8.62648e-05	0.0644247	0.217069	-4.90035e-05	0.00012854	1.29478e-05	-4.86921e-05	0.0813473	1.23485e-05	0.0294474	0.0746617	0.287605	0.000157296	0.0769357	0.00172675	-0.0014388	-0.961734	-0.0156462	0	0.0488145	0	0	-0.343702	0	
0.05	-8.63605e-05	0.0655398	0.217069	-4.90407e-05	0.000136474	1.31019e-05	-4.87312e-05	0.0813499	1.24913e-05	0.0294509	0.0762742	0.287643	0.00013849	0.0644988	0.00153308	-0.000752218	-0.497477	-0.00774681	0	0.0407866	0	0	-0.299842	0	
0.075	-8.64431e-05	0.0664675	0.217068	-4.9071e-05	0.000152656	1.32336e-05	-4.87634e-05	0.081352	1.26142e-05	0.0294538	0.0776142	0.287677	0.000119607	0.0536004	0.00134895	-0.000755339	-0.435934	-0.00736534	0	0.033761	0	0	-0.263351	0	
0.1	-8.65128e-05	0.0672308	0.217068	-4.90951e-05	0.000180407	1.33445e-05	-4.87895e-05	0.0813538	1.27188e-05	0.0294564	0.0787138	0.287707	0.000101121	0.0439848	0.00117741	-0.000739424	-0.384627	-0.00686156	0	0.0275651	0	0	-0.233332	0	
0.125	-8.65701e-05	0.0678482	0.217068	-4.91139e-05	0.000221869	1.34361e-05	-4.88103e-05	0.0813552	1.28065e-05	0.0294585	0.0795996	0.287732	8.32964e-05	0.0354302	0.00101836	-0.000712998	-0.34218	-0.00636186	0	0.0220467	0	0	-0.209047	0	
0.15	-8.66154e-05	0.0683351	0.217067	-4.91278e-05	0.000277799	1.35096e-05	-4.88265e-05	0.0813563	1.28784e-05	0.0294601	0.0802932	0.287754	6.62514e-05	0.0277432	0.000869613	-0.000681799	-0.307484	-0.00595003	0	0.01707	0	0	-0.189899	0	
0.175	-8.66493e-05	0.0687033	0.217067	-4.91373e-05	0.000347504	1.35661e-05	-4.88385e-05	0.0813572	1.29354e-05	0.0294614	0.080812	0.287772	5.0007e-05	0.0207514	0.000727701	-0.000649777	-0.279668	-0.00567646	0	0.0125129	0	0	-0.175418	0	
0.2	-8.66723e-05	0.068962	0.217067	-4.9143e-05	0.000428904	1.36066e-05	-4.88467e-05	0.0813578	1.29784e-05	0.0294622	0.0811694	0.287787	3.45128e-05	0.0142991	0.000588577	-0.00061977	-0.258093	-0.00556497	0	0.0082632	0	0	-0.165249	0	
0.225	-8.66849e-05	0.0691174	0.217067	-4.91451e-05	0.000518748	1.36318e-05	-4.88514e-05	0.0813581	1.30075e-05	0.0294627	0.0813755	0.287798	1.96644e-05	0.00824101	0.00044812	-0.000593936	-0.242324	-0.00561827	0	0.00421661	0	0	-0.15914	0	
0.25	-8.66876e-05	0.0691734	0.217067	-4.91439e-05	0.000612926	1.36419e-05	-4.88527e-05	0.0813582	1.3023e-05	0.0294629	0.0814364	0.287805	5.31452e-06	0.0024381	0.000302553	-0.000573995	-0.232116	-0.00582267	0	0.000273645	0	0	-0.156942	0	
0.275	-8.66805e-05	0.0691313	0.217067	-4.91395e-05	0.000706875	1.36373e-05	-4.88508e-05	0.0813581	1.30247e-05	0.0294626	0.0813552	0.287809	-8.71879e-06	-0.00324673	0.000148744	-0.000561332	-0.227393	-0.00615236	0	-0.00366259	0	0	-0.158601	0	
0.3	-8.66638e-05	0.0689902	0.217067	-4.91321e-05	0.000796028	1.36176e-05	-4.88455e-05	0.0813577	1.3012e-05	0.0294621	0.0811314	0.287809	-2.26439e-05	-0.00895251	-1.55895e-05	-0.000557006	-0.228231	-0.00657335	0	-0.00768884	0	0	-0.164157	0	
0.325	-8.66374e-05	0.0687464	0.217068	-4.91217e-05	0.00087626	1.35826e-05	-4.88368e-05	0.0813571	1.29843e-05	0.0294612	0.0807608	0.287804	-3.66857e-05	-0.0148235	-0.000191767	-0.000561669	-0.23484	-0.00704711	0	-0.011904	0	0	-0.173748	0	
0.35	-8.66013e-05	0.0683941	0.217068	-4.91081e-05	0.000944288	1.35315e-05	-4.88245e-05	0.0813563	1.29409e-05	0.0294599	0.0802355	0.287794	-5.10717e-05	-0.0210123	-0.000380106	-0.000575443	-0.247551	-0.00753355	0	-0.0164118	0	0	-0.187609	0	
0.375	-8.65549e-05	0.0679246	0.217068	-4.90911e-05	0.000997993	1.34635e-05	-4.88082e-05	0.0813551	1.28808e-05	0.0294582	0.0795435	0.28778	-6.60149e-05	-0.0276825	-0.000579929	-0.000597728	-0.266808	-0.00799294	0	-0.0213229	0	0	-0.20608	0	
0.4	-8.64979e-05	0.0673263	0.217068	-4.90702e-05	0.00103663	1.33776e-05	-4.87875e-05	0.0813537	1.2803e-05	0.0294562	0.0786682	0.28776	-8.16888e-05	-0.0350116	-0.000789589	-0.000626953	-0.293163	-0.00838638	0	-0.0267579	0	0	-0.229615	0	
0.425	-8.64296e-05	0.0665845	0.217069	-4.90449e-05	0.00106088	1.32723e-05	-4.87618e-05	0.081352	1.27064e-05	0.0294537	0.0775883	0.287735	-9.81947e-05	-0.0431936	-0.00100644	-0.000660236	-0.327282	-0.00867411	0	-0.0328506	0	0	-0.258794	0	
0.45	-8.63496e-05	0.065681	0.217069	-4.90144e-05	0.0010728	1.31463e-05	-4.87303e-05	0.0813499	1.25899e-05	0.0294508	0.0762773	0.287704	-0.000115518	-0.0524426	-0.00122672	-0.000692931	-0.369961	-0.00881123	0	-0.0397506	0	0	-0.294332	0	
0.475	-8.62572e-05	0.0645936	0.21707	-4.89775e-05	0.00107561	1.29982e-05	-4.86919e-05	0.0813473	1.24525e-05	0.0294475	0.0747024	0.287668	-0.000133468	-0.0629962	-0.00144523	-0.000718	-0.422143	-0.00874011	0	-0.0476274	0	0	-0.337103	0	
0.5	-8.61524e-05	0.0632955	0.21707	-4.8933e-05	0.00107337	1.28268e-05	-4.86456e-05	0.0813443	1.22935e-05	0.0294437	0.0728244	0.287627	-0.000151597	-0.0751201	-0.0016547	-0.00072515	-0.484956	-0.00837889	0	-0.0566747	0	0	-0.388159	0	
0	-8.61524e-05	0.0632955	0.21707	-4.8933e-05	0.00107337	1.28268e-05	-4.86456e-05	0.0813443	1.22935e-05	0.0294437	0.0728244	0.287627	-0.000151597	-0.0751201	-0.0016547	-0.00072515	-0.484956	-0.00837889	0	-0.0566747	0	0	-0.388159	0	
0.025	-8.60365e-05	0.061765	0.217071	-4.88796e-05	0.00106981	1.26324e-05	-4.85901e-05	0.0813408	1.21136e-05	0.0294395	0.0706112	0.287581	-0.000168014	-0.0885251	-0.00183515	-0.000656697	-0.536201	-0.00721812	0	-0.0658934	0	0	-0.349335	0	
0.05	-8.5914e-05	0.0600166	0.217071	-4.88174e-05	0.00106574	1.24206e-05	-4.85255e-05	0.0813367	1.19184e-05	0.0294351	0.0680844	0.287533	-0.000177628	-0.101075	-0.00193871	-0.000384552	-0.501986	-0.00414253	0	-0.0741415	0	0	-0.310511	0	
0.075	-8.57905e-05	0.0580746	0.217072	-4.87469e-05	0.00106123	1.21981e-05	-4.84524e-05	0.0813322	1.17143e-05	0.0294306	0.0652791	0.287484	-0.000179281	-0.112212	-0.00195476	-6.61336e-05	-0.44547	-0.000641843	0	-0.0814189	0	0	-0.271687	0	
