L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
8.04396	-5.93407	-0	5.84615	-8.13187	10.0659	-5.75824	3.43612e-05	5.58242	-10.1538	-403.5	37.66	209.82	-782.79	104.91	0	473.44	-250.17	
8.04396	-5.84615	-0	5.75824	-8.13187	10.1538	-5.75824	3.43612e-05	5.58242	-10.0659	-459.99	112.98	317.42	-750.51	274.38	0	459.99	-390.05	
8.04396	-5.84615	-0	5.75824	-8.13187	10.0659	-5.75824	3.43612e-05	5.58242	-10.0659	-400.81	18.83	161.4	-1086.76	279.76	0	416.95	-355.08	
8.04396	-5.84615	-0	5.84615	-8.13187	10.0659	-5.75824	3.43612e-05	5.58242	-10.1538	-295.9	10.76	341.63	-1081.38	357.77	37.66	508.41	-56.49	
8.04396	-5.84615	-0	5.84615	-8.13187	9.97802	-5.75824	3.43612e-05	5.58242	-10.1538	-142.57	271.69	121.05	-1084.07	376.6	75.32	538	-131.81	
7.95604	-5.84615	-0	5.84615	-8.13187	9.97802	-5.75824	3.43612e-05	5.58242	-9.97802	-422.33	32.28	56.49	-1094.83	411.57	0	500.34	-277.07	
7.95604	-5.84615	-0	5.84615	-8.13187	9.97802	-5.75824	3.43612e-05	5.49451	-9.97802	-306.66	43.04	320.11	-1183.6	330.87	123.74	425.02	-220.58	
7.86813	-5.93407	-0	5.84615	-8.04396	9.97802	-5.75824	3.43612e-05	5.49451	-9.97802	-403.5	142.57	88.77	-919.98	384.67	0	497.65	-392.74	
7.86813	-5.84615	-0	5.93407	-7.95604	9.89011	-5.75824	3.43612e-05	5.58242	-9.97802	-430.4	72.63	43.04	-1092.14	398.12	0	419.64	-115.67	
7.69231	-5.84615	-0	5.84615	-7.95604	9.8022	-5.75824	3.43612e-05	5.58242	-9.8022	-242.1	156.02	185.61	-1326.17	336.25	0	425.02	-169.47	
7.69231	-5.84615	-0	5.84615	-7.86813	9.8022	-5.75824	3.43612e-05	5.58242	-9.8022	-454.61	121.05	312.04	-1315.41	425.02	0	411.57	-51.11	
7.6044	-5.84615	-0	5.84615	-7.78022	9.62637	-5.75824	3.43612e-05	5.58242	-9.8022	-500.34	86.08	244.79	-1393.42	126.43	59.18	414.26	-51.11	
7.51648	-5.93407	-0	5.84615	-7.69231	9.53846	-5.75824	3.43612e-05	5.58242	-9.62637	188.3	88.77	142.57	-1014.13	298.59	0	411.57	-16.14	
7.42857	-5.93407	-0	5.84615	-7.6044	9.36264	-5.75824	3.43612e-05	5.58242	-9.45055	126.43	156.02	153.33	-1234.71	215.2	0	416.95	-190.99	
7.25275	-5.84615	-0	5.84615	-7.42857	9.27473	-5.75824	3.43612e-05	5.58242	-9.27473	96.84	129.12	328.18	-1113.66	104.91	0	443.85	-715.54	
7.07692	-5.84615	-0	5.84615	-7.25275	9.18681	-5.75824	3.43612e-05	5.58242	-9.18681	-416.95	158.71	182.92	-1353.07	67.25	0	422.33	8.07	
