L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.95604	-5.84615	0.00773126	5.75824	-8.13187	10.1538	-5.84615	0.00443259	5.58242	-10.0659	0	0	21.52	-626.77	0	-217.89	430.4	-260.93	
7.95604	-5.84615	0.00773126	5.75824	-8.13187	10.1538	-5.75824	0.00443259	5.58242	-10.1538	0	40.35	0	-761.27	-8.07	-115.67	422.33	-271.69	
7.95604	-5.84615	0.00773126	5.75824	-8.04396	10.1538	-5.84615	0.00443259	5.58242	-10.1538	0	37.66	78.01	-761.27	5.38	-64.56	425.02	-341.63	
7.86813	-5.84615	0.00773126	5.75824	-8.04396	10.0659	-5.75824	0.00443259	5.58242	-10.0659	0	-2.69	-61.87	-761.27	37.66	-99.53	414.26	-317.42	
7.95604	-5.84615	0.00773126	5.84615	-8.04396	10.0659	-5.84615	0.00443259	5.58242	-10.0659	45.73	0	-2.69	-790.86	-5.38	-207.13	425.02	-328.18	
7.78022	-5.84615	0.00773126	5.84615	-8.04396	10.0659	-5.75824	0.00443259	5.58242	-9.97802	-96.84	-2.69	-2.69	-763.96	26.9	-75.32	425.02	-414.26	
7.86813	-5.84615	0.00773126	5.84615	-8.04396	9.97802	-5.84615	0.00443259	5.58242	-10.0659	83.39	0	-2.69	-1049.1	99.53	-121.05	430.4	-333.56	
7.69231	-5.84615	0.00773126	5.84615	-7.95604	9.97802	-5.75824	0.00443259	5.58242	-9.97802	-142.57	0	-2.69	-1076	75.32	-258.24	430.4	-395.43	
7.78022	-5.84615	0.00773126	5.84615	-7.86813	9.89011	-5.84615	0.00443259	5.58242	-9.89011	37.66	-2.69	-2.69	-766.65	0	-123.74	430.4	-322.8	
7.69231	-5.84615	0.00773126	5.84615	-7.86813	9.8022	-5.75824	0.00443259	5.58242	-9.8022	139.88	0	-2.69	-1116.35	196.37	-196.37	419.64	-196.37	
