L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
10.5934	-5.75824	0.00402026	5.67033	-11.5604	9.53846	-5.67033	0.00316123	3.64835	-10.3297	-306.66	26.9	-293.21	-946.88	80.7	-2.69	-8.07	-137.19	
10.5934	-5.75824	0.00402026	5.67033	-11.4725	9.62637	-5.67033	0.00316123	3.64835	-10.3297	-363.15	29.59	-290.52	-949.57	67.25	-2.69	-16.14	-24.21	
10.5055	-5.75824	0.00402026	5.67033	-11.5604	9.53846	-5.67033	0.00316123	3.64835	-10.3297	-433.09	10.76	-317.42	-855.42	51.11	-2.69	-16.14	-94.15	
10.5934	-5.75824	0.00402026	5.67033	-11.4725	9.62637	-5.67033	0.00316123	3.64835	-10.3297	-403.5	8.07	-298.59	-852.73	121.05	-2.69	-45.73	-314.73	
10.4176	-5.84615	0.00402026	5.67033	-11.4725	9.53846	-5.67033	0.00316123	3.64835	-10.2418	-363.15	102.22	-252.86	-1092.14	207.13	-2.69	-13.45	250.17	
10.5055	-5.84615	0.00402026	5.67033	-11.4725	9.53846	-5.67033	0.00316123	3.73626	-10.3297	-330.87	10.76	-379.29	-1089.45	156.02	-2.69	0	5.38	
10.5055	-5.75824	0.00402026	5.67033	-11.4725	9.53846	-5.67033	0.00316123	3.64835	-10.1538	-435.78	83.39	-287.83	-1318.1	153.33	-2.69	-199.06	-352.39	
10.4176	-5.75824	0.00402026	5.67033	-11.3846	9.45055	-5.67033	0.00316123	3.64835	-10.1538	-182.92	174.85	-295.9	-1180.91	247.48	-2.69	-8.07	-61.87	
10.4176	-5.75824	0.00402026	5.67033	-11.3846	9.45055	-5.67033	0.00316123	3.64835	-10.0659	-422.33	13.45	-271.69	-1554.82	390.05	-2.69	-40.35	-357.77	
10.2418	-5.75824	0.00402026	5.67033	-11.3846	9.27473	-5.67033	0.00316123	3.73626	-9.97802	-373.91	-5.38	-287.83	-1318.1	37.66	-2.69	-10.76	-164.09	
