time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-8.80902e-05	-0.0030898	0.217064	-5.10572e-05	-2.86616e-05	1.42354e-05	-5.10512e-05	0.0701359	1.42361e-05	0.029519	-0.0205755	0.289084	0	0	0	0	0	0	0	0.000797862	0	0	0.032175	0	
0.05	-8.80862e-05	-0.00305977	0.217064	-5.10591e-05	-2.85831e-05	1.42325e-05	-5.10531e-05	0.070136	1.42332e-05	0.0295188	-0.0205316	0.289083	-5.63489e-06	0.00175353	-6.03427e-05	-0.000225396	0.0701412	-0.00241371	0	0.00161533	0	0	0.0333562	0	
0.075	-8.80795e-05	-0.0030089	0.217064	-5.10623e-05	-2.84502e-05	1.42276e-05	-5.10563e-05	0.0701361	1.42283e-05	0.0295186	-0.0204574	0.28908	-9.53625e-06	0.00297033	-0.000102122	-0.000156054	0.0486721	-0.00167117	0	0.0024725	0	0	0.0353572	0	
0.1	-8.80699e-05	-0.00293595	0.217064	-5.10669e-05	-2.82596e-05	1.42207e-05	-5.10608e-05	0.0701363	1.42213e-05	0.0295182	-0.0203509	0.289077	-1.36575e-05	0.00426004	-0.000146258	-0.000164852	0.0515882	-0.00176542	0	0.00339043	0	0	0.0382271	0	
0.125	-8.80571e-05	-0.00283911	0.217064	-5.1073e-05	-2.80066e-05	1.42114e-05	-5.10669e-05	0.0701366	1.42121e-05	0.0295178	-0.0202095	0.289072	-1.80923e-05	0.00565429	-0.000193752	-0.000177391	0.0557699	-0.00189976	0	0.00439168	0	0	0.0420364	0	
0.15	-8.8041e-05	-0.00271601	0.217064	-5.10807e-05	-2.7685e-05	1.41997e-05	-5.10746e-05	0.0701369	1.42003e-05	0.0295172	-0.0200298	0.289066	-2.29396e-05	0.00718728	-0.000245666	-0.000193891	0.0613197	-0.00207655	0	0.00550085	0	0	0.0468788	0	
0.175	-8.80211e-05	-0.00256362	0.217064	-5.10902e-05	-2.72869e-05	1.41853e-05	-5.10842e-05	0.0701373	1.41859e-05	0.0295165	-0.0198074	0.289058	-2.83053e-05	0.0088966	-0.000303135	-0.000214628	0.0683729	-0.00229876	0	0.00674521	0	0	0.0528733	0	
0.2	-8.79969e-05	-0.0023782	0.217064	-5.11018e-05	-2.68026e-05	1.41679e-05	-5.10958e-05	0.0701378	1.41685e-05	0.0295156	-0.0195368	0.289049	-3.43035e-05	0.0108241	-0.000367382	-0.00023993	0.0771019	-0.00256991	0	0.00815533	0	0	0.0601671	0	
0.225	-8.7968e-05	-0.0021552	0.217065	-5.11157e-05	-2.62201e-05	1.41471e-05	-5.11097e-05	0.0701384	1.41476e-05	0.0295146	-0.0192114	0.289038	-4.10577e-05	0.0130171	-0.000439731	-0.000270166	0.0877196	-0.00289397	0	0.00976588	0	0	0.0689395	0	
0.25	-8.79338e-05	-0.00188912	0.217065	-5.11323e-05	-2.55252e-05	1.41226e-05	-5.11263e-05	0.0701391	1.4123e-05	0.0295134	-0.0188231	0.289025	-4.87008e-05	0.0155293	-0.00052161	-0.000305726	0.100485	-0.00327516	0	0.0116164	0	0	0.0794062	0	
