L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
10.8555	5.75824	0.000137445	-5.67033	-10.9725	10.8564	5.67033	0.00058414	-5.64835	-10.8297	-371.22	271.69	-282.45	-742.44	-91.46	290.52	-13.45	-13.45	
10.8555	5.75824	0.000137445	-5.67033	-11.0604	10.8564	5.67033	0.00058414	-5.64835	-10.8297	-231.34	317.42	-285.14	-801.62	-13.45	247.48	-5.38	-29.59	
10.8555	5.75824	0.000137445	-5.67033	-10.9725	10.9443	5.67033	0.00058414	-5.64835	-10.9176	-174.85	347.01	-282.45	-772.03	-64.56	234.03	-69.94	-43.04	
10.8555	5.84615	0.000137445	-5.67033	-10.9725	10.8564	5.67033	0.00058414	-5.64835	-10.8297	147.95	96.84	-285.14	-868.87	-13.45	172.16	-69.94	-110.29	
10.7676	5.84615	0.000137445	-5.67033	-10.9725	10.8564	5.67033	0.00058414	-5.64835	-10.7418	-398.12	153.33	-279.76	-1081.38	-21.52	199.06	-5.38	737.06	
10.8555	5.84615	0.000137445	-5.67033	-10.9725	10.7685	5.67033	0.00058414	-5.64835	-10.7418	-465.37	303.97	-279.76	-1143.25	102.22	75.32	-18.83	-123.74	
10.8555	5.75824	0.000137445	-5.67033	-10.9725	10.7685	5.58242	0.00058414	-5.64835	-10.6538	-234.03	395.43	-274.38	-1258.92	368.53	34.97	-5.38	-10.76	
10.6797	5.75824	0.000137445	-5.67033	-10.8846	10.5926	5.58242	0.00058414	-5.64835	-10.6538	-190.99	312.04	-277.07	-1207.81	-21.52	91.46	-2.69	-193.68	
10.7676	5.84615	0.000137445	-5.67033	-10.8846	10.5926	5.58242	0.00058414	-5.73626	-10.5659	-462.68	156.02	-271.69	-1363.83	69.94	199.06	-8.07	-29.59	
10.6797	5.75824	0.000137445	-5.67033	-10.7967	10.5926	5.67033	0.00058414	-5.64835	-10.478	-449.23	271.69	-274.38	-1097.52	-80.7	204.44	-2.69	18.83	
10.5918	5.84615	0.000137445	-5.67033	-10.7967	10.4168	5.58242	0.00058414	-5.64835	-10.5659	172.16	363.15	-271.69	-1315.41	51.11	217.89	-8.07	322.8	
10.4159	5.84615	0.000137445	-5.67033	-10.7088	10.4168	5.58242	0.00058414	-5.64835	-10.3901	-427.71	287.83	-269	-1323.48	-201.75	104.91	-10.76	99.53	
10.328	5.84615	0.000137445	-5.67033	-10.6209	10.241	5.58242	0.00058414	-5.73626	-10.3022	40.35	215.2	-277.07	-1509.09	-147.95	169.47	-13.45	26.9	
10.2401	5.84615	0.000137445	-5.67033	-10.4451	10.241	5.58242	0.00058414	-5.64835	-10.2143	-78.01	209.82	-271.69	-1210.5	78.01	196.37	-8.07	185.61	
10.0643	5.84615	0.000137445	-5.67033	-10.2692	10.0652	5.58242	0.00058414	-5.64835	-10.0385	83.39	236.72	-274.38	-1345	-24.21	277.07	-13.45	8.07	
9.97637	5.84615	0.000137445	-5.67033	-10.1813	9.88934	5.67033	0.00058414	-5.64835	-9.86264	72.63	250.17	-274.38	-1320.79	59.18	190.99	-5.38	-72.63	
9.80055	5.75824	0.000137445	-5.67033	-10.0055	9.53769	5.67033	0.00058414	-5.64835	-9.77473	-110.29	177.54	-263.62	-1522.54	-263.62	190.99	-5.38	309.35	
