L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
10.8555	5.75824	0.00360792	-6.02198	-10.7967	10.8564	5.58242	0.00278325	-6	-10.7418	0	-129.12	91.46	-5.38	0	99.53	-94.15	2.69	
10.8555	5.75824	0.00360792	-6.02198	-10.7967	10.7685	5.67033	0.00278325	-6	-10.7418	0	-115.67	88.77	-5.38	0	279.76	-91.46	10.76	
10.8555	5.75824	0.00360792	-6.02198	-10.8846	10.8564	5.58242	0.00278325	-6	-10.6538	0	-196.37	86.08	-2.69	0	96.84	-94.15	10.76	
10.8555	5.75824	0.00360792	-6.02198	-10.7967	10.8564	5.67033	0.00278325	-6	-10.7418	-207.13	-45.73	91.46	-5.38	72.63	185.61	-94.15	0	
10.7676	5.67033	0.00360792	-6.02198	-10.7088	10.8564	5.67033	0.00278325	-6	-10.7418	0	-80.7	69.94	48.42	59.18	277.07	-88.77	0	
10.6797	5.75824	0.00360792	-5.93407	-10.6209	10.7685	5.67033	0.00278325	-6	-10.8297	-94.15	-64.56	99.53	0	-107.6	314.73	-123.74	0	
10.8555	5.75824	0.00360792	-6.02198	-10.7967	10.6805	5.67033	0.00278325	-6	-10.7418	156.02	-134.5	88.77	0	131.81	193.68	-126.43	-40.35	
10.5918	5.67033	0.00360792	-6.02198	-10.533	10.5926	5.67033	0.00278325	-6	-10.6538	-147.95	-269	75.32	0	-26.9	69.94	-129.12	0	
10.6797	5.75824	0.00360792	-6.02198	-10.7967	10.5926	5.58242	0.00278325	-6	-10.5659	-91.46	-69.94	88.77	26.9	314.73	328.18	-129.12	0	
10.5038	5.67033	0.00360792	-6.02198	-10.4451	10.5926	5.58242	0.00278325	-6	-10.6538	-188.3	-172.16	88.77	-13.45	83.39	131.81	-123.74	8.07	
10.5038	5.75824	0.00360792	-6.02198	-10.533	10.5047	5.67033	0.00278325	-6	-10.5659	-67.25	-161.4	94.15	0	166.78	51.11	-123.74	0	
10.4159	5.75824	0.00360792	-6.02198	-10.3571	10.5047	5.58242	0.00278325	-6	-10.5659	-134.5	-274.38	86.08	-34.97	-454.61	188.3	-123.74	5.38	
10.328	5.67033	0.00360792	-6.02198	-10.3571	10.241	5.67033	0.00278325	-6	-10.3022	48.42	-104.91	96.84	0	-449.23	322.8	-123.74	-16.14	
10.0643	5.75824	0.00360792	-6.02198	-10.0934	10.1531	5.67033	0.00278325	-6	-10.1264	-78.01	-51.11	88.77	0	-333.56	172.16	-126.43	0	
10.0643	5.67033	0.00357356	-6.02198	-10.0934	10.0652	5.67033	0.00278325	-6	-10.2143	-112.98	-196.37	88.77	-21.52	-290.52	78.01	-126.43	-8.07	
9.88846	5.75824	0.00357356	-6.02198	-9.91758	9.80143	5.58242	0.00278325	-6	-10.1264	-269	-266.31	83.39	-10.76	193.68	368.53	-126.43	-2.69	
