time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.00924441	10.8186	6.21328	0.0259988	-6.17304	-10.7867	0.00696587	12.7184	6.16995	0.0241244	-6.13347	-12.6897	
0.05	0.0092518	10.8092	6.21348	0.0260092	-6.17324	-10.7773	0.00697251	12.7091	6.17018	0.0241364	-6.1337	-12.6804	
0.075	0.00926431	10.7933	6.21382	0.026027	-6.17358	-10.7613	0.00698375	12.6934	6.17057	0.0241566	-6.13409	-12.6647	
0.1	0.00928223	10.7704	6.2143	0.0260523	-6.17407	-10.7385	0.00699985	12.671	6.17112	0.0241855	-6.13465	-12.6423	
0.125	0.00930599	10.7402	6.21493	0.0260859	-6.17471	-10.7083	0.0070212	12.6412	6.17185	0.0242238	-6.13539	-12.6125	
0.15	0.00933616	10.7018	6.21574	0.0261283	-6.17552	-10.6699	0.00704829	12.6034	6.17278	0.0242722	-6.13632	-12.5747	
0.175	0.00937343	10.6544	6.21673	0.0261806	-6.17652	-10.6224	0.00708178	12.5566	6.17392	0.0243319	-6.13747	-12.5279	
0.2	0.00941871	10.5967	6.21793	0.0262437	-6.17773	-10.5648	0.00712245	12.4998	6.17531	0.0244041	-6.13886	-12.4711	
0.225	0.00947304	10.5275	6.21937	0.0263191	-6.17917	-10.4956	0.00797	12.4309	6.1778	0.0244881	-6.13732	-12.399	
0.25	0.00953773	10.445	6.22106	0.0264082	-6.18087	-10.4131	0.00803455	12.3496	6.17976	0.0245901	-6.13929	-12.3177	
0.275	0.00961429	10.3474	6.22305	0.0265127	-6.18288	-10.3155	0.00811096	12.2534	6.18206	0.0247099	-6.1416	-12.2215	
0.3	0.00970465	10.2321	6.22558	0.0266342	-6.18542	-10.2002	0.00820114	12.1398	6.18495	0.0248494	-6.14451	-12.1079	
0.325	0.00981072	10.0966	6.22828	0.0267759	-6.18814	-10.0647	0.008307	12.0063	6.18809	0.0250123	-6.14767	-11.9743	
0.35	0.00993512	9.93757	6.23141	0.0269398	-6.19129	-9.90567	0.00843116	11.8495	6.19173	0.0252011	-6.15133	-11.8176	
0.375	0.0100808	9.75118	6.23501	0.0271284	-6.19492	-9.71927	0.00857654	11.6657	6.19593	0.025419	-6.15557	-11.6338	
0.4	0.0102512	9.53287	6.23922	0.0273445	-6.19915	-9.50097	0.00874663	11.4504	6.20084	0.0256693	-6.16051	-11.4185	
0.425	0.0104503	9.27744	6.24394	0.0275913	-6.20391	-9.24554	0.00894539	11.1984	6.20641	0.0259561	-6.16611	-11.1665	
0.45	0.0106829	8.97865	6.24932	0.0278712	-6.20931	-8.94675	0.00917755	10.9036	6.21276	0.026283	-6.17251	-10.8717	
0.475	0.0109544	8.62922	6.25538	0.0281867	-6.21542	-8.59732	0.0094486	10.5586	6.21999	0.0266535	-6.17979	-10.5267	
0.5	0.0112713	8.22062	6.26218	0.0285396	-6.22226	-8.18871	0.00976497	10.155	6.22815	0.0270707	-6.18801	-10.1231	
0	0.0112713	8.22062	6.26218	0.0285396	-6.22226	-8.18871	0.00976497	10.155	6.22815	0.0270707	-6.18801	-10.1231	
