time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0112808	8.20792	5.59311	0.0140894	-5.55319	-8.17601	0.00609496	13.9283	5.48436	0.00849944	-5.44768	-13.8996	
0.05	0.0112878	8.19894	5.59324	0.0140975	-5.55333	-8.16703	0.00610118	13.9197	5.48457	0.00851192	-5.4479	-13.891	
0.075	0.0112995	8.18373	5.59347	0.0141112	-5.55355	-8.15182	0.00611173	13.9052	5.48492	0.00853302	-5.44825	-13.8764	
0.1	0.0113164	8.16193	5.59379	0.0141308	-5.55388	-8.13003	0.00612684	13.8843	5.48543	0.00856323	-5.44876	-13.8556	
0.125	0.0113388	8.13304	5.59422	0.0141566	-5.55431	-8.10113	0.00614687	13.8566	5.4861	0.0086032	-5.44944	-13.8279	
0.15	0.0113672	8.09635	5.59476	0.0141893	-5.55485	-8.06444	0.00617229	13.8214	5.48695	0.00865382	-5.45029	-13.7927	
0.175	0.0114023	8.051	5.59542	0.0142295	-5.55552	-8.01909	0.00620372	13.7779	5.488	0.0087162	-5.45135	-13.7492	
0.2	0.0114449	7.99591	5.59622	0.014278	-5.55632	-7.96401	0.00624188	13.7251	5.48926	0.00879168	-5.45263	-13.6964	
0.225	0.0114961	7.92978	5.59717	0.0143359	-5.55729	-7.89787	0.00628769	13.6617	5.49078	0.00888188	-5.45415	-13.633	
0.25	0.011557	7.85102	5.5983	0.0144042	-5.55842	-7.81911	0.00634222	13.5862	5.49258	0.00898871	-5.45596	-13.5574	
0.275	0.0116291	7.75777	5.59962	0.0144842	-5.55975	-7.72586	0.00640676	13.4967	5.4947	0.00911437	-5.45809	-13.468	
0.3	0.0117141	7.64779	5.60116	0.0145773	-5.5613	-7.61589	0.00648285	13.3911	5.49718	0.0092614	-5.46059	-13.3624	
0.325	0.011814	7.51847	5.60294	0.0146852	-5.56309	-7.48657	0.00657228	13.2669	5.50007	0.00943269	-5.4635	-13.2382	
0.35	0.0119311	7.36672	5.60499	0.0148096	-5.56516	-7.33481	0.00667717	13.1211	5.50343	0.00963149	-5.46689	-13.0924	
0.375	0.0120683	7.18889	5.60735	0.0149522	-5.56753	-7.15698	0.0068	12.9502	5.50733	0.00986141	-5.47082	-12.9214	
