time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	BODY_x	BODY_y	BODY_z	BODY_vx	BODY_vy	BODY_vz	BODY_ax	BODY_ay	BODY_az	COG_vx	COG_vy	COG_vz	COG_ax	COG_ay	COG_az	
0.025	-0.000212201	0.0111016	0.216571	-5.47688e-05	-1.90176e-06	8.95971e-07	-4.8314e-05	0.0992221	9.10668e-07	0.027819	-0.00562033	0.281635	0	0	0	0	0	0	0	0.000842813	0	0	0.0339771	0	
0.05	-0.000212192	0.0111333	0.216571	-5.47707e-05	-1.8202e-06	8.93268e-07	-4.83158e-05	0.0992221	9.07388e-07	0.0278189	-0.00557493	0.281634	-5.27539e-06	0.001816	-6.67311e-05	-0.000211016	0.0726399	-0.00266925	0	0.00170554	0	0	0.0351766	0	
0.075	-0.000212177	0.0111868	0.216571	-5.4774e-05	-1.68213e-06	8.88701e-07	-4.83188e-05	0.0992223	9.01844e-07	0.0278186	-0.00549807	0.281631	-8.922e-06	0.00307423	-0.00011286	-0.000145865	0.0503294	-0.00184516	0	0.00260857	0	0	0.0372073	0	
0.1	-0.000212155	0.0112635	0.216571	-5.47786e-05	-1.48429e-06	8.82175e-07	-4.83231e-05	0.0992224	8.93916e-07	0.0278183	-0.00538795	0.281627	-1.27655e-05	0.00440499	-0.000161482	-0.000153739	0.0532305	-0.00194486	0	0.00357323	0	0	0.0401172	0	
0.125	-0.000212126	0.0113652	0.216571	-5.47848e-05	-1.22202e-06	8.73556e-07	-4.83288e-05	0.0992227	8.83434e-07	0.0278179	-0.00524195	0.281622	-1.68892e-05	0.00583967	-0.000213651	-0.00016495	0.057387	-0.00208679	0	0.00462232	0	0	0.0439749	0	
0.15	-0.000212089	0.0114942	0.216571	-5.47926e-05	-8.89126e-07	8.6267e-07	-4.8336e-05	0.099223	8.70178e-07	0.0278174	-0.00505665	0.281615	-2.13812e-05	0.00741208	-0.000270483	-0.000179679	0.0628965	-0.00227328	0	0.00578062	0	0	0.0488717	0	
0.175	-0.000212043	0.0116538	0.216571	-5.48023e-05	-4.77751e-07	8.49299e-07	-4.8345e-05	0.0992233	8.53871e-07	0.0278167	-0.00482767	0.281607	-2.63351e-05	0.00915929	-0.000333165	-0.000198155	0.0698883	-0.00250725	0	0.00707552	0	0	0.0549232	0	
0.2	-0.000211988	0.0118475	0.216572	-5.4814e-05	2.18044e-08	8.33184e-07	-4.83559e-05	0.0992238	8.34177e-07	0.0278159	-0.00454961	0.281596	-3.18513e-05	0.0111224	-0.000402968	-0.000220648	0.0785263	-0.00279213	0	0.00853759	0	0	0.0622724	0	
0.225	-0.000211922	0.01208	0.216572	-5.4828e-05	6.21322e-07	8.14023e-07	-4.83689e-05	0.0992243	8.10702e-07	0.027815	-0.00421591	0.281584	-3.80377e-05	0.0133478	-0.000481262	-0.000247456	0.089013	-0.00313175	0	0.0102014	0	0	0.071093	0	
0.25	-0.000211844	0.0123568	0.216573	-5.48447e-05	1.33494e-06	7.91468e-07	-4.83844e-05	0.099225	7.82987e-07	0.0278138	-0.00381872	0.28157	-4.501e-05	0.0158876	-0.000569514	-0.000278893	0.101594	-0.0035301	0	0.0121062	0	0	0.0815935	0	
