Time	IMU_ddx	IMU_ddy	IMU_ddz	IMU_yaw	IMU_roll	IMU_pitch	
0.017	0.9849	0.075	-0.0667	-1.7473	2.7695	-1.5102	
0.052	0.9177	0.6858	-0.157	-1.7686	2.7906	-1.5088	
0.086	1.0115	0.0845	-0.0303	-1.7975	2.819	-1.5103	
0.121	0.9604	0.0105	-0.0603	-1.8509	2.8722	-1.5084	
0.164	1.0535	0.0815	-0.031	-1.834	2.8546	-1.5083	
0.197	0.9092	0.0071	-0.1108	-1.8689	2.8895	-1.5084	
0.232	0.9731	0.1438	0.0217	-1.8265	2.8467	-1.5097	
0.266	0.9783	0.0693	-0.0322	-1.8663	2.8861	-1.5108	
0.309	0.9346	0.1199	-0.135	-1.791	2.8107	-1.5093	
0.344	0.95	-0.0249	-0.0698	-1.7541	2.7737	-1.5087	
0.378	0.9568	-0.0012	-0.0645	-1.7688	2.7884	-1.5094	
0.412	0.9453	0.1804	-0.063	-1.7355	2.7551	-1.5103	
0.446	1.0222	0.1514	0.0137	-1.743	2.7619	-1.5113	
0.489	0.9502	0.0696	-0.0208	-1.7616	2.7805	-1.509	
0.524	0.9951	-0.0068	-0.1392	-1.7903	2.8094	-1.5074	
0.55	1.01	-0.031	-0.0706	-1.8352	2.8543	-1.5051	
0.55	1.01	-0.031	-0.0706	-1.8352	2.8543	-1.5051	
2.904	0.8892	0.1047	-0.6526	-1.6926	2.7242	-1.5068	
2.939	1.0247	0.0137	0.1057	-1.7364	2.7679	-1.5115	
2.982	0.9287	-0.1846	-0.5579	-1.7299	2.7607	-1.51	
2.998	1.1182	-0.4692	-0.3225	-1.8112	2.8451	-1.5094	
3.025	1.3474	0.2837	0.5286	-1.7421	2.7783	-1.5103	
3.042	0.8711	-0.7109	0.5815	-1.7929	2.8331	-1.5118	
3.068	1.2163	0.0034	-0.6721	-1.8013	2.8422	-1.5089	
3.093	0.7795	-0.3521	0.0063	-1.8266	2.8746	-1.5087	
3.119	0.5991	-0.1785	0.0374	-1.8525	2.9064	-1.5115	
3.144	0.8054	-0.8843	-0.23	-1.8758	2.9346	-1.5105	
3.17	0.9277	0.9299	-0.7424	-1.8536	2.9217	-1.508	
3.196	0.6016	-0.4116	-0.0488	-1.9098	2.9816	-1.5111	
3.222	0.7639	0.321	-0.2712	-1.8946	2.9699	-1.511	
3.248	0.5605	0.7866	0.1348	-1.8801	2.9614	-1.5081	
3.273	1.0085	-0.0549	0.011	-1.9004	2.9892	-1.5075	
3.299	0.9722	-0.3828	-0.053	-1.9508	3.0453	-1.5079	
3.316	0.9583	-0.238	-0.1125	-1.9355	3.0347	-1.5067	
3.342	1.0105	-0.2715	-0.2271	-1.9633	3.0677	-1.5041	
3.368	1.0039	0.156	-0.2463	-1.9207	3.0322	-1.5004	
3.393	0.8906	-0.3528	0.0408	-1.9637	3.0811	-1.5004	
3.419	1.0825	-0.198	-0.1628	-2.0079	3.1303	-1.4992	
3.446	1.1929	0.0166	-0.6387	-2.0504	-3.1015	-1.4948	
3.471	0.9985	0.3503	-0.3945	-1.9973	3.135	-1.4915	
3.497	1.666	-1.1262	-0.2261	-2.0303	-3.1101	-1.4902	
3.522	1.1243	-0.0452	0.7644	-2.0202	-3.1213	-1.4896	
3.548	0.9138	-0.5105	-0.2207	-2.0434	-3.0957	-1.4896	
3.575	1.6321	-1.4365	0.4958	-2.0392	-3.0983	-1.4883	
3.6	1.0249	-1.0059	-0.2473	-2.0184	-3.1179	-1.4865	
3.626	0.7424	0.467	1.7021	-2.0453	-3.0881	-1.4866	
3.643	0.9395	-0.574	0.3699	-2.0386	-3.1014	-1.4878	
3.669	0.7876	0.6892	-0.1479	-2.0526	-3.0853	-1.4884	
3.694	1.1311	-0.0029	-0.145	-2.0664	-3.069	-1.4886	
3.72	0.9102	0.0107	0.0515	-2.0612	-3.0721	-1.4877	
3.746	0.9941	-0.6743	-0.5261	-2.0634	-3.0717	-1.4854	
3.771	0.9343	-0.7798	-0.1484	-2.0617	-3.0749	-1.4856	
3.797	1.3679	0.2781	-0.0757	-2.0259	-3.1108	-1.4823	
3.822	0.7852	0.624	-0.0852	-2.017	-3.1199	-1.4836	
3.849	0.8989	0.2966	0.0713	-1.9858	3.1323	-1.4842	
3.875	0.9597	-0.0315	-0.0688	-2.0177	-3.1198	-1.4839	
3.9	0.9348	-0.1233	-0.0598	-2.0363	-3.1011	-1.4837	
3.918	0.9773	0.0923	-0.0681	-1.9976	-3.1409	-1.4845	
3.943	0.9116	0.532	0.0413	-2.0133	-3.1257	-1.4867	
3.969	0.9456	0.207	-0.0586	-2.0233	-3.1169	-1.4876	
3.994	1.0945	-0.0156	-0.0544	-2.0243	-3.1172	-1.488	
4.02	0.7183	-0.2524	-0.9741	-2.0622	-3.08	-1.4883	
4.047	1.0142	-0.0042	0.0933	-2.069	-3.0765	-1.4891	
4.072	0.9866	0.1477	-0.1414	-2.0627	-3.086	-1.4882	
4.098	0.9565	0.1345	-0.0103	-2.0514	-3.0988	-1.4897	
4.123	1.1204	-0.333	-0.321	-2.0682	-3.0851	-1.4892	
4.149	0.9375	-0.4324	-0.2871	-2.0699	-3.0863	-1.4889	
4.175	0.781	0.1321	0.1523	-2.0764	-3.0802	-1.4904	
4.192	1.0471	0.2292	-0.0562	-2.0802	-3.0766	-1.4908	
4.218	0.9502	0.0332	-0.0354	-2.034	-3.1318	-1.4937	
4.243	0.9756	0.1643	0.0264	-2.0585	-3.1127	-1.4916	
4.269	1.0557	-0.0776	-0.489	-2.0489	-3.1269	-1.4911	
4.294	0.9727	0.0461	-0.5833	-2.0571	-3.125	-1.4885	
4.32	0.561	0.5303	0.1033	-2.0366	3.1285	-1.4904	
4.347	0.5139	0.4243	-0.0708	-2.0302	3.117	-1.4902	
4.372	1.0276	0.5	-0.2393	-1.9882	3.0675	-1.4866	
4.398	0.9333	0.1101	-0.6841	-1.9719	3.048	-1.4873	
4.423	0.9424	-0.2744	0.3674	-1.9654	3.0342	-1.4906	
4.449	1.1003	0.0352	-0.1614	-1.9677	3.0291	-1.4899	
4.475	0.9658	0.0378	-0.0757	-1.956	3.0086	-1.4901	
4.5	1.0044	0.6663	-0.0571	-1.9756	3.02	-1.4917	
4.518	1.0427	0.0193	-0.1509	-2.0125	3.0518	-1.4911	
4.543	1.0906	0.1492	-0.1055	-1.9834	3.0163	-1.4892	
4.569	0.7959	1.7419	0.1162	-1.9924	3.0153	-1.4887	
4.595	0.9883	0.2051	0.8813	-2.0297	3.0519	-1.4904	
4.621	1.4023	0.4902	-0.4846	-2.0369	3.0535	-1.4887	
4.647	1.3591	0.4248	0.6775	-2.0907	3.1006	-1.488	
4.672	1.4077	0.3149	-0.1428	-2.0434	3.0538	-1.4884	
4.698	1.9922	2.1548	1.2695	-2.0061	3.0075	-1.4846	
4.723	1.1719	0.4653	-0.1536	-1.9785	2.9821	-1.4818	
4.75	0.9426	0.2329	0.0532	-1.945	2.9439	-1.4821	
4.776	0.9143	0.0981	-0.033	-1.9262	2.9243	-1.4836	
4.801	0.9065	-0.2476	-0.0364	-1.9934	2.9931	-1.4834	
4.818	0.8032	1.1726	-0.7917	-1.9501	2.9508	-1.482	
4.844	1.1724	0.6531	-0.0608	-1.9676	2.9624	-1.4827	
4.87	1.1152	0.2351	0.0098	-1.9597	2.9551	-1.4828	
4.895	1.2021	0.3086	0.2222	-1.9624	2.9553	-1.4859	
4.921	0.6387	-0.3555	1.467	-2.0202	3.0119	-1.4907	
4.947	1.0518	-0.2932	-1.3958	-1.9789	2.9687	-1.4888	
4.972	1.0188	0.2246	0.2361	-1.9921	2.9806	-1.4912	
4.998	1.1094	0.0129	-0.0596	-2.0044	2.9934	-1.4934	
5.025	1.0769	0.0713	-0.0542	-1.9938	2.9826	-1.4954	
5.05	0.9934	0.199	0.0786	-1.9928	2.9807	-1.4958	
5.076	1.0391	0.1177	0.002	-1.9664	2.9542	-1.4951	
5.093	1.0691	0.1235	0.1731	-1.9284	2.9171	-1.4967	
5.119	1.0942	0.0283	-0.032	-1.9014	2.8905	-1.4998	
5.144	1.2336	-0.0759	-0.1018	-1.9384	2.9291	-1.5014	
5.17	0.9771	0.571	0.1211	-1.9718	2.963	-1.5024	
5.196	0.6416	-0.0537	-0.4446	-2.0164	3.0096	-1.5011	
5.222	0.9492	0.585	0.1575	-2.003	2.9953	-1.4972	
5.248	0.7856	-0.0916	-0.0667	-2.0379	3.0338	-1.4966	
5.273	0.9167	0.3088	-0.3479	-2.0062	3.0037	-1.4949	
5.299	0.5298	-0.2773	-0.4004	-2.0412	3.0438	-1.4933	
5.325	0.6824	0.3489	0.2183	-2.0452	3.0472	-1.4956	
5.35	1.157	0.4448	0.1299	-2.0758	3.0826	-1.4939	
5.376	1.0537	1.1768	-0.0659	-2.122	3.1363	-1.4946	
5.401	1.0334	0.4634	0.2583	-2.1425	-3.1228	-1.4958	
5.419	0.8201	0.0701	-0.3826	-2.1288	-3.1315	-1.4953	
5.444	0.8677	0.0129	-0.0806	-2.0808	3.1105	-1.4951	
