L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.80055	7.34066	-0.00264581	-5.49451	-9.45055	11.3692	5.93407	-0.00326431	-5.47253	-11.3297	-67.25	459.99	61.87	16.14	8.07	-212.51	-88.77	0	
9.71264	7.34066	-0.00264581	-5.49451	-9.53846	11.3692	5.93407	-0.00326431	-5.47253	-11.3297	-147.95	459.99	56.49	10.76	-2.69	-207.13	-88.77	0	
9.80055	7.34066	-0.00264581	-5.49451	-9.45055	11.3692	5.93407	-0.00326431	-5.47253	-11.3297	29.59	459.99	56.49	29.59	134.5	-207.13	-64.56	0	
9.62473	7.34066	-0.00264581	-5.49451	-9.45055	11.3692	5.93407	-0.00326431	-5.47253	-11.3297	-212.51	457.3	64.56	24.21	64.56	-220.58	-67.25	0	
9.71264	7.34066	-0.00264581	-5.49451	-9.53846	11.2813	6.02198	-0.00326431	-5.47253	-11.3297	-279.76	459.99	53.8	0	94.15	-212.51	-69.94	0	
9.71264	7.34066	-0.00264581	-5.49451	-9.45055	11.2813	5.93407	-0.00326431	-5.47253	-11.3297	-10.76	457.3	53.8	0	134.5	-199.06	-72.63	-2.69	
9.62473	7.34066	-0.00264581	-5.49451	-9.45055	11.2813	5.93407	-0.00326431	-5.47253	-11.3297	-279.76	459.99	56.49	0	13.45	-207.13	-83.39	-2.69	
9.62473	7.34066	-0.00264581	-5.49451	-9.45055	11.1934	6.02198	-0.00326431	-5.47253	-11.3297	-2.69	454.61	53.8	0	357.77	-201.75	-32.28	0	
9.4489	7.34066	-0.00264581	-5.49451	-9.45055	11.1934	5.93407	-0.00326431	-5.47253	-11.2418	-328.18	457.3	61.87	0	107.6	-185.61	-67.25	0	
9.4489	7.34066	-0.00264581	-5.49451	-9.71429	11.1055	5.93407	-0.00326431	-5.47253	-11.2418	24.21	454.61	80.7	-8.07	110.29	-209.82	-88.77	0	
9.4489	7.34066	-0.00264581	-5.49451	-9.36264	11.1055	5.93407	-0.00326431	-5.47253	-11.1538	169.47	454.61	69.94	-8.07	67.25	-223.27	-75.32	0	
9.27308	7.34066	-0.00264581	-5.49451	-9.36264	10.9297	5.93407	-0.00326431	-5.38462	-11.0659	-406.19	451.92	64.56	-26.9	67.25	-180.23	-78.01	0	
9.27308	7.34066	-0.00264581	-5.49451	-9.27473	10.9297	6.02198	-0.00326431	-5.47253	-10.978	86.08	451.92	59.18	-5.38	59.18	-212.51	-94.15	0	
9.09725	7.34066	-0.00264581	-5.49451	-9.18681	10.6659	5.93407	-0.00326431	-5.47253	-10.8022	-274.38	454.61	32.28	-13.45	-110.29	-185.61	-37.66	-26.9	
