L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
9.71264	6.81319	-0.002474	-5.40659	-9.62637	11.2813	5.67033	-0.00298942	-5.47253	-11.3297	0	347.01	51.11	0	104.91	-134.5	-80.7	0	
9.71264	6.81319	-0.002474	-5.40659	-9.53846	11.2813	5.67033	-0.00298942	-5.47253	-11.3297	0	347.01	2.69	0	161.4	-118.36	-78.01	0	
9.71264	6.81319	-0.002474	-5.40659	-9.62637	11.3692	5.67033	-0.00298942	-5.38462	-11.3297	72.63	352.39	34.97	0	196.37	-134.5	-75.32	0	
9.62473	6.72527	-0.002474	-5.40659	-9.53846	11.3692	5.67033	-0.00298942	-5.47253	-11.3297	-5.38	347.01	0	0	34.97	-121.05	-88.77	0	
9.62473	6.72527	-0.002474	-5.40659	-9.62637	11.2813	5.67033	-0.00298942	-5.47253	-11.3297	80.7	352.39	21.52	-5.38	96.84	-126.43	-86.08	0	
9.62473	6.72527	-0.002474	-5.49451	-9.62637	11.3692	5.67033	-0.00298942	-5.47253	-11.3297	80.7	349.7	0	-8.07	147.95	-118.36	-83.39	0	
9.53681	6.81319	-0.002474	-5.40659	-9.62637	11.2813	5.67033	-0.00298942	-5.47253	-11.3297	-5.38	344.32	21.52	0	102.22	-150.64	-78.01	0	
9.53681	6.81319	-0.002474	-5.40659	-9.53846	11.1934	5.67033	-0.00298942	-5.47253	-11.2418	45.73	347.01	5.38	-2.69	363.15	-129.12	-67.25	2.69	
9.4489	6.72527	-0.002474	-5.40659	-9.53846	11.1934	5.67033	-0.00298942	-5.47253	-11.2418	-5.38	349.7	10.76	2.69	333.56	-137.19	-32.28	0	
9.4489	6.72527	-0.002474	-5.40659	-9.71429	11.1055	5.67033	-0.00298942	-5.47253	-11.2418	-174.85	336.25	0	-8.07	24.21	-137.19	-29.59	0	
9.36099	6.81319	-0.002474	-5.40659	-9.18681	11.1055	5.67033	-0.00298942	-5.47253	-11.1538	-161.4	344.32	8.07	-10.76	72.63	-61.87	-75.32	0	
9.27308	6.81319	-0.002474	-5.40659	-9.27473	11.0176	5.67033	-0.00298942	-5.47253	-11.0659	-204.44	349.7	26.9	-8.07	99.53	-53.8	-78.01	0	
9.18516	6.72527	-0.002474	-5.40659	-9.0989	10.8418	5.67033	-0.00298942	-5.47253	-10.978	-156.02	349.7	32.28	-18.83	-239.41	-126.43	-94.15	0	
9.00934	6.81319	-0.002474	-5.40659	-9.27473	10.7538	5.67033	-0.00298942	-5.47253	-10.8022	37.66	347.01	0	8.07	-67.25	-69.94	-67.25	-5.38	
8.92143	6.81319	-0.002474	-5.40659	-9.01099	10.6659	5.75824	-0.00298942	-5.47253	-10.7143	-156.02	352.39	0	-26.9	-8.07	-164.09	-67.25	13.45	
8.7456	6.81319	-0.002474	-5.31868	-8.83516	10.4901	5.75824	-0.00298942	-5.47253	-10.5385	13.45	352.39	0	0	-236.72	-137.19	-88.77	-2.69	
8.48187	6.81319	-0.002474	-5.31868	-8.3956	10.2264	5.84615	-0.00298942	-5.47253	-10.3626	-10.76	355.08	0	-5.38	29.59	-118.36	-32.28	0	
8.30604	6.81319	-0.00147753	-5.23077	-8.48352	10.0505	5.75824	-0.00274889	-5.47253	-10.0989	123.74	352.39	0	-45.73	-390.05	-147.95	-32.28	5.38	
8.04231	6.81319	-0.000515418	-5.31868	-8.30769	9.87473	5.75824	-0.00268017	-5.38462	-9.92308	18.83	352.39	-2.69	-2.69	-59.18	-118.36	-53.8	-13.45	
7.69066	6.81319	-0.000309251	-5.23077	-7.95604	9.43516	5.75824	-0.00240528	-5.47253	-9.57143	24.21	352.39	-8.07	0	-29.59	-139.88	-43.04	26.9	
