time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.015	0.00957845	9.02611	1.3832	-0.0240427	-1.34719	-8.9974	0.00951553	9.11603	1.39668	-0.0241258	-1.36066	-9.08732	
0.03	0.00957873	9.02572	1.3832	-0.0240424	-1.3472	-8.997	0.00951581	9.11564	1.39668	-0.0241254	-1.36066	-9.08692	
0.045	0.00957919	9.02505	1.38321	-0.0240418	-1.3472	-8.99634	0.00951627	9.11497	1.39669	-0.0241248	-1.36067	-9.08626	
0.06	0.00957985	9.02412	1.38321	-0.0240409	-1.3472	-8.9954	0.00951692	9.11404	1.39669	-0.024124	-1.36067	-9.08532	
0.075	0.0095807	9.0229	1.38321	-0.0240398	-1.34721	-8.99419	0.00951778	9.11282	1.39669	-0.0241229	-1.36068	-9.08411	
0.09	0.00958176	9.02139	1.38322	-0.0240385	-1.34721	-8.99267	0.00951883	9.11131	1.3967	-0.0241215	-1.36068	-9.0826	
0.105	0.00958303	9.01957	1.38323	-0.0240368	-1.34722	-8.99085	0.00952011	9.10949	1.39671	-0.0241198	-1.36069	-9.08078	
0.12	0.00958453	9.01743	1.38324	-0.0240349	-1.34723	-8.98871	0.00952161	9.10735	1.39672	-0.0241179	-1.3607	-9.07864	
0.135	0.00958627	9.01494	1.38325	-0.0240327	-1.34724	-8.98622	0.00952335	9.10486	1.39673	-0.0241156	-1.36071	-9.07615	
0.15	0.00958827	9.01208	1.38326	-0.0240301	-1.34725	-8.98336	0.00952535	9.10201	1.39674	-0.024113	-1.36072	-9.07329	
0.165	0.00959055	9.00882	1.38327	-0.0240272	-1.34726	-8.98011	0.00952762	9.09875	1.39675	-0.0241101	-1.36073	-9.07004	
0.18	0.00959312	9.00515	1.38328	-0.0240239	-1.34728	-8.97643	0.0095302	9.09508	1.39676	-0.0241068	-1.36075	-9.06636	
0.195	0.00959602	9.001	1.3833	-0.0240202	-1.34729	-8.97229	0.00953309	9.09094	1.39678	-0.024103	-1.36077	-9.06222	
0.21	0.00959926	8.99636	1.38332	-0.024016	-1.34731	-8.96765	0.00953634	9.0863	1.3968	-0.0240988	-1.36079	-9.05758	
0.225	0.00960289	8.99118	1.38334	-0.0240114	-1.34733	-8.96247	0.00953997	9.08112	1.39682	-0.0240942	-1.36081	-9.0524	
