L_C_roll	L_A_roll	L_Linear	
0	0	-0.0199295	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0202731	
0	0	-0.020548	
0	0	-0.020548	
0	0	-0.020548	
0	0	-0.020548	
0	0	-0.020548	
0	0	-0.020548	
0	0	-0.0204793	
0	0	-0.0204793	
0	0	-0.0204793	
0	0	-0.0204793	
0	0	-0.0203418	
0	0	-0.0201356	
0	0	-0.0200669	
0	0	-0.0199295	
0	0	-0.0199982	
0	0	-0.0198608	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0203418	
0	0	-0.0196546	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0197233	
0	0	-0.0197233	
0	0	-0.0196546	
0	0	-0.0196546	
0	0	-0.0195171	
0	0	-0.0197233	
0	0	-0.0191048	
0	0	-0.0190361	
0	0	-0.0190361	
0	0	-0.0184863	
0	0	-0.0184863	
0	0	-0.0184863	
0	0	-0.018555	
0	0	-0.0186925	
0	0	-0.0186925	
0	0	-0.0186925	
0	0	-0.0186925	
0	0	-0.0187612	
0	0	-0.0186925	
0	0	-0.0188986	
0	0	-0.0188299	
0	0	-0.0195171	
0	0	-0.0200669	
0	0	-0.0206854	
0	0	-0.0206167	
0	0	-0.021029	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.021029	
0	0	-0.0210978	
0	0	-0.0210978	
0	0	-0.0211665	
0	0	-0.0219911	
0	0	-0.0224035	
0	0	-0.0230907	
0	0	-0.0231594	
0	0	-0.0231594	
0	0	-0.0231594	
0	0	-0.0231594	
0	0	-0.0231594	
0	0	-0.0231594	
0	0	-0.0232969	
0	0	-0.0232969	
0	0	-0.0232282	
0	0	-0.0232282	
0	0	-0.0232282	
0	0	-0.0232969	
0	0	-0.0232282	
0	0	-0.0232282	
0	0	-0.0238467	
0	0	-0.0236405	
0	0	-0.0238467	
0	0	-0.0238467	
0	0	-0.0238467	
0	0	-0.0238467	
0	0	-0.0238467	
0	0	-0.0246026	
0	0	-0.0246026	
0	0	-0.0246713	
0	0	-0.0244652	
0	0	-0.0249462	
0	0	-0.0251524	
0	0	-0.0257022	
0	0	-0.0259083	
0	0	-0.0261145	
0	0	-0.0263207	
0	0	-0.0265268	
0	0	-0.0265268	
0	0	-0.0265268	
0	0	-0.0265268	
0	0	-0.0265268	
0	0	-0.0265955	
0	0	-0.0265955	
0	0	-0.0261145	
0	0	-0.0259083	
0	0	-0.0256334	
0	0	-0.0252211	
0	0	-0.0245339	
0	0	-0.0243277	
0	0	-0.0237779	
0	0	-0.0237092	
0	0	-0.0235718	
0	0	-0.0224035	
0	0	-0.0221973	
0	0	-0.0212352	
0	0	-0.0206854	
0	0	-0.0204793	
0	0	-0.0203418	
0	0	-0.0203418	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.019792	
0	0	-0.0195859	
0	0	-0.0199295	
0	0	-0.0191735	
0	0	-0.0184176	
0	0	-0.0159436	
0	0	-0.0153251	
0	0	-0.0152564	
0	0	-0.0147066	
0	0	-0.0144317	
0	0	-0.0140194	
0	0	-0.0134696	
0	0	-0.0126449	
0	0	-0.0114766	
0	0	-0.0104458	
0	0	-0.00962113	
0	0	-0.00900263	
0	0	-0.00824668	
0	0	-0.00721585	
0	0	-0.00604757	
0	0	-0.00487929	
0	0	-0.00384845	
0	0	-0.00261145	
0	0	-0.00151189	
0	0	-0.000137445	
0	0	0.000824668	
0	0	0.00151189	
0	0	0.00199295	
0	0	0.00302378	
0	0	0.00364228	
0	0	0.00467312	
0	0	0.00563523	
0	0	0.00652862	
0	0	0.00735329	
0	0	0.00790307	
0	0	0.00872774	
0	0	0.00975857	
0	0	0.0107894	
0	0	0.0114079	
0	0	0.0132634	
0	0	0.0140881	
0	0	0.0146379	
0	0	0.0158061	
0	0	0.0170431	
0	0	0.0173868	
0	0	0.0182801	
0	0	0.0184176	
0	0	0.0186238	
0	0	0.0188299	
0	0	0.0191048	
0	0	0.0191735	
0	0	0.019311	
0	0	0.0188299	
0	0	0.0192423	
0	0	0.0189674	
0	0	0.0183489	
0	0	0.0183489	
0	0	0.0188299	
0	0	0.0180053	
0	0	0.0182114	
0	0	0.017318	
0	0	0.0165621	
0	0	0.0156687	
0	0	0.0154625	
0	0	0.0150502	
0	0	0.0138819	
0	0	0.0127136	
0	0	0.0102396	
0	0	0.00845285	
0	0	0.00673479	
0	0	0.00494801	
0	0	0.00405462	
0	0	0.00199295	
0	0	-0.000137445	
0	0	-0.00130572	
0	0	-0.00233656	
0	0	-0.00316123	
0	0	-0.00391717	
0	0	-0.00240528	
0	0	-0.00336739	
0	0	-0.00336739	
0	0	-0.00412334	
0	0	-0.00487929	
0	0	-0.00529162	
0	0	-0.00549779	
0	0	-0.00611629	
0	0	-0.00652862	
0	0	-0.00694096	
0	0	-0.00749073	
0	0	-0.0076969	
0	0	-0.00852157	
0	0	-0.00927752	
0	0	-0.00968985	
0	0	-0.00968985	
0	0	-0.0107894	
0	0	-0.0122326	
0	0	-0.0126449	
0	0	-0.0128511	
0	0	-0.0132634	
0	0	-0.013126	
0	0	-0.0132634	
0	0	-0.0134009	
0	0	-0.0134696	
0	0	-0.0134696	
0	0	-0.0134696	
0	0	-0.0142942	
0	0	-0.014363	
0	0	-0.014844	
0	0	-0.0147066	
0	0	-0.0147066	
0	0	-0.0147066	
0	0	-0.0147753	
0	0	-0.0146379	
0	0	-0.0140194	
0	0	-0.0140194	
0	0	-0.0135383	
0	0	-0.0127136	
0	0	-0.0119577	
0	0	-0.0115454	
0	0	-0.0114079	
0	0	-0.0105145	
0	0	-0.00900263	
0	0	-0.00804051	
0	0	-0.00728457	
0	0	-0.00728457	
0	0	-0.00728457	
0	0	-0.00728457	
0	0	-0.00728457	
0	0	-0.00776562	
0	0	-0.00742201	
0	0	-0.00783435	
0	0	-0.00845285	
0	0	-0.00879646	
0	0	-0.00900263	
0	0	-0.00962113	
0	0	-0.00955241	
0	0	-0.00968985	
0	0	-0.00996474	
0	0	-0.0103084	
0	0	-0.0103771	
0	0	-0.0105145	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0104458	
0	0	-0.0103084	
0	0	-0.0103084	
0	0	-0.0103084	
0	0	-0.0103084	
0	0	-0.0103084	
0	0	-0.0100335	
0	0	-0.0100335	
0	0	-0.0101709	
0	0	-0.0103084	
0	0	-0.0105832	
0	0	-0.0107894	
0	0	-0.0105832	
0	0	-0.00955241	
0	0	-0.00914007	
0	0	-0.00934624	
0	0	-0.00914007	
0	0	-0.00907135	
0	0	-0.00907135	
0	0	-0.00907135	
0	0	-0.00907135	
0	0	-0.00907135	
0	0	-0.00872774	
0	0	-0.00879646	
0	0	-0.00872774	
0	0	-0.00872774	
0	0	-0.00886518	
0	0	-0.00872774	
0	0	-0.00872774	
0	0	-0.00865901	
0	0	-0.00865901	
0	0	-0.00865901	
0	0	-0.00865901	
0	0	-0.00865901	
0	0	-0.00865901	
0	0	-0.00838413	
0	0	-0.00728457	
0	0	-0.0070784	
0	0	-0.00659734	
0	0	-0.00632246	
0	0	-0.00556651	
0	0	-0.0052229	
0	0	-0.00446695	
0	0	-0.00432951	
0	0	-0.00384845	
0	0	-0.00274889	
0	0	-0.00254273	
0	0	-0.00274889	
0	0	-0.00240528	
0	0	-0.00158061	
0	0	-0.00137445	
0	0	-0.00137445	
0	0	-0.00103084	
0	0	-0.000274889	
0	0	-0.000206167	
0	0	0.000618501	
0	0	0.000962113	
0	0	0.00089339	
0	0	0.00151189	
0	0	0.00164934	
0	0	0.00219911	
0	0	0.00178678	
0	0	0.00240528	
0	0	0.00316123	
0	0	0.00302378	
0	0	0.0039859	
0	0	0.00474184	
0	0	0.00536034	
0	0	0.00556651	
0	0	0.00618501	
0	0	0.00652862	
0	0	0.00728457	
0	0	0.00790307	
0	0	0.00845285	
0	0	0.00941496	
0	0	0.0101709	
0	0	0.0107894	
0	0	0.0115454	
0	0	0.0121639	
0	0	0.0131947	
0	0	0.0141568	
0	0	0.0147753	
0	0	0.0158061	
0	0	0.0170431	
0	0	0.0181427	
0	0	0.019792	
0	0	0.0211665	
0	0	0.0228158	
0	0	0.0243277	
0	0	0.0256334	
0	0	0.0261145	
0	0	0.0266643	
0	0	0.0269392	
0	0	0.0279013	
0	0	0.0294819	
0	0	0.0306502	
0	0	0.031681	
0	0	0.032918	
0	0	0.0343612	
0	0	0.0349797	
0	0	0.0358043	
0	0	0.0360792	
0	0	0.0362167	
0	0	0.0362854	
0	0	0.0363541	
0	0	0.0364228	
0	0	0.0362854	
0	0	0.0351171	
0	0	0.0344986	
0	0	0.0346361	
0	0	0.0339488	
0	0	0.0327806	
0	0	0.031681	
0	0	0.0308563	
0	0	0.0293444	
0	0	0.0291383	
0	0	0.0281762	
0	0	0.0263894	
0	0	0.0250837	
0	0	0.0239841	
0	0	0.0227471	
0	0	0.021785	
0	0	0.0206854	
0	0	0.0199982	
0	0	0.0193797	
0	0	0.0194484	
0	0	0.0189674	
0	0	0.0175929	
0	0	0.0164246	
0	0	0.0149815	
0	0	0.0137445	
0	0	0.0129885	
0	0	0.0120951	
0	0	0.0109269	
0	0	0.00975857	
0	0	0.00783435	
0	0	0.00639118	
0	0	0.00673479	
0	0	0.00639118	
0	0	0.00556651	
0	0	0.00494801	
0	0	0.00432951	
0	0	0.00336739	
0	0	0.00226784	
0	0	0.00164934	
0	0	0.000343612	
0	0	-0.000343612	
0	0	-0.000755946	
0	0	-0.00137445	
0	0	-0.00151189	
0	0	-0.00288634	
0	0	-0.00288634	
0	0	-0.00329867	
0	0	-0.00357356	
0	0	-0.00412334	
0	0	-0.00453567	
0	0	-0.00453567	
0	0	-0.0046044	
0	0	-0.0046044	
0	0	-0.0046044	
0	0	-0.00542906	
0	0	-0.00570395	
0	0	-0.00563523	
0	0	-0.00556651	
0	0	-0.00556651	
0	0	-0.00542906	
0	0	-0.00529162	
0	0	-0.00529162	
0	0	-0.00487929	
0	0	-0.00494801	
0	0	-0.00439823	
0	0	-0.00426079	
0	0	-0.00391717	
0	0	-0.00316123	
0	0	-0.00316123	
0	0	-0.00274889	
0	0	-0.00213039	
0	0	-0.00206167	
0	0	-0.00171806	
0	0	-0.000962113	
0	0	-0.000824668	
0	0	-0.000687223	
0	0	-0.000755946	
0	0	-0.000824668	
0	0	-0.000824668	
0	0	-0.000962113	
0	0	-0.00103084	
0	0	-0.00103084	
0	0	-0.00103084	
0	0	-0.001237	
0	0	-0.001237	
0	0	-0.00171806	
0	0	-0.0018555	
0	0	-0.00178678	
0	0	-0.0018555	
0	0	-0.0018555	
0	0	-0.00178678	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00171806	
0	0	-0.00178678	
0	0	-0.00178678	
0	0	-0.00130572	
0	0	-0.00164934	
0	0	-0.00240528	
0	0	-0.00329867	
0	0	-0.00371101	
0	0	-0.00295506	
0	0	-0.00302378	
0	0	-0.00329867	
0	0	-0.00329867	
0	0	-0.00350484	
0	0	-0.0039859	
0	0	-0.00391717	
0	0	-0.00391717	
0	0	-0.00391717	
0	0	-0.00336739	
0	0	-0.00329867	
0	0	-0.00316123	
0	0	-0.00316123	
0	0	-0.00288634	
0	0	-0.00254273	
0	0	-0.00226784	
0	0	-0.00233656	
0	0	-0.00219911	
0	0	-0.00171806	
0	0	-0.00116828	
0	0	-0.000618501	
0	0	0.000206167	
0	0	0.00109956	
0	0	0.00144317	
0	0	0.00213039	
0	0	0.00233656	
0	0	0.00281762	
0	0	0.00261145	
0	0	0.00357356	
0	0	0.0039859	
0	0	0.00474184	
0	0	0.00687223	
0	0	0.00742201	
0	0	0.0083154	
0	0	0.00872774	
0	0	0.00975857	
0	0	0.0103084	
0	0	0.0105832	
0	0	0.0113392	
0	0	0.0116141	
0	0	0.0119577	
0	0	0.0127136	
0	0	0.0124387	
0	0	0.0140194	
0	0	0.0152564	
0	0	0.0159436	
0	0	0.0152564	
0	0	0.0154625	
0	0	0.0164934	
0	0	0.0177304	
0	0	0.0188299	
0	0	0.0195171	
0	0	0.021029	
0	0	0.0221973	
0	0	0.0233656	
0	0	0.024259	
0	0	0.0250149	
0	0	0.0252211	
0	0	0.0259083	
0	0	0.0266643	
0	0	0.0274889	
0	0	0.0283136	
0	0	0.029207	
0	0	0.0298255	
0	0	0.0311999	
0	0	0.0323682	
0	0	0.0331242	
0	0	0.0348422	
0	0	0.0357356	
