time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.02	0	0.000211618	0.255	-8.05936e-05	-1.66972e-05	6.31857e-05	-8.05287e-05	0.103924	6.31869e-05	0	0.000161991
0.04	0	0.000216496	0.255	-8.05938e-05	-1.66895e-05	6.31857e-05	-8.05288e-05	0.103924	6.31869e-05	0	0.000326478
0.06	0	0.00022471	0.255	-8.05941e-05	-1.66763e-05	6.31857e-05	-8.05291e-05	0.103924	6.31869e-05	0	0.000495996
0.08	0	0.000236387	0.255	-8.05944e-05	-1.66577e-05	6.31857e-05	-8.05295e-05	0.103924	6.31869e-05	0	0.000673156
0.1	0	0.000251706	0.255	-8.0595e-05	-1.66333e-05	6.31857e-05	-8.053e-05	0.103924	6.31868e-05	0	0.000860687
0.12	0	0.000270903	0.255	-8.05956e-05	-1.66026e-05	6.31857e-05	-8.05306e-05	0.103924	6.31868e-05	0	0.00106148
0.14	0	0.000294274	0.255	-8.05964e-05	-1.65653e-05	6.31857e-05	-8.05314e-05	0.103924	6.31868e-05	0	0.00127863
0.16	0	0.000322179	0.255	-8.05973e-05	-1.65208e-05	6.31857e-05	-8.05324e-05	0.103924	6.31868e-05	0	0.00151548
0.18	0	0.000355049	0.255	-8.05984e-05	-1.64683e-05	6.31857e-05	-8.05335e-05	0.103925	6.31867e-05	0	0.00177568
0.2	0	0.000393389	0.255	-8.05997e-05	-1.64071e-05	6.31857e-05	-8.05348e-05	0.103925	6.31867e-05	0	0.00206324
0.22	0	0.00043779	0.255	-8.06012e-05	-1.63363e-05	6.31857e-05	-8.05362e-05	0.103925	6.31866e-05	0	0.00238259
0.24	0	0.000488937	0.255	-8.06029e-05	-1.62546e-05	6.31857e-05	-8.05379e-05	0.103925	6.31866e-05	0	0.00273865
0.26	0	0.000547617	0.255	-8.06048e-05	-1.6161e-05	6.31857e-05	-8.05399e-05	0.103925	6.31865e-05	0	0.00313691
0.28	0	0.000614735	0.255	-8.0607e-05	-1.60538e-05	6.31857e-05	-8.05422e-05	0.103925	6.31864e-05	0	0.0035835
0.3	0	0.000691325	0.255	-8.06096e-05	-1.59316e-05	6.31857e-05	-8.05447e-05	0.103925	6.31864e-05	0	0.0040853
0.32	0	0.000778567	0.255	-8.06125e-05	-1.57923e-05	6.31857e-05	-8.05476e-05	0.103925	6.31863e-05	0	0.00465006
0.34	0	0.000877805	0.255	-8.06158e-05	-1.5634e-05	6.31858e-05	-8.0551e-05	0.103925	6.31862e-05	0	0.00528646
0.36	0	0.000990568	0.255	-8.06196e-05	-1.5454e-05	6.31858e-05	-8.05547e-05	0.103926	6.31861e-05	0	0.00600431
0.38	0	0.00111859	0.255	-8.06238e-05	-1.52496e-05	6.31859e-05	-8.0559e-05	0.103926	6.3186e-05	0	0.00681468
0.4	0	0.00126385	0.255	-8.06286e-05	-1.50178e-05	6.31859e-05	-8.05639e-05	0.103926	6.3186e-05	0	0.00773005
0.42	0	0.00142859	0.255	-8.06341e-05	-1.47548e-05	6.3186e-05	-8.05694e-05	0.103926	6.31859e-05	0	0.00876452
0.44	0	0.00161534	0.255	-8.06403e-05	-1.44568e-05	6.31862e-05	-8.05756e-05	0.103927	6.31858e-05	0	0.00993404
0.46	0	0.00182697	0.255	-8.06473e-05	-1.4119e-05	6.31864e-05	-8.05827e-05	0.103927	6.31857e-05	0	0.0112566
0.48	0	0.00206676	0.255	-8.06553e-05	-1.37362e-05	6.31866e-05	-8.05907e-05	0.103927	6.31857e-05	0	0.0127526
0.5	0	0.00233839	0.255	-8.06643e-05	-1.33027e-05	6.31869e-05	-8.05997e-05	0.103928	6.31857e-05	0	0.0144452
0.52	0	0.00264604	0.255	-8.06745e-05	-1.28116e-05	6.31873e-05	-8.06099e-05	0.103928	6.31857e-05	0	0.0163602
0.54	0	0.00299447	0.255	-8.0686e-05	-1.22554e-05	6.31878e-05	-8.06215e-05	0.103929	6.31858e-05	0	0.0185274
0.56	0	0.00338904	0.255	-8.06991e-05	-1.16256e-05	6.31885e-05	-8.06347e-05	0.103929	6.31861e-05	0	0.02098
0.58	0	0.00383583	0.255	-8.07139e-05	-1.09124e-05	6.31893e-05	-8.06495e-05	0.10393	6.31864e-05	0	0.0237559
0.6	0	0.00434172	0.255	-8.07305e-05	-1.01049e-05	6.31905e-05	-8.06663e-05	0.103931	6.3187e-05	0	0.0268978
0.62	0	0.0049145	0.255	-8.07494e-05	-9.19052e-06	6.31919e-05	-8.06852e-05	0.103932	6.31878e-05	0	0.0304542
