time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.02	0.00958466	9.01724	1.38324	-0.0240347	-1.34723	-8.98852	0.00934745	9.35598	1.38189	-0.0243445	-1.34584	-9.32726	
0.04	0.00958526	9.01639	1.38324	-0.024034	-1.34723	-8.98767	0.00934805	9.35513	1.38189	-0.0243437	-1.34585	-9.32641	
0.06	0.00958626	9.01496	1.38325	-0.0240327	-1.34724	-8.98624	0.00934905	9.3537	1.38189	-0.0243424	-1.34585	-9.32498	
0.08	0.00958768	9.01292	1.38325	-0.0240309	-1.34725	-8.9842	0.00935048	9.35167	1.3819	-0.0243405	-1.34586	-9.32295	
0.1	0.00958955	9.01025	1.38326	-0.0240285	-1.34726	-8.98153	0.00935235	9.349	1.38191	-0.024338	-1.34587	-9.32028	
0.12	0.00959189	9.0069	1.38328	-0.0240255	-1.34727	-8.97818	0.00935469	9.34566	1.38193	-0.0243349	-1.34588	-9.31694	
0.14	0.00959475	9.00282	1.38329	-0.0240218	-1.34729	-8.97411	0.00935754	9.34159	1.38194	-0.0243311	-1.3459	-9.31287	
0.16	0.00959815	8.99796	1.38331	-0.0240175	-1.34731	-8.96924	0.00936094	9.33673	1.38196	-0.0243266	-1.34592	-9.30801	
0.18	0.00960216	8.99222	1.38334	-0.0240123	-1.34733	-8.96351	0.00936495	9.33101	1.38199	-0.0243213	-1.34595	-9.30229	
0.2	0.00960684	8.98553	1.38336	-0.0240064	-1.34736	-8.95682	0.00936963	9.32433	1.38201	-0.0243151	-1.34597	-9.29562	
0.22	0.00961226	8.97779	1.38339	-0.0239994	-1.34739	-8.94907	0.00937505	9.3166	1.38204	-0.0243079	-1.34601	-9.28789	
0.24	0.0096185	8.96887	1.38343	-0.0239915	-1.34742	-8.94015	0.00938129	9.3077	1.38208	-0.0242996	-1.34604	-9.27898	
