time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.015	0	0.000160752	0.235	-8.05919e-05	-1.67784e-05	6.31857e-05	-0.000158855	0.102498	6.31838e-05	0	0.000100344
0.03	0	0.000163015	0.235	-8.0592e-05	-1.67748e-05	6.31857e-05	-0.000158855	0.102498	6.31838e-05	0	0.000201632
0.045	0	0.00016681	0.235	-8.05921e-05	-1.67688e-05	6.31857e-05	-0.000158855	0.102498	6.31838e-05	0	0.000304814
0.06	0	0.000172174	0.235	-8.05923e-05	-1.67602e-05	6.31857e-05	-0.000158856	0.102498	6.31838e-05	0	0.000410862
0.075	0	0.000179156	0.235	-8.05925e-05	-1.67491e-05	6.31857e-05	-0.000158856	0.102498	6.31838e-05	0	0.000520772
0.09	0	0.000187821	0.235	-8.05928e-05	-1.67352e-05	6.31857e-05	-0.000158856	0.102498	6.31838e-05	0	0.000635577
0.105	0	0.000198253	0.235	-8.05932e-05	-1.67186e-05	6.31857e-05	-0.000158856	0.102498	6.31838e-05	0	0.000756357
0.12	0	0.000210548	0.235	-8.05936e-05	-1.6699e-05	6.31857e-05	-0.000158857	0.102498	6.31838e-05	0	0.000884246
0.135	0	0.000224822	0.235	-8.05941e-05	-1.66762e-05	6.31857e-05	-0.000158857	0.102498	6.31838e-05	0	0.00102045
0.15	0	0.000241209	0.235	-8.05946e-05	-1.665e-05	6.31857e-05	-0.000158858	0.102498	6.31838e-05	0	0.00116624
0.165	0	0.000259864	0.235	-8.05952e-05	-1.66202e-05	6.31857e-05	-0.000158858	0.102498	6.31838e-05	0	0.001323
0.18	0	0.000280961	0.235	-8.05959e-05	-1.65866e-05	6.31857e-05	-0.000158859	0.102498	6.31838e-05	0	0.00149219
0.195	0	0.000304699	0.235	-8.05967e-05	-1.65487e-05	6.31857e-05	-0.00015886	0.102498	6.31838e-05	0	0.00167541
0.21	0	0.000331302	0.235	-8.05976e-05	-1.65062e-05	6.31857e-05	-0.000158861	0.102498	6.31838e-05	0	0.00187437
0.225	0	0.000361019	0.235	-8.05986e-05	-1.64588e-05	6.31857e-05	-0.000158862	0.102498	6.31838e-05	0	0.00209096
0.24	0	0.000394129	0.235	-8.05997e-05	-1.64059e-05	6.31857e-05	-0.000158863	0.102498	6.31837e-05	0	0.0023272
0.255	0	0.000430944	0.235	-8.06009e-05	-1.63472e-05	6.31857e-05	-0.000158864	0.102499	6.31837e-05	0	0.00258532
0.27	0	0.00047181	0.235	-8.06023e-05	-1.6282e-05	6.31857e-05	-0.000158866	0.102499	6.31837e-05	0	0.00286773
0.285	0	0.000517111	0.235	-8.06038e-05	-1.62097e-05	6.31857e-05	-0.000158867	0.102499	6.31837e-05	0	0.00317711
