L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	-0	-16.14	
5.05495	-5.14286	0	-0	-18.83	
5.05495	-5.05495	0	-0	8.07	
5.05495	-5.05495	0	-0	59.18	
5.05495	-5.14286	0	-0	21.52	
5.05495	-5.14286	0	-10.76	-5.38	
5.05495	-5.05495	0	-0	94.15	
5.05495	-5.05495	0	-0	118.36	
5.05495	-4.96703	0	-0	75.32	
5.05495	-4.96703	0	-2.69	-26.9	
5.05495	-4.96703	0	-0	123.74	
5.05495	-4.96703	0	-139.88	10.76	
4.96703	-4.96703	0	-2.69	102.22	
4.96703	-4.96703	0	-24.21	-10.76	
4.96703	-4.96703	0	-0	72.63	
5.05495	-4.96703	0	-0	78.01	
4.96703	-4.87912	0	-142.57	-10.76	
4.96703	-4.87912	0	-2.69	-13.45	
4.87912	-4.87912	0	-0	80.7	
4.96703	-4.87912	0	-185.61	91.46	
4.79121	-4.79121	0	-161.4	-13.45	
4.7033	-4.7033	0	-2.69	13.45	
4.61538	-4.79121	0	-10.76	-34.97	
4.61538	-4.52747	0	-0	147.95	
4.61538	-4.43956	0	-150.64	91.46	
4.35165	-4.26374	0	-293.21	-10.76	
4.26374	-4.26374	0	-0	64.56	
4.17582	-4.17582	0	-8.07	-24.21	
4.08791	-4	0	5.38	123.74	
3.91209	-3.73626	0	40.35	83.39	
3.64835	-3.64835	0	-24.21	-16.14	
3.47253	-3.38462	0	-91.46	-29.59	
3.12088	-3.03297	0	-180.23	80.7	
2.68132	-2.68132	0	-99.53	32.28	
2.41758	-2.32967	0	48.42	34.97	
1.97802	-1.89011	0	-8.07	-61.87	
1.36264	-1.27473	0	-104.91	56.49	
0.747253	-0.747253	0	-16.14	61.87	
0.043956	0.043956	0	13.45	196.37	
-0.835165	0.923077	0	-2.69	126.43	
-1.8022	1.97802	0	94.15	0	
-2.06593	2.06593	0	-174.85	231.34	
-2.76923	2.94505	0	188.3	139.88	
-3.64835	3.91209	0	524.55	-104.91	
-4.52747	4.61538	0	145.26	-242.1	
-5.23077	5.31868	0	234.03	-349.7	
-5.84615	5.93407	0	250.17	-486.89	
-6.1978	6.46154	0	398.12	-554.14	
-6.63736	6.9011	0	532.62	-815.07	
-7.07692	7.25275	0	581.04	-885.01	
-7.16484	7.34066	0	683.26	-906.53	
-7.16484	7.34066	0	677.88	-909.22	
-7.16484	7.34066	0	887.7	-906.53	
-7.16484	7.34066	0	858.11	-901.15	
-7.16484	7.34066	0	866.18	-788.17	
-7.25275	7.34066	0	790.86	-712.85	
