time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.025	0	0.000161927	0.255	-8.0592e-05	-1.67766e-05	6.31857e-05	-8.13295e-05	0.0792151	6.33367e-05	0	0.0001545
0.05	0	0.000167756	0.255	-8.05922e-05	-1.67673e-05	6.31857e-05	-8.13296e-05	0.0792151	6.33368e-05	0	0.000312722
0.075	0	0.000177626	0.255	-8.05925e-05	-1.67515e-05	6.31857e-05	-8.133e-05	0.0792151	6.3337e-05	0	0.000478478
0.1	0	0.000191776	0.255	-8.0593e-05	-1.67289e-05	6.31857e-05	-8.13304e-05	0.0792152	6.33371e-05	0	0.000655762
0.125	0	0.000210546	0.255	-8.05936e-05	-1.6699e-05	6.31857e-05	-8.1331e-05	0.0792152	6.33374e-05	0	0.000848845
0.15	0	0.000234388	0.255	-8.05944e-05	-1.66609e-05	6.31857e-05	-8.13317e-05	0.0792152	6.33377e-05	0	0.00106238
0.175	0	0.000263878	0.255	-8.05954e-05	-1.66138e-05	6.31857e-05	-8.13327e-05	0.0792153	6.33381e-05	0	0.00130151
0.2	0	0.000299725	0.255	-8.05966e-05	-1.65566e-05	6.31857e-05	-8.13338e-05	0.0792153	6.33386e-05	0	0.00157199
0.225	0	0.000342793	0.255	-8.0598e-05	-1.64879e-05	6.31857e-05	-8.13351e-05	0.0792154	6.33392e-05	0	0.00188035
0.25	0	0.000394119	0.255	-8.05997e-05	-1.6406e-05	6.31857e-05	-8.13367e-05	0.0792155	6.33399e-05	0	0.00223401
0.275	0	0.000454941	0.255	-8.06017e-05	-1.63089e-05	6.31857e-05	-8.13386e-05	0.0792156	6.33407e-05	0	0.00264149
0.3	0	0.000526724	0.255	-8.06041e-05	-1.61943e-05	6.31857e-05	-8.13409e-05	0.0792157	6.33417e-05	0	0.00311261
0.325	0	0.000611196	0.255	-8.06069e-05	-1.60595e-05	6.31857e-05	-8.13435e-05	0.0792158	6.33428e-05	0	0.00365872
0.35	0	0.000710394	0.255	-8.06102e-05	-1.59012e-05	6.31857e-05	-8.13466e-05	0.079216	6.33442e-05	0	0.00429298
0.375	0	0.000826707	0.255	-8.06141e-05	-1.57155e-05	6.31857e-05	-8.13503e-05	0.0792162	6.33458e-05	0	0.00503067
0.4	0	0.000962937	0.255	-8.06186e-05	-1.54981e-05	6.31858e-05	-8.13545e-05	0.0792164	6.33476e-05	0	0.00588956
0.425	0	0.00112237	0.255	-8.06239e-05	-1.52436e-05	6.31859e-05	-8.13595e-05	0.0792167	6.33498e-05	0	0.00689034
0.45	0	0.00130884	0.255	-8.06301e-05	-1.4946e-05	6.3186e-05	-8.13653e-05	0.0792169	6.33524e-05	0	0.00805713
0.475	0	0.00152684	0.255	-8.06374e-05	-1.4598e-05	6.31861e-05	-8.13721e-05	0.0792173	6.33555e-05	0	0.00941803
0.5	0	0.00178163	0.255	-8.06458e-05	-1.41913e-05	6.31863e-05	-8.13801e-05	0.0792177	6.33591e-05	0	0.0110058
0.525	0	0.00207934	0.255	-8.06557e-05	-1.37161e-05	6.31866e-05	-8.13893e-05	0.0792182	6.33634e-05	0	0.0128588
0.55	0	0.00242715	0.255	-8.06672e-05	-1.3161e-05	6.3187e-05	-8.14002e-05	0.0792187	6.33685e-05	0	0.0150215
0.575	0	0.00283343	0.255	-8.06807e-05	-1.25125e-05	6.31875e-05	-8.14128e-05	0.0792194	6.33745e-05	0	0.0175462
0.6	0	0.00330798	0.255	-8.06964e-05	-1.1755e-05	6.31883e-05	-8.14275e-05	0.0792201	6.33817e-05	0	0.0204936
0.625	0	0.00386222	0.255	-8.07147e-05	-1.08703e-05	6.31894e-05	-8.14447e-05	0.079221	6.33902e-05	0	0.0239347
0.65	0	0.00450951	0.255	-8.07361e-05	-9.83701e-06	6.31909e-05	-8.14647e-05	0.0792221	6.34004e-05	0	0.0279525
0.675	0	0.00526545	0.255	-8.0761e-05	-8.6303e-06	6.31929e-05	-8.1488e-05	0.0792233	6.34126e-05	0	0.0326437
0.7	0	0.00614825	0.255	-8.079e-05	-7.22104e-06	6.31957e-05	-8.15152e-05	0.0792247	6.34273e-05	0	0.0381214
0.725	0	0.00717917	0.255	-8.08238e-05	-5.57528e-06	6.31995e-05	-8.15469e-05	0.0792263	6.3445e-05	0	0.0445175
0.75	0	0.00838305	0.255	-8.08631e-05	-3.65334e-06	6.32048e-05	-8.15837e-05	0.0792282	6.34665e-05	0	0.0519861
0.775	0	0.0097889	0.255	-8.09089e-05	-1.40889e-06	6.32121e-05	-8.16265e-05	0.0792305	6.34927e-05	0	0.0607072
0.8	0	0.0114306	0.255	-8.09621e-05	1.21218e-06	6.3222e-05	-8.16763e-05	0.0792331	6.35248e-05	0	0.0708909
0.825	0	0.0133477	0.255	-8.1024e-05	4.27305e-06	6.32357e-05	-8.1734e-05	0.0792362	6.35643e-05	0	0.0827825
0.85	0	0.0155863	0.255	-8.10959e-05	7.84752e-06	6.32543e-05	-8.1801e-05	0.0792397	6.36131e-05	0	0.0966686
0.875	0	0.0182005	0.255	-8.11792e-05	1.20217e-05	6.32798e-05	-8.18786e-05	0.0792439	6.3674e-05	0	0.112884
0.9	0	0.0212532	0.255	-8.12757e-05	1.68963e-05	6.33147e-05	-8.19684e-05	0.0792488	6.37501e-05	0	0.131818
0.925	0	0.0248178	0.255	-8.13873e-05	2.25888e-05	6.33625e-05	-8.20719e-05	0.0792545	6.38461e-05	0	0.153929
0.95	0	0.0289805	0.255	-8.15161e-05	2.92362e-05	6.34277e-05	-8.21911e-05	0.0792611	6.39677e-05	0	0.179748
0.975	0	0.0338413	0.255	-8.16644e-05	3.69987e-05	6.35169e-05	-8.23279e-05	0.0792689	6.41228e-05	0	0.209897
1	0	0.0395174	0.255	-8.18346e-05	4.60628e-05	6.36388e-05	-8.24843e-05	0.079278	6.43216e-05	0	0.245103
0	0	0.0395174	0.255	-8.18346e-05	4.60628e-05	6.36388e-05	-8.24843e-05	0.079278	6.43216e-05	0	0.245103
0.025	0	0.0451916	0.255	-8.20088e-05	5.5081e-05	0.000309615	-8.2637e-05	0.079287	6.45397e-05	0	0.209742
0.05	0	0.0500466	0.255	-8.21711e-05	6.25154e-05	0.0010412	-8.27646e-05	0.0792948	6.47414e-05	0	0.179434
0.075	0	0.0541993	0.255	-8.23256e-05	6.82724e-05	0.00224039	-8.28715e-05	0.0793014	6.49252e-05	0	0.153448
0.1	0	0.0577498	0.255	-8.24752e-05	7.22447e-05	0.00387765	-8.29612e-05	0.079307	6.50904e-05	0	0.13116
0.125	0	0.0607836	0.255	-8.26218e-05	7.4321e-05	0.00591267	-7.4733e-05	0.0793002	5.87142e-05	0	0.112031
0.15	0	0.0633738	0.255	-8.27663e-05	7.43963e-05	0.00829535	-7.47901e-05	0.0793039	5.88312e-05	0	0.095602
0.175	0	0.0655829	0.255	-8.2909e-05	7.23799e-05	0.010967	-7.48382e-05	0.0793071	5.89338e-05	0	0.0814759
0.2	0	0.067464	0.255	-8.30494e-05	6.82027e-05	0.0138619	-7.48787e-05	0.0793098	5.90233e-05	0	0.0693127
0.225	0	0.0690624	0.255	-8.31867e-05	6.1823e-05	0.0169087	-7.49127e-05	0.0793121	5.91008e-05	0	0.0588195
0.25	0	0.0704168	0.255	-8.33196e-05	5.32313e-05	0.0200324	-7.49413e-05	0.079314	5.91675e-05	0	0.0497433
0.275	0	0.0715596	0.255	-8.34466e-05	4.24533e-05	0.0231561	-7.49653e-05	0.0793157	5.92246e-05	0	0.0418656
0.3	0	0.0725184	0.255	-8.35663e-05	2.95521e-05	0.0262028	-7.49853e-05	0.0793171	5.9273e-05	0	0.0349965
0.325	0	0.0733164	0.255	-8.36768e-05	1.46287e-05	0.0290977	-7.50019e-05	0.0793182	5.93137e-05	0	0.0289705
0.35	0	0.0739728	0.255	-8.37765e-05	-2.17885e-06	0.0317693	-7.50154e-05	0.0793191	5.93475e-05	0	0.0236426
0.375	0	0.0745033	0.255	-8.3864e-05	-2.0697e-05	0.0341519	-7.50263e-05	0.0793199	5.93749e-05	0	0.0188842
0.4	0	0.0749208	0.255	-8.39377e-05	-4.072e-05	0.0361868	-7.50349e-05	0.0793205	5.93966e-05	0	0.0145808
0.425	0	0.0752353	0.255	-8.39965e-05	-6.20137e-05	0.037824	-7.50413e-05	0.079321	5.9413e-05	0	0.0106286
0.45	0	0.0754543	0.255	-8.40394e-05	-8.43206e-05	0.039023	-7.50458e-05	0.0793213	5.94244e-05	0	0.00693259
0.475	0	0.0755833	0.255	-8.40657e-05	-0.000107366	0.0397545	-7.50484e-05	0.0793215	5.94312e-05	0	0.00340356
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
