L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	-64.56	123.74	
5.05495	-5.14286	0	-99.53	88.77	
5.14286	-5.05495	0	-26.9	107.6	
5.05495	-5.05495	0	-59.18	24.21	
5.05495	-5.05495	0	-61.87	45.73	
5.05495	-5.05495	0	-13.45	96.84	
5.14286	-5.05495	0	-94.15	-5.38	
5.14286	-5.14286	0	-61.87	110.29	
5.05495	-5.05495	0	-99.53	43.04	
5.05495	-4.96703	0	-69.94	86.08	
5.05495	-4.96703	0	-21.52	126.43	
5.05495	-5.05495	0	-258.24	0	
5.05495	-5.05495	0	-96.84	18.83	
5.05495	-4.96703	0	-104.91	86.08	
4.96703	-4.96703	0	-48.42	32.28	
5.05495	-5.05495	0	-83.39	102.22	
5.05495	-4.87912	0	-234.03	115.67	
4.87912	-4.87912	0	-64.56	13.45	
4.87912	-4.96703	0	-142.57	115.67	
4.87912	-4.79121	0	-282.45	147.95	
4.79121	-4.79121	0	-225.96	131.81	
4.7033	-4.7033	0	-145.26	51.11	
4.7033	-4.7033	0	-145.26	123.74	
4.61538	-4.61538	0	-67.25	150.64	
4.61538	-4.52747	0	-193.68	115.67	
4.43956	-4.35165	0	-306.66	-34.97	
4.35165	-4.26374	0	-217.89	139.88	
4.17582	-4.08791	0	-161.4	102.22	
4.08791	-4	0	-129.12	142.57	
3.91209	-3.73626	0	-169.47	-24.21	
3.64835	-3.64835	0	-21.52	-32.28	
3.47253	-3.38462	0	-75.32	18.83	
3.12088	-3.03297	0	-177.54	110.29	
2.85714	-2.68132	0	-107.6	96.84	
2.41758	-2.24176	0	-104.91	53.8	
1.97802	-1.89011	0	-134.5	72.63	
1.36264	-1.36264	0	-126.43	56.49	
0.835165	-0.659341	0	-78.01	56.49	
0.131868	0.043956	0	-112.98	172.16	
-0.835165	0.923077	0	-193.68	88.77	
-1.89011	1.97802	0	112.98	-123.74	
-1.97802	1.97802	0	169.47	330.87	
-2.85714	2.94505	0	258.24	96.84	
-3.73626	3.91209	0	481.51	-112.98	
-4.52747	4.61538	0	263.62	-225.96	
-5.14286	5.31868	0	145.26	-387.36	
-5.75824	5.93407	0	94.15	-486.89	
-6.1978	6.37363	0	260.93	-589.11	
-6.63736	6.9011	0	395.43	-677.88	
-7.07692	7.25275	0	669.81	-774.72	
-7.42857	7.6044	0	804.31	-715.54	
-7.78022	7.78022	0	766.65	-685.95	
-8.04396	7.95604	0	1073.31	-648.29	
-8.13187	8.04396	0	815.07	-685.95	
-8.13187	8.13187	0	941.5	-486.89	
-8.30769	8.21978	0	868.87	-468.06	
-8.3956	8.30769	0	710.16	-274.38	
-8.57143	8.21978	0	659.05	-78.01	
-8.57143	8.21978	0	777.41	-102.22	
-8.74725	8.21978	0	828.52	465.37	
-8.74725	8.21978	0	675.19	381.98	
-8.74725	8.21978	0	664.43	403.5	
-8.74725	8.21978	0	669.81	387.36	
-8.74725	8.21978	0	677.88	390.05	
-8.74725	8.21978	0	669.81	392.74	
-8.74725	8.21978	0	675.19	392.74	
-8.74725	8.21978	0	672.5	390.05	
-8.74725	8.21978	0	659.05	387.36	
-8.74725	8.21978	0	672.5	425.02	
-8.74725	8.21978	0	677.88	398.12	
-8.74725	8.13187	0	616.01	390.05	
-8.65934	8.21978	0	468.06	274.38	
-8.65934	8.30769	0	459.99	182.92	
-8.65934	8.30769	0	462.68	172.16	
-8.65934	8.30769	0	433.09	153.33	
-8.65934	8.3956	0	435.78	131.81	
-8.65934	8.3956	0	263.62	34.97	
-8.57143	8.30769	0	250.17	-37.66	
-8.65934	8.3956	0	244.79	-10.76	
-8.57143	8.30769	0	252.86	-18.83	
-8.65934	8.30769	0	247.48	104.91	
-8.57143	8.3956	0	239.41	145.26	
-8.57143	8.3956	0	250.17	137.19	
-8.57143	8.30769	0	277.07	86.08	
-8.57143	8.48352	0	247.48	139.88	
-8.57143	8.48352	0	239.41	-8.07	
-8.57143	8.65934	0	314.73	-69.94	
-8.65934	8.83516	0	387.36	188.3	
-8.65934	8.74725	0	320.11	616.01	
-8.65934	8.48352	0	457.3	1051.79	
-8.65934	8.13187	0	457.3	667.12	
-8.65934	7.86813	0	392.74	-53.8	
-8.57143	8.13187	0	328.18	-556.83	
-8.65934	8.30769	0	252.86	-901.15	
-8.57143	8.48352	0	269	-882.32	
-8.57143	8.83516	0	285.14	-199.06	
-8.57143	8.92308	0	287.83	500.34	
-8.65934	8.48352	0	309.35	1051.79	
-8.57143	7.95604	0	244.79	607.94	
-8.57143	7.86813	0	244.79	-190.99	
-8.57143	8.30769	0	150.64	5.38	
-8.57143	8.3956	0	255.55	0	
-8.57143	8.30769	0	255.55	161.4	
-8.57143	8.30769	0	255.55	180.23	
-8.57143	8.30769	0	255.55	185.61	
-8.57143	8.30769	0	325.49	185.61	
-8.57143	8.30769	0	468.06	185.61	
-8.65934	8.21978	0	468.06	196.37	
-8.65934	8.30769	0	468.06	188.3	
-8.65934	8.30769	0	516.48	220.58	
-8.74725	8.21978	0	578.35	333.56	
-8.74725	8.21978	0	621.39	263.62	
-8.74725	8.30769	0	656.36	295.9	
-8.74725	8.21978	0	685.95	277.07	
-8.74725	8.21978	0	691.33	355.08	
-8.83516	8.21978	0	747.82	371.22	
-8.74725	8.30769	0	823.14	338.94	
-8.83516	8.30769	0	761.27	298.59	
-8.74725	8.21978	0	841.97	357.77	
-8.83516	8.21978	0	777.41	352.39	
-8.83516	8.21978	0	874.25	352.39	
-8.83516	8.21978	0	815.07	363.15	
-8.74725	8.21978	0	876.94	400.81	
-8.83516	8.30769	0	790.86	400.81	
-8.83516	8.21978	0	825.83	363.15	
-8.74725	8.21978	0	812.38	365.84	
-8.74725	8.21978	0	728.99	368.53	
-8.74725	8.21978	0	774.72	365.84	
-8.74725	8.21978	0	755.89	293.21	
-8.74725	8.21978	0	720.92	231.34	
-8.74725	8.21978	0	704.78	260.93	
-8.74725	8.21978	0	704.78	209.82	
-8.74725	8.30769	0	699.4	312.04	
-8.74725	8.30769	0	702.09	225.96	
-8.74725	8.30769	0	696.71	201.75	
-8.74725	8.30769	0	704.78	204.44	
-8.74725	8.21978	0	702.09	244.79	
-8.74725	8.30769	0	704.78	201.75	
-8.74725	8.30769	0	704.78	236.72	
-8.74725	8.30769	0	694.02	234.03	
-8.74725	8.30769	0	704.78	220.58	
-8.74725	8.30769	0	704.78	274.38	
-8.74725	8.30769	0	704.78	209.82	
-8.74725	8.30769	0	707.47	239.41	
-8.74725	8.30769	0	707.47	236.72	
-8.74725	8.30769	0	710.16	269	
-8.74725	8.30769	0	710.16	330.87	
-8.74725	8.30769	0	742.44	347.01	
-8.74725	8.21978	0	774.72	365.84	
-8.74725	8.21978	0	868.87	408.88	
-8.83516	8.21978	0	868.87	379.29	
-8.83516	8.21978	0	882.32	363.15	
-8.83516	8.21978	0	863.49	406.19	
-8.83516	8.30769	0	815.07	384.67	
-8.74725	8.21978	0	895.77	395.43	
-8.83516	8.30769	0	793.55	365.84	
-8.83516	8.21978	0	868.87	403.5	
-8.83516	8.21978	0	860.8	349.7	
