L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	64.56	5.38	
5.05495	-5.05495	0	13.45	2.69	
5.05495	-5.05495	0	10.76	-10.76	
5.05495	-5.05495	0	10.76	-29.59	
5.05495	-5.05495	0	16.14	-13.45	
5.05495	-5.14286	0	48.42	56.49	
5.05495	-5.05495	0	16.14	16.14	
5.05495	-5.05495	0	13.45	64.56	
5.05495	-5.05495	0	10.76	-24.21	
5.05495	-5.05495	0	10.76	-24.21	
5.05495	-5.05495	0	61.87	5.38	
5.05495	-4.96703	0	-112.98	-16.14	
4.96703	-4.96703	0	5.38	-5.38	
4.96703	-4.96703	0	8.07	-13.45	
4.96703	-4.96703	0	8.07	26.9	
4.96703	-4.96703	0	10.76	69.94	
4.96703	-4.96703	0	-126.43	-26.9	
4.87912	-4.87912	0	-0	-8.07	
4.87912	-4.87912	0	-0	80.7	
4.87912	-4.79121	0	-80.7	107.6	
4.79121	-4.7033	0	-131.81	-8.07	
4.7033	-4.7033	0	-29.59	45.73	
4.7033	-4.7033	0	-0	-10.76	
4.61538	-4.52747	0	-0	131.81	
4.61538	-4.43956	0	-37.66	75.32	
4.43956	-4.35165	0	-204.44	-158.71	
4.35165	-4.26374	0	134.5	134.5	
4.17582	-4.17582	0	-37.66	-80.7	
4	-4	0	209.82	164.09	
3.91209	-3.73626	0	217.89	-21.52	
3.64835	-3.64835	0	34.97	-75.32	
3.38462	-3.38462	0	-32.28	0	
3.12088	-3.03297	0	-18.83	69.94	
2.68132	-2.68132	0	153.33	51.11	
2.32967	-2.24176	0	86.08	-29.59	
1.89011	-1.89011	0	-5.38	26.9	
1.36264	-1.18681	0	24.21	56.49	
0.747253	-0.659341	0	325.49	-2.69	
0.043956	0.21978	0	32.28	-37.66	
-0.747253	1.01099	0	-204.44	-18.83	
-1.89011	1.97802	0	228.65	-158.71	
-1.89011	1.97802	0	-80.7	201.75	
-2.76923	3.03297	0	123.74	-29.59	
-3.64835	3.91209	0	570.28	-94.15	
-4.52747	4.7033	0	204.44	-328.18	
-5.23077	5.31868	0	193.68	-344.32	
-5.75824	6.02198	0	433.09	-446.54	
-6.1978	6.46154	0	494.96	-543.38	
-6.63736	6.9011	0	521.86	-718.23	
-7.07692	7.25275	0	817.76	-707.47	
-7.42857	7.6044	0	860.8	-728.99	
-7.78022	7.86813	0	769.34	-737.06	
-7.95604	7.95604	0	890.39	-677.88	
-8.04396	8.04396	0	812.38	-529.93	
-8.21978	8.13187	0	895.77	-650.98	
-8.3956	8.21978	0	928.05	-457.3	
-8.57143	8.21978	0	855.42	-325.49	
-8.3956	8.21978	0	656.36	-78.01	
-8.57143	8.13187	0	809.69	-330.87	
-8.74725	8.21978	0	914.6	312.04	
-8.74725	8.21978	0	718.23	384.67	
-8.74725	8.21978	0	696.71	279.76	
-8.74725	8.21978	0	702.09	333.56	
-8.74725	8.21978	0	702.09	347.01	
-8.74725	8.21978	0	702.09	381.98	
-8.74725	8.21978	0	688.64	379.29	
-8.74725	8.21978	0	688.64	381.98	
-8.74725	8.21978	0	696.71	390.05	
-8.74725	8.21978	0	704.78	384.67	
-8.74725	8.21978	0	694.02	384.67	
-8.74725	8.21978	0	704.78	387.36	
-8.65934	8.30769	0	624.08	373.91	
-8.74725	8.30769	0	505.72	231.34	
-8.65934	8.30769	0	497.65	180.23	
-8.65934	8.30769	0	492.27	102.22	
-8.65934	8.30769	0	451.92	107.6	
-8.65934	8.3956	0	497.65	-8.07	
-8.65934	8.3956	0	489.58	-185.61	
-8.65934	8.21978	0	494.96	-131.81	
-8.65934	8.21978	0	481.51	322.8	
-8.65934	8.48352	0	430.4	325.49	
-8.65934	8.65934	0	371.22	578.35	
-8.57143	8.3956	0	330.87	968.4	
-8.57143	7.95604	0	274.38	403.5	
-8.57143	7.95604	0	271.69	59.18	
-8.57143	8.21978	0	279.76	37.66	
-8.57143	8.3956	0	282.45	8.07	
-8.65934	8.3956	0	317.42	43.04	
-8.57143	8.3956	0	363.15	86.08	
-8.65934	8.30769	0	403.5	182.92	
-8.65934	8.30769	0	500.34	180.23	
-8.65934	8.30769	0	503.03	182.92	
-8.65934	8.30769	0	505.72	182.92	
-8.65934	8.30769	0	505.72	182.92	
-8.65934	8.30769	0	546.07	185.61	
-8.65934	8.30769	0	548.76	185.61	
-8.74725	8.30769	0	699.4	185.61	
-8.65934	8.30769	0	607.94	188.3	
-8.74725	8.30769	0	672.5	223.27	
-8.74725	8.21978	0	648.29	282.45	
-8.74725	8.21978	0	710.16	260.93	
-8.74725	8.21978	0	720.92	271.69	
-8.74725	8.21978	0	723.61	330.87	
-8.74725	8.21978	0	731.68	349.7	
-8.74725	8.30769	0	728.99	381.98	
-8.74725	8.30769	0	742.44	196.37	
-8.74725	8.21978	0	726.3	368.53	
-8.74725	8.21978	0	726.3	395.43	
-8.74725	8.30769	0	755.89	330.87	
-8.74725	8.21978	0	723.61	392.74	
-8.74725	8.30769	0	720.92	322.8	
-8.74725	8.21978	0	720.92	333.56	
-8.74725	8.21978	0	720.92	274.38	
-8.74725	8.21978	0	723.61	336.25	
-8.74725	8.30769	0	718.23	371.22	
-8.74725	8.21978	0	726.3	390.05	
-8.74725	8.21978	0	720.92	357.77	
-8.74725	8.30769	0	723.61	252.86	
-8.74725	8.21978	0	726.3	306.66	
-8.74725	8.21978	0	728.99	395.43	
-8.74725	8.21978	0	731.68	400.81	
-8.74725	8.30769	0	728.99	306.66	
-8.74725	8.21978	0	726.3	306.66	
-8.74725	8.21978	0	728.99	360.46	
-8.74725	8.21978	0	812.38	365.84	
-8.74725	8.21978	0	782.79	322.8	
-8.83516	8.21978	0	815.07	357.77	
-8.74725	8.21978	0	823.14	365.84	
-8.83516	8.21978	0	750.51	338.94	
-8.74725	8.30769	0	739.75	344.32	
-8.74725	8.21978	0	782.79	301.28	
-8.74725	8.21978	0	734.37	338.94	
-8.74725	8.30769	0	737.06	250.17	
-8.74725	8.30769	0	772.03	199.06	
-8.83516	8.30769	0	745.13	158.71	
-8.74725	8.3956	0	747.82	0	
-8.74725	8.48352	0	777.41	75.32	
-8.83516	8.3956	0	742.44	-43.04	
-8.74725	8.48352	0	742.44	-86.08	
-8.83516	8.48352	0	745.13	-196.37	
-8.74725	8.48352	0	777.41	-236.72	
-8.74725	8.48352	0	739.75	-260.93	
-8.74725	8.48352	0	742.44	-260.93	
-8.74725	8.48352	0	737.06	-266.31	
-8.83516	8.48352	0	745.13	-263.62	
-8.74725	8.48352	0	777.41	-266.31	
-8.74725	8.48352	0	737.06	-255.55	
-8.74725	8.48352	0	739.75	-177.54	
-8.74725	8.48352	0	742.44	-258.24	
-8.83516	8.48352	0	742.44	-247.48	
-8.74725	8.48352	0	766.65	-147.95	
-8.74725	8.3956	0	745.13	-147.95	
-8.74725	8.3956	0	742.44	-88.77	
-8.74725	8.3956	0	823.14	-45.73	
-8.74725	8.48352	0	737.06	-107.6	
-8.74725	8.48352	0	737.06	-69.94	
-8.74725	8.48352	0	745.13	-78.01	
-8.74725	8.3956	0	747.82	-29.59	
-8.74725	8.3956	0	750.51	-64.56	
-8.74725	8.3956	0	769.34	-51.11	
-8.74725	8.3956	0	753.2	-21.52	
-8.74725	8.3956	0	755.89	-21.52	
-8.74725	8.3956	0	785.48	-18.83	
-8.74725	8.3956	0	739.75	-53.8	
-8.83516	8.3956	0	753.2	-13.45	
-8.74725	8.3956	0	753.2	-13.45	
-8.74725	8.3956	0	785.48	-13.45	
-8.74725	8.3956	0	742.44	-10.76	
-8.74725	8.3956	0	807	21.52	
-8.74725	8.3956	0	747.82	21.52	
-8.74725	8.3956	0	761.27	-8.07	
-8.74725	8.30769	0	758.58	29.59	
-8.74725	8.30769	0	804.31	24.21	
-8.74725	8.3956	0	774.72	10.76	
-8.74725	8.30769	0	755.89	-2.69	
-8.74725	8.3956	0	785.48	10.76	
-8.74725	8.3956	0	758.58	72.63	
-8.74725	8.3956	0	755.89	72.63	
-8.74725	8.30769	0	769.34	86.08	
-8.74725	8.3956	0	758.58	45.73	
-8.83516	8.30769	0	796.24	75.32	
-8.74725	8.3956	0	761.27	96.84	
-8.74725	8.3956	0	761.27	69.94	
-8.74725	8.30769	0	753.2	21.52	
-8.74725	8.30769	0	755.89	145.26	
-8.74725	8.30769	0	758.58	123.74	
-8.74725	8.30769	0	766.65	107.6	
-8.74725	8.30769	0	758.58	96.84	
-8.74725	8.30769	0	758.58	75.32	
-8.74725	8.30769	0	761.27	169.47	
-8.74725	8.30769	0	793.55	137.19	
-8.74725	8.30769	0	761.27	161.4	
-8.74725	8.30769	0	761.27	196.37	
-8.74725	8.30769	0	801.62	193.68	
-8.74725	8.30769	0	769.34	196.37	
-8.74725	8.30769	0	798.93	196.37	
-8.74725	8.30769	0	766.65	196.37	
-8.74725	8.30769	0	755.89	196.37	
