time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.01	0	0.000551058	0.255	-8.06049e-05	-1.61555e-05	6.31857e-05	-8.13435e-05	0.0791554	6.33428e-05	0	0.000211724
0.02	0	0.000554237	0.255	-8.0605e-05	-1.61504e-05	6.31857e-05	-8.13436e-05	0.0791554	6.33429e-05	0	0.000424263
0.03	0	0.000559549	0.255	-8.06052e-05	-1.61419e-05	6.31857e-05	-8.13438e-05	0.0791554	6.33429e-05	0	0.000638434
0.04	0	0.000567014	0.255	-8.06055e-05	-1.613e-05	6.31857e-05	-8.1344e-05	0.0791554	6.3343e-05	0	0.000855062
0.05	0	0.000576661	0.255	-8.06058e-05	-1.61146e-05	6.31857e-05	-8.13443e-05	0.0791554	6.33432e-05	0	0.00107498
0.06	0	0.000588527	0.255	-8.06062e-05	-1.60957e-05	6.31857e-05	-8.13447e-05	0.0791554	6.33433e-05	0	0.00129904
0.07	0	0.000602659	0.255	-8.06066e-05	-1.60731e-05	6.31857e-05	-8.13451e-05	0.0791555	6.33435e-05	0	0.00152809
0.08	0	0.000619109	0.255	-8.06072e-05	-1.60469e-05	6.31857e-05	-8.13457e-05	0.0791555	6.33437e-05	0	0.00176303
0.09	0	0.000637942	0.255	-8.06078e-05	-1.60168e-05	6.31857e-05	-8.13462e-05	0.0791555	6.3344e-05	0	0.00200475
0.1	0	0.00065923	0.255	-8.06085e-05	-1.59828e-05	6.31857e-05	-8.13469e-05	0.0791556	6.33443e-05	0	0.00225418
0.11	0	0.000683054	0.255	-8.06093e-05	-1.59448e-05	6.31857e-05	-8.13477e-05	0.0791556	6.33446e-05	0	0.00251229
0.12	0	0.000709508	0.255	-8.06102e-05	-1.59026e-05	6.31857e-05	-8.13485e-05	0.0791556	6.3345e-05	0	0.00278007
0.13	0	0.000738691	0.255	-8.06112e-05	-1.5856e-05	6.31857e-05	-8.13494e-05	0.0791557	6.33454e-05	0	0.00305854
0.14	0	0.000770718	0.255	-8.06122e-05	-1.58049e-05	6.31857e-05	-8.13504e-05	0.0791557	6.33458e-05	0	0.00334879
