time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.01	0.0095784	9.02619	1.3832	-0.0240428	-1.34719	-8.99747	0.0123624	5.01137	1.39575	-0.0212597	-1.36007	-4.98266	
0.02	0.00957851	9.02603	1.3832	-0.0240426	-1.34719	-8.99731	0.0123625	5.01121	1.39575	-0.0212596	-1.36007	-4.98249	
0.03	0.0095787	9.02576	1.3832	-0.0240424	-1.3472	-8.99704	0.0123627	5.01093	1.39576	-0.0212595	-1.36007	-4.98222	
0.04	0.00957897	9.02538	1.38321	-0.024042	-1.3472	-8.99666	0.012363	5.01055	1.39576	-0.0212593	-1.36007	-4.98183	
0.05	0.00957931	9.02489	1.38321	-0.0240416	-1.3472	-8.99617	0.0123633	5.01005	1.39576	-0.021259	-1.36008	-4.98134	
0.06	0.00957973	9.02429	1.38321	-0.0240411	-1.3472	-8.99557	0.0123637	5.00944	1.39576	-0.0212587	-1.36008	-4.98072	
0.07	0.00958023	9.02357	1.38321	-0.0240404	-1.3472	-8.99485	0.0123642	5.00871	1.39576	-0.0212584	-1.36008	-4.97999	
0.08	0.00958081	9.02274	1.38322	-0.0240397	-1.34721	-8.99402	0.0123648	5.00786	1.39576	-0.0212579	-1.36008	-4.97914	
0.09	0.00958148	9.02178	1.38322	-0.0240388	-1.34721	-8.99306	0.0123655	5.00689	1.39576	-0.0212575	-1.36008	-4.97817	
0.1	0.00958224	9.0207	1.38322	-0.0240378	-1.34722	-8.99198	0.0123662	5.00579	1.39577	-0.0212569	-1.36009	-4.97707	
0.11	0.00958308	9.01949	1.38323	-0.0240368	-1.34722	-8.99078	0.0123671	5.00456	1.39577	-0.0212563	-1.36009	-4.97584	
0.12	0.00958402	9.01815	1.38323	-0.0240356	-1.34723	-8.98943	0.012368	5.00319	1.39577	-0.0212557	-1.36009	-4.97448	
0.13	0.00958506	9.01667	1.38324	-0.0240342	-1.34723	-8.98795	0.0123691	5.00169	1.39578	-0.0212549	-1.3601	-4.97297	
