L_C_roll	L_A_roll	L_Linear	
0	0	-0.0201356	
0	0	-0.00199295	
0	0	0.000206167	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0201356	
0	0	-0.0196546	
0	0	-0.0199982	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0199295	
0	0	-0.0203418	
0	0	-0.0198608	
0	0	-0.019792	
0	0	-0.019792	
0	0	-0.0196546	
0	0	-0.0195171	
0	0	-0.0195171	
0	0	-0.0195171	
0	0	-0.0193797	
0	0	-0.0197233	
0	0	-0.0187612	
0	0	-0.0182114	
0	0	-0.0182114	
0	0	-0.0182801	
0	0	-0.0181427	
0	0	-0.0182801	
0	0	-0.018074	
0	0	-0.0172493	
0	0	-0.0171119	
0	0	-0.0164934	
0	0	-0.0164246	
0	0	-0.0161497	
0	0	-0.0164246	
0	0	-0.0156	
0	0	-0.0151189	
0	0	-0.014844	
0	0	-0.0157374	
0	0	-0.0153251	
0	0	-0.0152564	
0	0	-0.0172493	
0	0	-0.0166995	
0	0	-0.016837	
0	0	-0.0163559	
0	0	-0.0164934	
0	0	-0.0162872	
0	0	-0.0166308	
0	0	-0.0159436	
0	0	-0.0157374	
0	0	-0.0156	
0	0	-0.0156	
0	0	-0.0155312	
0	0	-0.0155312	
0	0	-0.0149127	
0	0	-0.0149127	
0	0	-0.0149815	
0	0	-0.0157374	
0	0	-0.0158061	
0	0	-0.016081	
0	0	-0.0165621	
0	0	-0.0169057	
0	0	-0.0182114	
0	0	-0.0188986	
0	0	-0.0192423	
0	0	-0.0195859	
0	0	-0.0197233	
0	0	-0.0200669	
0	0	-0.020548	
0	0	-0.0201356	
0	0	-0.0199982	
0	0	-0.0201356	
0	0	-0.0203418	
0	0	-0.0206854	
0	0	-0.0202731	
0	0	-0.0209603	
0	0	-0.0200669	
0	0	-0.0204793	
0	0	-0.0207541	
0	0	-0.0208916	
0	0	-0.0219911	
0	0	-0.0210978	
0	0	-0.0210978	
0	0	-0.021029	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.0209603	
0	0	-0.021029	
0	0	-0.0209603	
0	0	-0.0213039	
0	0	-0.0213039	
0	0	-0.0213726	
0	0	-0.0213726	
0	0	-0.0213039	
0	0	-0.0213039	
0	0	-0.0213726	
0	0	-0.0213039	
0	0	-0.0213039	
0	0	-0.021029	
0	0	-0.0217163	
0	0	-0.0217163	
0	0	-0.0216475	
0	0	-0.0216475	
0	0	-0.0216475	
0	0	-0.0215788	
0	0	-0.0213726	
0	0	-0.0213726	
0	0	-0.021029	
0	0	-0.0197233	
0	0	-0.0190361	
0	0	-0.0181427	
0	0	-0.016837	
0	0	-0.0164934	
0	0	-0.0152564	
0	0	-0.0146379	
0	0	-0.0129198	
0	0	-0.0119577	
0	0	-0.0112705	
0	0	-0.00962113	
0	0	-0.00845285	
0	0	-0.0076969	
0	0	-0.00721585	
0	0	-0.0064599	
0	0	-0.00563523	
0	0	-0.00487929	
0	0	-0.00412334	
0	0	-0.00261145	
0	0	-0.00116828	
0	0	0.000824668	
0	0	0.00261145	
0	0	0.00467312	
0	0	0.00625373	
0	0	0.0083154	
0	0	0.0100335	
0	0	0.0112705	
0	0	0.0123013	
0	0	0.013126	
0	0	0.0139506	
0	0	0.0149127	
0	0	0.0162185	
0	0	0.0175929	
0	0	0.0188986	
0	0	0.0199295	
0	0	0.0208916	
0	0	0.0223348	
0	0	0.0232282	
0	0	0.0241903	
0	0	0.0253585	
0	0	0.0263894	
0	0	0.0266643	
0	0	0.0278325	
0	0	0.0287947	
0	0	0.0294819	
0	0	0.0302378	
0	0	0.0309251	
0	0	0.0311999	
0	0	0.031681	
0	0	0.0318872	
0	0	0.0318872	
0	0	0.0319559	
0	0	0.0311999	
0	0	0.0311312	
0	0	0.0310625	
0	0	0.0305814	
0	0	0.0296193	
0	0	0.0294819	
0	0	0.0285198	
0	0	0.0279013	
0	0	0.0276264	
0	0	0.026733	
0	0	0.0256334	
0	0	0.0252211	
0	0	0.0254273	
0	0	0.0257022	
0	0	0.0258396	
0	0	0.0257709	
0	0	0.0254273	
0	0	0.0249462	
0	0	0.0244652	
0	0	0.024259	
0	0	0.0221973	
0	0	0.0223348	
0	0	0.0217163	
0	0	0.022266	
0	0	0.022266	
0	0	0.022266	
0	0	0.0221286	
0	0	0.0226096	
0	0	0.0218537	
0	0	0.0208916	
0	0	0.020548	
0	0	0.0202731	
0	0	0.0200669	
0	0	0.0194484	
0	0	0.0163559	
0	0	0.0156	
0	0	0.0139506	
0	0	0.0127824	
0	0	0.013126	
0	0	0.0125762	
0	0	0.0109956	
0	0	0.00914007	
0	0	0.00762818	
0	0	0.00604757	
0	0	0.0046044	
0	0	0.00316123	
0	0	0.00240528	
0	0	0.00164934	
0	0	0.00151189	
