time	COG_x	COG_y	COG_z	Pr_x	Pr_y	Pr_z	Pl_x	Pl_y	Pl_z	COG_Vx	COG_Vy	
0.02	0	0.000161233	0.255	-8.05919e-05	-1.67777e-05	6.31857e-05	-8.13294e-05	0.0792151	6.33367e-05	0	0.000123422
0.04	0	0.00016495	0.255	-8.05921e-05	-1.67717e-05	6.31857e-05	-8.13296e-05	0.0792151	6.33368e-05	0	0.000248745
0.06	0	0.000171208	0.255	-8.05923e-05	-1.67617e-05	6.31857e-05	-8.13298e-05	0.0792151	6.33369e-05	0	0.000377902
0.08	0	0.000180104	0.255	-8.05926e-05	-1.67475e-05	6.31857e-05	-8.133e-05	0.0792151	6.3337e-05	0	0.00051288
0.1	0	0.000191776	0.255	-8.0593e-05	-1.67289e-05	6.31857e-05	-8.13304e-05	0.0792152	6.33371e-05	0	0.000655762
0.12	0	0.000206402	0.255	-8.05934e-05	-1.67056e-05	6.31857e-05	-8.13309e-05	0.0792152	6.33373e-05	0	0.000808747
0.14	0	0.000224209	0.255	-8.0594e-05	-1.66771e-05	6.31857e-05	-8.13314e-05	0.0792152	6.33376e-05	0	0.000974194
0.16	0	0.00024547	0.255	-8.05947e-05	-1.66432e-05	6.31857e-05	-8.13321e-05	0.0792153	6.33379e-05	0	0.00115465
0.18	0	0.000270513	0.255	-8.05956e-05	-1.66032e-05	6.31857e-05	-8.13329e-05	0.0792153	6.33382e-05	0	0.0013529
0.2	0	0.000299725	0.255	-8.05966e-05	-1.65566e-05	6.31857e-05	-8.13338e-05	0.0792153	6.33386e-05	0	0.00157199
0.22	0	0.000333554	0.255	-8.05977e-05	-1.65026e-05	6.31857e-05	-8.13348e-05	0.0792154	6.3339e-05	0	0.00181531
0.24	0	0.000372523	0.255	-8.0599e-05	-1.64404e-05	6.31857e-05	-8.13361e-05	0.0792155	6.33396e-05	0	0.00208659
0.26	0	0.000417232	0.255	-8.06005e-05	-1.63691e-05	6.31857e-05	-8.13375e-05	0.0792155	6.33402e-05	0	0.00239002
0.28	0	0.00046837	0.255	-8.06022e-05	-1.62874e-05	6.31857e-05	-8.13391e-05	0.0792156	6.33409e-05	0	0.00273028
0.3	0	0.000526724	0.255	-8.06041e-05	-1.61943e-05	6.31857e-05	-8.13409e-05	0.0792157	6.33417e-05	0	0.00311261
0.32	0	0.000593194	0.255	-8.06063e-05	-1.60882e-05	6.31857e-05	-8.1343e-05	0.0792158	6.33426e-05	0	0.0035429
0.34	0	0.000668804	0.255	-8.06088e-05	-1.59675e-05	6.31857e-05	-8.13453e-05	0.0792159	6.33436e-05	0	0.00402778
0.36	0	0.000754718	0.255	-8.06117e-05	-1.58304e-05	6.31857e-05	-8.1348e-05	0.0792161	6.33448e-05	0	0.00457471
0.38	0	0.000852262	0.255	-8.0615e-05	-1.56747e-05	6.31858e-05	-8.13511e-05	0.0792162	6.33461e-05	0	0.00519214
0.4	0	0.000962937	0.255	-8.06186e-05	-1.54981e-05	6.31858e-05	-8.13545e-05	0.0792164	6.33476e-05	0	0.00588956
0.42	0	0.00108845	0.255	-8.06228e-05	-1.52977e-05	6.31858e-05	-8.13584e-05	0.0792166	6.33494e-05	0	0.00667773
0.44	0	0.00123073	0.255	-8.06275e-05	-1.50706e-05	6.31859e-05	-8.13629e-05	0.0792168	6.33514e-05	0	0.00756879
0.46	0	0.00139198	0.255	-8.06329e-05	-1.48133e-05	6.3186e-05	-8.13679e-05	0.0792171	6.33536e-05	0	0.00857647
0.48	0	0.00157467	0.255	-8.0639e-05	-1.45217e-05	6.31861e-05	-8.13736e-05	0.0792174	6.33562e-05	0	0.00971629
0.5	0	0.00178163	0.255	-8.06458e-05	-1.41913e-05	6.31863e-05	-8.13801e-05	0.0792177	6.33591e-05	0	0.0110058
0.52	0	0.00201603	0.255	-8.06536e-05	-1.38172e-05	6.31865e-05	-8.13874e-05	0.0792181	6.33625e-05	0	0.0124649
0.54	0	0.0022815	0.255	-8.06624e-05	-1.33935e-05	6.31868e-05	-8.13956e-05	0.0792185	6.33664e-05	0	0.0141161
0.56	0	0.00258213	0.255	-8.06724e-05	-1.29136e-05	6.31872e-05	-8.1405e-05	0.079219	6.33708e-05	0	0.0159848
0.58	0	0.00292254	0.255	-8.06837e-05	-1.23702e-05	6.31877e-05	-8.14156e-05	0.0792195	6.33759e-05	0	0.0180997
0.6	0	0.00330798	0.255	-8.06964e-05	-1.1755e-05	6.31883e-05	-8.14275e-05	0.0792201	6.33817e-05	0	0.0204936
0.62	0	0.00374438	0.255	-8.07108e-05	-1.10584e-05	6.31891e-05	-8.1441e-05	0.0792208	6.33884e-05	0	0.0232032
0.64	0	0.00423849	0.255	-8.07271e-05	-1.02697e-05	6.31902e-05	-8.14563e-05	0.0792216	6.33961e-05	0	0.0262703
0.66	0	0.00479789	0.255	-8.07456e-05	-9.37667e-06	6.31916e-05	-8.14736e-05	0.0792225	6.3405e-05	0	0.0297422
0.68	0	0.00543123	0.255	-8.07664e-05	-8.36566e-06	6.31934e-05	-8.14932e-05	0.0792235	6.34153e-05	0	0.0336724
0.7	0	0.00614825	0.255	-8.079e-05	-7.22104e-06	6.31957e-05	-8.15152e-05	0.0792247	6.34273e-05	0	0.0381214
0.72	0	0.00696	0.255	-8.08166e-05	-5.92517e-06	6.31987e-05	-8.15401e-05	0.079226	6.34412e-05	0	0.0431577
0.74	0	0.00787899	0.255	-8.08467e-05	-4.45806e-06	6.32025e-05	-8.15683e-05	0.0792274	6.34574e-05	0	0.0488591
0.76	0	0.00891938	0.255	-8.08806e-05	-2.7971e-06	6.32075e-05	-8.16001e-05	0.0792291	6.34764e-05	0	0.0553132
0.78	0	0.0100972	0.255	-8.09189e-05	-9.16684e-07	6.32138e-05	-8.16359e-05	0.079231	6.34986e-05	0	0.0626197
0.8	0	0.0114306	0.255	-8.09621e-05	1.21218e-06	6.3222e-05	-8.16763e-05	0.0792331	6.35248e-05	0	0.0708909
0.82	0	0.0129401	0.255	-8.10109e-05	3.62232e-06	6.32326e-05	-8.17218e-05	0.0792355	6.35557e-05	0	0.0802545
0.84	0	0.014649	0.255	-8.10658e-05	6.35089e-06	6.32461e-05	-8.17731e-05	0.0792383	6.35923e-05	0	0.0908546
0.86	0	0.0165836	0.255	-8.11277e-05	9.43995e-06	6.32636e-05	-8.18307e-05	0.0792413	6.36359e-05	0	0.102855
0.88	0	0.0187738	0.255	-8.11974e-05	1.29371e-05	6.3286e-05	-8.18956e-05	0.0792448	6.36878e-05	0	0.116439
0.9	0	0.0212532	0.255	-8.12757e-05	1.68963e-05	6.33147e-05	-8.19684e-05	0.0792488	6.37501e-05	0	0.131818
0.92	0	0.02406	0.255	-8.13637e-05	2.13786e-05	6.33517e-05	-8.205e-05	0.0792533	6.3825e-05	0	0.149228
0.94	0	0.0272376	0.255	-8.14623e-05	2.6453e-05	6.33992e-05	-8.21414e-05	0.0792584	6.39155e-05	0	0.168937
0.96	0	0.0308349	0.255	-8.15729e-05	3.21976e-05	6.34601e-05	-8.22436e-05	0.0792641	6.40252e-05	0	0.19125
0.98	0	0.0349072	0.255	-8.16966e-05	3.87009e-05	6.35384e-05	-8.23576e-05	0.0792706	6.41586e-05	0	0.216509
1	0	0.0395174	0.255	-8.18346e-05	4.60628e-05	6.36388e-05	-8.24843e-05	0.079278	6.43216e-05	0	0.245103
0	0	0.0395174	0.255	-8.18346e-05	4.60628e-05	6.36388e-05	-8.24843e-05	0.079278	6.43216e-05	0	0.245103
0.02	0	0.0441264	0.255	-8.19751e-05	5.34015e-05	0.000221203	-8.26086e-05	0.0792853	6.44973e-05	0	0.216385
0.04	0	0.048195	0.255	-8.21073e-05	5.97373e-05	0.000691184	-8.27163e-05	0.0792918	6.46628e-05	0	0.191
0.06	0	0.051786	0.255	-8.22336e-05	6.50253e-05	0.00146617	-8.28096e-05	0.0792975	6.48172e-05	0	0.168558
0.08	0	0.0549547	0.255	-8.23558e-05	6.92132e-05	0.00253394	-8.28907e-05	0.0793026	6.49597e-05	0	0.148713
0.1	0	0.0577498	0.255	-8.24752e-05	7.22447e-05	0.00387765	-8.29612e-05	0.079307	6.50904e-05	0	0.13116
0.12	0	0.0602145	0.255	-8.25927e-05	7.40626e-05	0.00547612	-7.47204e-05	0.0792994	5.8689e-05	0	0.115627
0.14	0	0.0623868	0.255	-8.27087e-05	7.46125e-05	0.00730414	-7.47685e-05	0.0793025	5.87862e-05	0	0.101877
0.16	0	0.0643	0.255	-8.28236e-05	7.38452e-05	0.00933288	-7.48104e-05	0.0793053	5.88739e-05	0	0.0896954
0.18	0	0.0659838	0.255	-8.29373e-05	7.17191e-05	0.0115303	-7.48469e-05	0.0793077	5.89527e-05	0	0.0788962
0.2	0	0.067464	0.255	-8.30494e-05	6.82027e-05	0.0138619	-7.48787e-05	0.0793098	5.90233e-05	0	0.0693127
0.22	0	0.0687634	0.255	-8.31595e-05	6.32761e-05	0.0162907	-7.49064e-05	0.0793117	5.90862e-05	0	0.0607972
0.24	0	0.0699021	0.255	-8.3267e-05	5.69326e-05	0.0187786	-7.49305e-05	0.0793133	5.91421e-05	0	0.0532184
0.26	0	0.0708976	0.255	-8.33712e-05	4.91798e-05	0.0212862	-7.49514e-05	0.0793147	5.91915e-05	0	0.0464596
0.28	0	0.0717653	0.255	-8.34712e-05	4.00403e-05	0.023774	-7.49696e-05	0.079316	5.9235e-05	0	0.0404167
0.3	0	0.0725184	0.255	-8.35663e-05	2.95521e-05	0.0262028	-7.49853e-05	0.0793171	5.9273e-05	0	0.0349965
0.32	0	0.0731687	0.255	-8.36555e-05	1.77691e-05	0.0285343	-7.49988e-05	0.079318	5.93062e-05	0	0.0301155
0.34	0	0.0737261	0.255	-8.3738e-05	4.75992e-06	0.0307318	-7.50103e-05	0.0793188	5.93348e-05	0	0.0256985
0.36	0	0.0741993	0.255	-8.3813e-05	-9.39169e-06	0.0327605	-7.50201e-05	0.0793195	5.93591e-05	0	0.0216775
0.38	0	0.0745955	0.255	-8.38798e-05	-2.45883e-05	0.0345884	-7.50282e-05	0.07932	5.93797e-05	0	0.0179906
0.4	0	0.0749208	0.255	-8.39377e-05	-4.072e-05	0.0361868	-7.50349e-05	0.0793205	5.93966e-05	0	0.0145808
0.42	0	0.0751802	0.255	-8.3986e-05	-5.76654e-05	0.0375304	-7.50402e-05	0.0793209	5.94101e-05	0	0.0113956
0.44	0	0.0753778	0.255	-8.40242e-05	-7.52935e-05	0.0385981	-7.50442e-05	0.0793212	5.94204e-05	0	0.0083861
0.46	0	0.0755165	0.255	-8.40519e-05	-9.34659e-05	0.039373	-7.50471e-05	0.0793214	5.94277e-05	0	0.00550577
0.48	0	0.0755986	0.255	-8.40689e-05	-0.000112038	0.0398429	-7.50488e-05	0.0793215	5.9432e-05	0	0.00271027
0.5	0	0.0756252	0.255	-8.40749e-05	-0.000130863	0.0400003	-7.50493e-05	0.0793215	5.94334e-05	0	-4.34724e-05
0.52	0	0.0755968	0.255	-8.40699e-05	-0.00014979	0.0398429	-7.50487e-05	0.0793215	5.94319e-05	0	-0.00279788
0.54	0	0.075513	0.255	-8.40539e-05	-0.000168672	0.039373	-7.5047e-05	0.0793214	5.94275e-05	0	-0.0055954
0.56	0	0.0753724	0.255	-8.40271e-05	-0.000187364	0.0385981	-7.50441e-05	0.0793212	5.94201e-05	0	-0.00847913
0.58	0	0.075173	0.255	-8.39899e-05	-0.000205728	0.0375305	-7.50401e-05	0.0793209	5.94097e-05	0	-0.0114935
0.6	0	0.0749115	0.255	-8.39425e-05	-0.000223632	0.0361868	-7.50347e-05	0.0793205	5.93961e-05	0	-0.014685
0.62	0	0.074584	0.255	-8.38855e-05	-0.000240956	0.0345884	-7.5028e-05	0.07932	5.93791e-05	0	-0.0181027
0.64	0	0.0741855	0.255	-8.38195e-05	-0.000257592	0.0327605	-7.50198e-05	0.0793195	5.93584e-05	0	-0.0217994
0.66	0	0.0737098	0.255	-8.37452e-05	-0.000273445	0.0307318	-7.501e-05	0.0793188	5.93339e-05	0	-0.0258319
0.68	0	0.0731496	0.255	-8.36633e-05	-0.000288439	0.0285344	-7.49984e-05	0.079318	5.93052e-05	0	-0.0302625
0.7	0	0.0724962	0.255	-8.35747e-05	-0.000302514	0.0262028	-7.49848e-05	0.079317	5.92719e-05	0	-0.0351593
0.72	0	0.0717396	0.255	-8.34802e-05	-0.000315628	0.023774	-7.49691e-05	0.0793159	5.92337e-05	0	-0.0405979
0.74	0	0.0708681	0.255	-8.33807e-05	-0.000327762	0.0212862	-7.49508e-05	0.0793147	5.919e-05	0	-0.046662
0.76	0	0.0698684	0.255	-8.32769e-05	-0.000338916	0.0187786	-7.49298e-05	0.0793133	5.91404e-05	0	-0.0534451
0.78	0	0.0687249	0.255	-8.31697e-05	-0.000349113	0.0162907	-7.49056e-05	0.0793116	5.90843e-05	0	-0.0610517
0.8	0	0.06742	0.255	-8.30599e-05	-0.000358398	0.0138619	-7.48777e-05	0.0793098	5.90212e-05	0	-0.0695989
0.82	0	0.0659337	0.255	-8.29479e-05	-0.000366838	0.0115304	-7.48458e-05	0.0793076	5.89504e-05	0	-0.0792186
0.84	0	0.0642431	0.255	-8.28344e-05	-0.000374524	0.00933289	-7.48091e-05	0.0793052	5.88713e-05	0	-0.0900588
0.86	0	0.0623221	0.255	-8.27196e-05	-0.000381567	0.00730415	-7.4767e-05	0.0793024	5.87833e-05	0	-0.102287
0.88	0	0.0601412	0.255	-8.26035e-05	-0.000388102	0.00547614	-7.47188e-05	0.0792993	5.86857e-05	0	-0.116091
0.9	0	0.0576666	0.255	-8.24859e-05	-0.000394283	0.00387767	-8.29591e-05	0.0793069	6.50865e-05	0	-0.131683
0.92	0	0.0548603	0.255	-8.23664e-05	-0.000400285	0.00253395	-8.28883e-05	0.0793024	6.49554e-05	0	-0.149305
0.94	0	0.0516791	0.255	-8.2244e-05	-0.000406303	0.00146618	-8.28069e-05	0.0792974	6.48124e-05	0	-0.169227
0.96	0	0.0480739	0.255	-8.21174e-05	-0.000412551	0.000691194	-8.27131e-05	0.0792916	6.46578e-05	0	-0.191756
0.98	0	0.0439892	0.255	-8.19849e-05	-0.000419259	0.000221212	-8.2605e-05	0.0792851	6.44919e-05	0	-0.21724
1	0	0.039362	0.255	-8.1844e-05	-0.000426677	6.36462e-05	-8.24801e-05	0.0792777	6.43159e-05	0	-0.246072
0	0	0.039362	0.255	-8.1844e-05	-0.000426677	6.36462e-05	-8.24801e-05	0.0792777	6.43159e-05	0	-0.246072
0.02	0	0.0347348	0.255	-8.17056e-05	-0.000434066	6.35445e-05	-8.23576e-05	0.0792704	0.000221604	0	-0.217239
0.04	0	0.0306501	0.255	-8.15817e-05	-0.000440589	6.34653e-05	-8.22574e-05	0.079264	0.000691342	0	-0.191754
0.06	0	0.027045	0.255	-8.1471e-05	-0.000446346	6.34036e-05	-8.21782e-05	0.0792588	0.00146611	0	-0.169223
0.08	0	0.0238638	0.255	-8.13723e-05	-0.000451426	6.33556e-05	-8.21184e-05	0.0792548	0.00253369	0	-0.149299
0.1	0	0.0210577	0.255	-8.12844e-05	-0.000455907	6.33182e-05	-8.20764e-05	0.079252	0.00387724	0	-0.131676
