L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	32.28	-16.14	
5.05495	-5.05495	0	26.9	-21.52	
5.05495	-5.05495	0	29.59	-34.97	
5.05495	-5.05495	0	-8.07	-34.97	
5.05495	-5.05495	0	26.9	10.76	
5.05495	-5.05495	0	29.59	16.14	
5.05495	-5.05495	0	34.97	-29.59	
5.05495	-5.05495	0	24.21	69.94	
5.05495	-5.05495	0	26.9	83.39	
5.05495	-5.05495	0	34.97	-32.28	
5.05495	-4.96703	0	34.97	16.14	
5.05495	-5.05495	0	-102.22	45.73	
4.96703	-4.96703	0	-0	2.69	
4.96703	-5.05495	0	-0	-48.42	
5.05495	-4.96703	0	18.83	-16.14	
4.96703	-4.96703	0	21.52	34.97	
4.96703	-4.96703	0	-115.67	-48.42	
4.87912	-4.87912	0	-78.01	-29.59	
4.87912	-4.87912	0	-0	80.7	
4.87912	-4.87912	0	-161.4	80.7	
4.79121	-4.7033	0	-126.43	-40.35	
4.7033	-4.79121	0	-0	-2.69	
4.61538	-4.7033	0	-51.11	-32.28	
4.7033	-4.52747	0	5.38	131.81	
4.61538	-4.52747	0	-131.81	99.53	
4.26374	-4.26374	0	-435.78	212.51	
4.35165	-4.26374	0	333.56	32.28	
4.26374	-4.17582	0	204.44	-207.13	
4	-4	0	172.16	123.74	
3.91209	-3.73626	0	91.46	-34.97	
3.64835	-3.56044	0	-13.45	-45.73	
3.47253	-3.38462	0	2.69	-56.49	
3.12088	-3.03297	0	-5.38	24.21	
2.85714	-2.68132	0	110.29	-110.29	
2.41758	-2.32967	0	51.11	2.69	
1.89011	-1.89011	0	-121.05	64.56	
1.36264	-1.27473	0	-18.83	64.56	
0.747253	-0.747253	0	204.44	37.66	
0.131868	0.043956	0	134.5	118.36	
-0.747253	0.923077	0	-102.22	99.53	
-1.8022	1.97802	0	207.13	-10.76	
-1.97802	1.97802	0	-0	244.79	
-2.68132	2.94505	0	161.4	75.32	
-3.64835	3.91209	0	336.25	-61.87	
-4.61538	4.7033	0	185.61	-290.52	
-5.23077	5.31868	0	169.47	-363.15	
-5.75824	6.02198	0	252.86	-532.62	
-6.1978	6.46154	0	390.05	-634.84	
-6.63736	6.9011	0	640.22	-796.24	
-7.07692	7.25275	0	763.96	-828.52	
-7.42857	7.6044	0	895.77	-906.53	
-7.69231	7.86813	0	766.65	-833.9	
-7.95604	8.04396	0	801.62	-871.56	
-8.13187	8.21978	0	847.35	-906.53	
-8.21978	8.21978	0	1011.44	-661.74	
-8.57143	8.3956	0	995.3	-753.2	
-8.57143	8.3956	0	1054.48	-505.72	
-8.65934	8.3956	0	1008.75	-312.04	
-8.74725	8.3956	0	1086.76	-182.92	
-8.74725	8.30769	0	981.85	121.05	
-8.74725	8.30769	0	785.48	164.09	
-8.83516	8.30769	0	933.43	263.62	
-8.92308	8.21978	0	1296.58	303.97	
-8.92308	8.21978	0	1307.34	217.89	
-8.92308	8.21978	0	1417.63	86.08	
-8.83516	8.21978	0	1519.85	193.68	
-8.92308	8.13187	0	1705.46	0	
-8.83516	8.04396	0	1735.05	5.38	
-8.65934	7.86813	0	1466.05	-13.45	
-8.30769	7.86813	0	1361.14	-37.66	
-8.21978	7.6044	0	1336.93	2.69	
-7.86813	7.51648	0	1148.63	18.83	
-7.51648	7.16484	0	922.67	223.27	
-7.25275	6.98901	0	815.07	59.18	
-6.81319	6.63736	0	621.39	18.83	
-6.46154	6.02198	0	548.76	180.23	
-6.10989	5.67033	0	521.86	-51.11	
-5.49451	5.40659	0	540.69	69.94	
-4.79121	4.7033	0	384.67	-556.83	
-4.08791	4.26374	0	416.95	-1366.52	
-3.20879	3.38462	0	497.65	-1417.63	
-2.41758	2.68132	0	454.61	-1277.75	
-2.15385	2.32967	0	739.75	-1008.75	
-1.45055	1.62637	0	960.33	-1799.61	
-0.571429	0.923077	0	973.78	-1826.51	
-0.043956	0.21978	0	1226.64	-1197.05	
0.571429	0.307692	0	1479.5	-384.67	
1.27473	1.8022	0	1151.32	-699.4	
1.71429	2.94505	0	1137.87	-906.53	
2.24176	4	0	1073.31	-516.48	
2.68132	4.52747	0	901.15	-659.05	
3.12088	4.43956	0	844.66	-626.77	
3.56044	4.17582	0	640.22	-774.72	
3.82418	4.08791	0	583.73	-683.26	
4.08791	1.62637	0	476.13	-1269.68	
4.26374	-1.0989	0	564.9	-898.46	
4.43956	-4.61538	0	637.53	-295.9	
4.7033	-4.79121	0	266.31	-449.23	
4.87912	-4.79121	0	110.29	-642.91	
4.96703	-4.87912	0	131.81	-564.9	
5.05495	-5.05495	0	303.97	-242.1	
5.14286	-5.05495	0	314.73	-489.58	
5.14286	-5.05495	0	314.73	-468.06	
5.23077	-5.05495	0	285.14	-357.77	
5.14286	-5.05495	0	158.71	-330.87	
5.05495	-4.96703	0	269	-314.73	
4.96703	-4.87912	0	201.75	-381.98	
4.79121	-4.7033	0	333.56	-607.94	
4.7033	-4.43956	0	486.89	-699.4	
4.52747	-4.35165	0	519.17	-626.77	
4.35165	-4	0	634.84	-1008.75	
4	-3.73626	0	734.37	-976.47	
3.73626	-3.64835	0	616.01	-637.53	
3.47253	-3.2967	0	747.82	-782.79	
3.12088	-2.94505	0	699.4	-930.74	
2.68132	-2.50549	0	532.62	-637.53	
2.41758	-2.15385	0	451.92	-772.03	
1.97802	-1.8022	0	546.07	-492.27	
1.45055	-1.18681	0	505.72	-454.61	
0.747253	-0.659341	0	435.78	-500.34	
-0.043956	0.307692	0	543.38	-699.4	
-0.923077	1.27473	0	675.19	-847.35	
-1.97802	2.06593	0	1043.72	-1046.41	
-2.32967	2.32967	0	750.51	-793.55	
-2.94505	3.2967	0	581.04	-739.75	
-3.91209	4.17582	0	618.7	-632.15	
-4.7033	4.87912	0	672.5	-925.36	
-5.23077	5.58242	0	624.08	-841.97	
-5.93407	6.10989	0	640.22	-944.19	
-6.28571	6.37363	0	572.97	-763.96	
-6.63736	6.72527	0	597.18	-363.15	
-6.98901	6.81319	0	685.95	-107.6	
-7.25275	7.07692	0	610.63	-61.87	
-7.51648	7.25275	0	605.25	470.75	
-7.69231	7.42857	0	629.46	411.57	
-7.86813	7.6044	0	761.27	435.78	
-8.13187	7.69231	0	578.35	500.34	
-8.21978	7.86813	0	753.2	492.27	
-8.30769	7.95604	0	656.36	524.55	
-8.57143	7.95604	0	772.03	521.86	
-8.65934	7.86813	0	928.05	669.81	
-8.74725	8.13187	0	949.57	521.86	
-8.74725	8.13187	0	777.41	519.17	
-8.74725	8.13187	0	747.82	527.24	
-8.74725	8.13187	0	944.19	403.5	
-8.74725	8.13187	0	954.95	322.8	
-8.74725	8.13187	0	1121.73	328.18	
-8.74725	8.13187	0	1307.34	161.4	
-8.57143	8.04396	0	1264.3	147.95	
-8.30769	8.04396	0	841.97	139.88	
-8.21978	7.86813	0	742.44	236.72	
-7.95604	7.86813	0	513.79	-320.11	
-7.78022	7.69231	0	303.97	115.67	
-7.6044	7.34066	0	180.23	112.98	
-7.25275	7.25275	0	112.98	32.28	
-6.98901	6.9011	0	269	-231.34	
-6.63736	6.46154	0	266.31	-309.35	
-6.28571	6.02198	0	263.62	177.54	
-5.93407	5.58242	0	384.67	554.14	
-5.40659	5.05495	0	408.88	874.25	
-4.7033	4.08791	0	207.13	-425.02	
-4	3.20879	0	287.83	-298.59	
-3.03297	2.41758	0	293.21	-527.24	
-1.97802	1.71429	0	-188.3	-234.03	
-1.97802	1.89011	0	145.26	-225.96	
-1.01099	1.18681	0	422.33	-1132.49	
-0.307692	0.571429	0	228.65	-1067.93	
0.483516	-0.131868	0	425.02	-1089.45	
1.0989	-0.923077	0	416.95	-860.8	
1.71429	-1.36264	0	672.5	-1318.1	
2.06593	-1.71429	0	858.11	-1498.33	
2.41758	-1.97802	0	817.76	-1700.08	
2.94505	-2.50549	0	607.94	-1619.38	
3.2967	-2.94505	0	774.72	-1436.46	
3.73626	-3.38462	0	562.21	-1006.06	
4	-3.64835	0	379.29	-801.62	
4.26374	-4.08791	0	166.78	-505.72	
4.43956	-4.26374	0	104.91	-430.4	
4.43956	-4.61538	0	-196.37	-271.69	
4.96703	-4.87912	0	-147.95	-45.73	
4.96703	-4.96703	0	78.01	-45.73	
5.14286	-5.05495	0	64.56	139.88	
5.14286	-4.96703	0	242.1	667.12	
5.14286	-5.23077	0	131.81	172.16	
5.23077	-5.23077	0	121.05	298.59	
5.23077	-5.14286	0	169.47	193.68	
5.23077	-5.05495	0	129.12	-521.86	
5.23077	-4.7033	0	-8.07	-357.77	
5.14286	-4.43956	0	-32.28	400.81	
4.96703	-4.79121	0	228.65	1431.08	
5.05495	-5.05495	0	-287.83	492.27	
4.87912	-4.79121	0	-277.07	-707.47	
4.79121	-4.26374	0	182.92	-411.57	
4.43956	-4.08791	0	225.96	-390.05	
4	-3.91209	0	145.26	-269	
3.73626	-3.47253	0	112.98	-392.74	
3.38462	-3.03297	0	182.92	-443.85	
2.85714	-2.59341	0	454.61	-629.46	
2.41758	-2.24176	0	406.19	-718.23	
1.89011	-1.62637	0	634.84	-876.94	
1.27473	-1.0989	0	702.09	-755.89	
0.747253	-0.571429	0	720.92	-691.33	
-0.131868	0.395604	0	656.36	-949.57	
-1.01099	1.18681	0	618.7	-702.09	
-1.89011	2.06593	0	833.9	-960.33	
-2.24176	2.32967	0	602.56	-575.66	
-2.85714	2.94505	0	282.45	-96.84	
-3.73626	3.73626	0	263.62	344.32	
-4.52747	4.52747	0	295.9	287.83	
-5.05495	5.05495	0	193.68	244.79	
-5.67033	5.67033	0	247.48	32.28	
-6.10989	6.10989	0	336.25	61.87	
-6.54945	6.54945	0	131.81	-43.04	
-6.81319	6.81319	0	134.5	34.97	
-7.16484	7.07692	0	185.61	121.05	
-7.34066	7.34066	0	312.04	277.07	
-7.6044	7.42857	0	325.49	459.99	
-7.78022	7.69231	0	333.56	301.28	
-8.04396	7.78022	0	425.02	285.14	
-8.13187	7.86813	0	416.95	494.96	
-8.30769	7.95604	0	567.59	497.65	
-8.3956	7.95604	0	755.89	497.65	
-8.65934	7.86813	0	901.15	669.81	
-8.74725	8.13187	0	965.71	505.72	
-8.74725	8.13187	0	804.31	503.03	
-8.74725	8.21978	0	734.37	503.03	
-8.74725	8.13187	0	952.26	414.26	
-8.74725	8.13187	0	941.5	363.15	
-8.74725	8.13187	0	1140.56	293.21	
-8.74725	8.04396	0	1301.96	312.04	
-8.74725	8.04396	0	1245.47	341.63	
-8.57143	7.95604	0	1105.59	260.93	
-8.30769	7.86813	0	1092.14	83.39	
-8.13187	7.78022	0	981.85	-53.8	
-7.86813	7.6044	0	769.34	-29.59	
-7.69231	7.34066	0	570.28	188.3	
-7.42857	7.16484	0	516.48	0	
-7.07692	6.9011	0	532.62	53.8	
-6.72527	6.63736	0	390.05	-204.44	
-6.28571	6.37363	0	225.96	494.96	
-5.84615	5.75824	0	250.17	94.15	
-5.31868	5.14286	0	147.95	-56.49	
-4.61538	4.52747	0	72.63	-290.52	
-4	3.91209	0	156.02	-677.88	
-3.03297	3.38462	0	204.44	-1213.19	
-2.06593	2.50549	0	190.99	-1178.22	
-1.97802	2.41758	0	470.75	-1232.02	
-1.27473	1.53846	0	836.59	-1622.07	
-0.571429	0.923077	0	941.5	-1850.72	
0.131868	0.131868	0	1191.67	-1829.2	
0.659341	-0.21978	0	1490.26	-398.12	
1.27473	1.62637	0	1336.93	-252.86	
1.89011	3.56044	0	992.61	-774.72	
2.24176	5.75824	0	1191.67	-793.55	
2.85714	6.98901	0	944.19	-885.01	
3.2967	7.25275	0	796.24	-876.94	
3.73626	6.98901	0	548.76	-944.19	
4	6.54945	0	425.02	-1234.71	
4.26374	3.73626	0	290.52	-1059.86	
4.43956	0.307692	0	422.33	-903.84	
4.7033	-4.35165	0	333.56	91.46	
4.79121	-4.96703	0	-13.45	-137.19	
5.23077	-4.96703	0	-277.07	-247.48	
5.23077	-5.05495	0	-156.02	-215.2	
