time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0095786	9.02591	1.3832	-0.0240425	-1.34719	-8.99719	0.0123626	5.01109	1.39576	-0.0212595	-1.36007	-4.98237	
0.05	0.00957931	9.02489	1.38321	-0.0240416	-1.3472	-8.99617	0.0123633	5.01005	1.39576	-0.021259	-1.36008	-4.98134	
0.075	0.00958051	9.02317	1.38321	-0.0240401	-1.34721	-8.99445	0.0123645	5.0083	1.39576	-0.0212582	-1.36008	-4.97958	
0.1	0.00958224	9.0207	1.38322	-0.0240378	-1.34722	-8.99198	0.0123662	5.00579	1.39577	-0.0212569	-1.36009	-4.97707	
0.125	0.00958453	9.01743	1.38324	-0.0240349	-1.34723	-8.98871	0.0123685	5.00246	1.39578	-0.0212553	-1.36009	-4.97374	
0.15	0.00958744	9.01327	1.38325	-0.0240312	-1.34725	-8.98455	0.0123714	4.99823	1.39579	-0.0212532	-1.3601	-4.96951	
0.175	0.00959104	9.00812	1.38327	-0.0240266	-1.34727	-8.97941	0.012375	4.993	1.3958	-0.0212507	-1.36012	-4.96428	
0.2	0.00959541	9.00187	1.3833	-0.024021	-1.34729	-8.97316	0.0123794	4.98663	1.39581	-0.0212475	-1.36013	-4.95792	
0.225	0.00960067	8.99436	1.38333	-0.0240143	-1.34732	-8.96564	0.0123847	4.97899	1.39583	-0.0212438	-1.36015	-4.95028	
0.25	0.00960693	8.98541	1.38336	-0.0240062	-1.34736	-8.95669	0.0123909	4.96988	1.39585	-0.0212394	-1.36017	-4.94117	
0.275	0.00961435	8.9748	1.3834	-0.0239968	-1.3474	-8.94608	0.0123984	4.95909	1.39588	-0.0212341	-1.3602	-4.93038	
0.3	0.00962311	8.96227	1.38345	-0.0239856	-1.34745	-8.93356	0.0124071	4.94635	1.3959	-0.0212279	-1.36023	-4.91764	
