time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.013	-0.0056	-0.1287	1.064	-3.4046	-0.4656	-2.2824	
0.043	-0.0049	-0.1045	1.0771	-3.855	-0.2137	2.4046	
0.074	0.0681	-0.1392	1.0195	-5.0076	-0.916	-4.7176	
0.105	0.0173	-0.1426	1.0447	-3.2595	-1.8626	0.2137	
0.129	0.0181	0.0923	1.103	-3.1603	-1.1374	-1.5878	
0.16	0.0579	-0.1538	1.071	-1.4198	-0.9847	0.9237	
0.191	0.0188	0.1086	1.1265	-3.3053	0.2901	-4.3511	
0.223	0.0515	-0.1851	1.1101	-2.4122	-0.916	-4.7939	
0.247	-0.0039	-0.1663	1.074	-1.7863	-0.4351	4.9466	
0.278	0.0698	-0.0251	1.0291	-4.9237	0.9924	-6.6794	
0.309	0.0222	-0.0029	1.0713	-4.3893	-1.4275	1.8092	
0.339	0.0129	-0.2659	1.0881	-4.8779	1.1527	-1.1527	
0.37	0.0142	0.0671	1.0457	-4.0611	-0.7176	-1.9237	
0.395	0.0503	-0.0073	1.1174	-3.6183	-0.8015	-4.7176	
0.426	0.0391	0.072	1.0703	-2.626	-0.2214	-3.374	
0.445	0.0459	-0.0964	1.0637	-5.7023	-0.5725	-2.9237	
0.445	0.0459	-0.0964	1.0637	-5.7023	-0.5725	-2.9237	
0.445	0.0459	-0.0964	1.0637	-5.7023	-0.5725	-2.9237	
0.445	0.0459	-0.0964	1.0637	-5.7023	-0.5725	-2.9237	
0.451	0.0327	-0.0593	1.0422	-2.2595	-1.6489	-3.664	
0.451	0.0327	-0.0593	1.0422	-2.2595	-1.6489	-3.664	
0.451	0.0327	-0.0593	1.0422	-2.2595	-1.6489	-3.664	
0.451	0.0327	-0.0593	1.0422	-2.2595	-1.6489	-3.664	
0.451	0.0327	-0.0593	1.0422	-2.2595	-1.6489	-3.664	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.549	0.0085	-0.0537	1.1179	-5.0076	-0.4198	-0.2977	
0.555	0.0652	0.0857	1.0327	-4.9695	-1.7328	-5.9771	
0.555	0.0652	0.0857	1.0327	-4.9695	-1.7328	-5.9771	
0.555	0.0652	0.0857	1.0327	-4.9695	-1.7328	-5.9771	
0.555	0.0652	0.0857	1.0327	-4.9695	-1.7328	-5.9771	
0.555	0.0652	0.0857	1.0327	-4.9695	-1.7328	-5.9771	
0.561	-0.0068	-0.1548	1.0518	-3.2672	-0.229	-1.9313	
0.561	-0.0068	-0.1548	1.0518	-3.2672	-0.229	-1.9313	
0.561	-0.0068	-0.1548	1.0518	-3.2672	-0.229	-1.9313	
0.561	-0.0068	-0.1548	1.0518	-3.2672	-0.229	-1.9313	
0.561	-0.0068	-0.1548	1.0518	-3.2672	-0.229	-1.9313	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.568	0.0828	0.053	1.0769	-3.8015	-3.1298	1.5496	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.574	0.0146	-0.0095	1.0535	-4.7023	0.3282	-4.6107	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.58	0.0745	-0.1086	1.1064	-2.5725	-0.229	-2.8626	
0.586	-0.0376	-0.0901	1.136	-4.4046	-0.4656	2.1985	
0.586	-0.0376	-0.0901	1.136	-4.4046	-0.4656	2.1985	
0.586	-0.0376	-0.0901	1.136	-4.4046	-0.4656	2.1985	
0.586	-0.0376	-0.0901	1.136	-4.4046	-0.4656	2.1985	
