time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0113029	6.5481	2.42861	-0.000534347	-2.39282	-6.51939	0.00838503	10.7239	2.40147	-0.00387501	-2.36526	-10.6952	
0.05	0.0113088	6.53969	2.42865	-0.000527967	-2.39287	-6.51097	0.00839083	10.7157	2.40153	-0.00386543	-2.36533	-10.687	
0.075	0.0113186	6.52544	2.42872	-0.000517184	-2.39294	-6.49672	0.00840066	10.7018	2.40165	-0.00384925	-2.36544	-10.6731	
0.1	0.0113327	6.50502	2.42883	-0.000501772	-2.39305	-6.4763	0.00841474	10.6819	2.40181	-0.00382609	-2.36561	-10.6531	
0.125	0.0113515	6.47795	2.42897	-0.00048141	-2.39319	-6.44923	0.00843341	10.6554	2.40202	-0.00379546	-2.36582	-10.6267	
0.15	0.0113752	6.44358	2.42914	-0.000455678	-2.39336	-6.41487	0.00845711	10.6219	2.40229	-0.00375669	-2.3661	-10.5932	
0.175	0.0114046	6.4011	2.42935	-0.000424055	-2.39358	-6.37239	0.00848639	10.5804	2.40262	-0.00370895	-2.36643	-10.5517	
0.2	0.0114403	6.34951	2.42961	-0.000385916	-2.39384	-6.32079	0.00852196	10.53	2.40302	-0.00365123	-2.36684	-10.5013	
0.225	0.0114831	6.28757	2.42992	-0.000340525	-2.39415	-6.25885	0.00856465	10.4696	2.4035	-0.00358233	-2.36733	-10.4408	
0.25	0.0115341	6.21381	2.43028	-0.000287035	-2.39452	-6.1851	0.00861547	10.3975	2.40407	-0.00350084	-2.3679	-10.3688	
0.275	0.0115945	6.12649	2.4307	-0.000224491	-2.39495	-6.09777	0.00867562	10.3122	2.40474	-0.00340513	-2.36858	-10.2835	
0.3	0.0116656	6.02352	2.43119	-0.000151834	-2.39545	-5.99481	0.00874653	10.2116	2.40552	-0.00329336	-2.36937	-10.1829	
0.325	0.0117492	5.90246	2.43176	-6.79205e-05	-2.39602	-5.87375	0.00882988	10.0933	2.40642	-0.00316343	-2.3703	-10.0645	
0.35	0.0118472	5.76042	2.43241	2.84544e-05	-2.39668	-5.7317	0.00892762	9.95436	2.40748	-0.00301304	-2.37137	-9.92565	
0.375	0.011962	5.59401	2.43316	0.000138508	-2.39744	-5.5653	0.00904208	9.79158	2.40869	-0.00283967	-2.3726	-9.76286	
0.4	0.0120963	5.39926	2.43401	0.000263398	-2.3983	-5.37055	0.00917597	9.60097	2.41009	-0.00264063	-2.37402	-9.57226	
0.425	0.0122532	5.17151	2.43496	0.000404112	-2.39927	-5.1428	0.00933245	9.37795	2.4117	-0.00241314	-2.37565	-9.34923	
0.45	0.0124365	4.90532	2.43603	0.000561301	-2.40036	-4.8766	0.00951523	9.11709	2.41353	-0.00215443	-2.37752	-9.08838	
0.475	0.0126505	4.5943	2.43722	0.000735037	-2.40156	-4.56559	0.00972863	8.81208	2.41561	-0.00186196	-2.37963	-8.78336	
0.5	0.0129002	4.23101	2.43851	0.000924469	-2.40287	-4.20229	0.00997771	8.45546	2.41796	-0.00153369	-2.38201	-8.42674	
0	0.0129002	4.23101	2.43851	0.000924469	-2.40287	-4.20229	0.00997771	8.45546	2.41796	-0.00153369	-2.38201	-8.42674	
0.025	0.0131898	3.80925	2.4399	0.00112617	-2.40428	-3.78054	0.0102666	8.041	2.42058	-0.00117059	-2.38467	-8.01229	
0.05	0.0135172	3.33204	2.44131	0.00133084	-2.40571	-3.30333	0.0105933	7.57147	2.42339	-0.00078304	-2.38752	-7.54276	
0.075	0.0138784	2.80488	2.44267	0.00152793	-2.40709	-2.77617	0.0109538	7.05207	2.42631	-0.000383615	-2.39049	-7.02335	
