time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.013	0.0317	-0.2942	1.0779	-4.0687	-1.3893	5.2595	
0.043	0.0408	0.0396	1.0977	-3.2748	-0.229	-7.2748	
0.074	0.0264	-0.095	1.0671	-1.7863	-2.3817	-0.1603	
0.106	0.0591	0.1499	0.9924	-2.3206	-0.4198	-3.0458	
0.13	0.0862	-0.001	1.0371	-3.9084	-2.2672	-4.7405	
0.161	-0.0232	-0.186	1.0779	-2.9695	0.3588	3.1069	
0.192	0.0801	-0.0166	1.0288	-3.8397	-0.626	-6	
0.223	0.0471	-0.0308	1.0764	-4.2214	-1.9084	-4.4885	
0.247	0.0488	-0.1003	1.0598	-3.0229	-0.4122	-2.7939	
0.278	0.0503	0.1016	1.1179	-4.4733	-1.7557	-1.9237	
0.309	0.0203	-0.0872	1.0518	-2.855	-0.9237	-1.4275	
0.34	0.0383	-0.0586	1.1194	-0.8092	-0.3053	-1.6336	
0.371	0.0815	-0.166	1.1086	-3.2901	-1.1679	-2.9542	
0.396	0.0452	-0.0405	1.0725	-4.2901	1.0611	0.3893	
0.426	0.0273	-0.1704	1.0964	-3.626	-1.1298	-1.3664	
0.451	0.0352	0.0046	1.0657	-4.2824	0.0534	0.1679	
0.451	0.0352	0.0046	1.0657	-4.2824	0.0534	0.1679	
0.451	0.0352	0.0046	1.0657	-4.2824	0.0534	0.1679	
0.451	0.0352	0.0046	1.0657	-4.2824	0.0534	0.1679	
0.451	0.0352	0.0046	1.0657	-4.2824	0.0534	0.1679	
0.9	0.0188	1.0603	-2.1908	-2.1069	-1.2443	4.62428e-44	
0.9	0.0188	1.0603	-2.1908	-2.1069	-1.2443	4.62428e-44	
0.9	0.0188	1.0603	-2.1908	-2.1069	-1.2443	4.62428e-44	
0.9	0.0188	1.0603	-2.1908	-2.1069	-1.2443	4.62428e-44	
0.9	0.0188	1.0603	-2.1908	-2.1069	-1.2443	4.62428e-44	
0.871	0.0532	0.01	1.0422	-3.2366	-0.4427	-0.9389	
