time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.033	-0.1428	1.1057	-3.5649	0.7023	1.0611	
0.043	0.0222	-0.1963	1.074	-4.2901	-1.0229	-2.7328	
0.073	0.0618	0.0232	1.0862	-2.6947	-1.542	-3.7481	
0.104	0.0479	-0.0386	1.0552	-2.2366	-1.1374	-2.0611	
0.13	0.0349	-0.0881	1.0437	-2.5191	-1.6794	-1.4962	
0.16	0.0625	-0.1284	1.0476	-1.687	-1.1603	-0.2366	
0.191	0.0505	-0.0461	1.0669	-3.0076	-1.0763	-3.1603	
0.222	0.0098	-0.0024	1.0869	-2.4046	-1.4809	-2.8168	
0.246	0.0276	-0.0867	1.0911	-3.3664	-0.6489	-1.6183	
0.277	0.0437	0.0298	1.1033	-4.4885	-0.3206	-2.3053	
0.308	0.0452	-0.0278	1.0505	-3.4733	-1.8779	-1.6565	
0.338	0.0073	-0.0515	1.0828	-3.0992	-0.5267	-0.1603	
0.364	0.0122	0.0757	1.0723	-3.5573	-1.8626	-3.5191	
0.395	0.0315	-0.0598	1.0845	-3.3435	0.1374	2.6794	
0.426	0.0305	-0.1423	1.0723	-4.1679	-0.1756	-6.8397	
0.444	0.0476	0.0859	1.0735	-2.5878	-0.5267	-6.4427	
0.475	0.0452	-0.0591	1.0669	-2.2214	-1.7786	0.542	
0.475	0.0452	-0.0591	1.0669	-2.2214	-1.7786	0.542	
0.475	0.0452	-0.0591	1.0669	-2.2214	-1.7786	0.542	
0.475	0.0452	-0.0591	1.0669	-2.2214	-1.7786	0.542	
0.475	0.0452	-0.0591	1.0669	-2.2214	-1.7786	0.542	
0.481	0.0386	0.1252	1.0422	-2.3359	-0.1603	-4.4198	
0.481	0.0386	0.1252	1.0422	-2.3359	-0.1603	-4.4198	
0.481	0.0386	0.1252	1.0422	-2.3359	-0.1603	-4.4198	
0.481	0.0386	0.1252	1.0422	-2.3359	-0.1603	-4.4198	
0.481	0.0386	0.1252	1.0422	-2.3359	-0.1603	-4.4198	
