time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.013	0.0046	-0.0183	1.1047	-4.2595	-1.1832	-7.229	
0.043	0.0176	-0.2036	1.085	-2.4656	-0.4656	1.7634	
0.074	0.0283	-0.0415	1.1147	-4.7939	0.4809	-4.1221	
0.105	0.0603	-0.0435	1.0383	-3.1298	-0.4809	0.9008	
0.129	0.0361	-0.0286	1.0378	-3.374	-1.0305	-0.3817	
0.16	0.0452	0.0952	1.0195	-3.7939	-0.4733	-5.4046	
0.192	0.0156	-0.0774	1.0737	-4.4733	-0.7099	-0.9847	
0.223	0.0251	0.0132	1.0574	-4.9695	-1.5115	-4.3588	
0.247	0.0601	-0.0544	1.1113	-4.1679	-1.8855	-5.9924	
0.278	0.033	-0.1357	1.1172	-2.6718	-1.6947	0.6718	
0.309	0.0403	-0.0029	1.0889	-3.7634	-1.7405	-4.9695	
0.339	0.051	0.0007	1.0295	-3.2443	-1.916	-0.0305	
0.37	0.0081	-0.0735	1.1006	-4.2901	-0.4885	3.0229	
0.396	0.053	0.1775	1.0725	-5.1756	-0.5191	-1.7176	
0.426	0.0273	-0.3123	1.0955	-4.8702	-1.4733	0.0076	
0.445	0.0522	-0.2119	1.1174	-3.5802	-0.4809	-2.3588	
0.445	0.0522	-0.2119	1.1174	-3.5802	-0.4809	-2.3588	
0.445	0.0522	-0.2119	1.1174	-3.5802	-0.4809	-2.3588	
0.451	0.0286	-0.0532	1.0444	-2.374	-1.2137	3	
0.451	0.0286	-0.0532	1.0444	-2.374	-1.2137	3	
0.593	0.0649	0.0825	1.0605	-3.5878	-1.771	-5.7786	
0.593	0.0649	0.0825	1.0605	-3.5878	-1.771	-5.7786	
0.593	0.0649	0.0825	1.0605	-3.5878	-1.771	-5.7786	
0.593	0.0649	0.0825	1.0605	-3.5878	-1.771	-5.7786	
0.593	0.0649	0.0825	1.0605	-3.5878	-1.771	-5.7786	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.599	0.0244	-0.1694	1.0901	-5.7328	-0.1527	-0.2137	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.606	0.0586	0.0625	1.0557	-4.1527	-1.771	-0.4504	
0.612	0.0103	-0.064	1.0537	-4.9847	-0.2443	-2.5725	
0.612	0.0103	-0.064	1.0537	-4.9847	-0.2443	-2.5725	
0.612	0.0103	-0.064	1.0537	-4.9847	-0.2443	-2.5725	
0.612	0.0103	-0.064	1.0537	-4.9847	-0.2443	-2.5725	
0.612	0.0103	-0.064	1.0537	-4.9847	-0.2443	-2.5725	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.618	0.0637	-0.0627	1.0391	-2.2824	-1.7252	-2.771	
0.624	0.0059	-0.1311	1.0952	-4.0229	-0.6336	1.2061	
0.624	0.0059	-0.1311	1.0952	-4.0229	-0.6336	1.2061	
0.624	0.0059	-0.1311	1.0952	-4.0229	-0.6336	1.2061	
0.624	0.0059	-0.1311	1.0952	-4.0229	-0.6336	1.2061	
0.624	0.0059	-0.1311	1.0952	-4.0229	-0.6336	1.2061	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.63	0.0605	0.0969	1.0361	-1.4809	-1.5344	-4.1069	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.636	0.0391	-0.0815	1.1211	-4.5649	-0.8015	-3.0611	
0.642	0.0405	-0.0449	1.0427	-2.1374	-0.9084	-0.9389	
0.642	0.0405	-0.0449	1.0427	-2.1374	-0.9084	-0.9389	
0.642	0.0405	-0.0449	1.0427	-2.1374	-0.9084	-0.9389	
0.642	0.0405	-0.0449	1.0427	-2.1374	-0.9084	-0.9389	
0.642	0.0405	-0.0449	1.0427	-2.1374	-0.9084	-0.9389	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.649	0.0586	0.0901	1.073	-3.1374	-0.4427	-1.0305	
0.655	0.0046	-0.1221	1.0967	-5.0382	-0.1527	-2.916	
0.655	0.0046	-0.1221	1.0967	-5.0382	-0.1527	-2.916	
0.655	0.0046	-0.1221	1.0967	-5.0382	-0.1527	-2.916	
0.655	0.0046	-0.1221	1.0967	-5.0382	-0.1527	-2.916	
0.655	0.0046	-0.1221	1.0967	-5.0382	-0.1527	-2.916	
0.661	0.0315	-0.0469	1.0664	-3.3435	-0.9084	-2.7786	
0.661	0.0315	-0.0469	1.0664	-3.3435	-0.9084	-2.7786	
0.661	0.0315	-0.0469	1.0664	-3.3435	-0.9084	-2.7786	
0.661	0.0315	-0.0469	1.0664	-3.3435	-0.9084	-2.7786	
0.661	0.0315	-0.0469	1.0664	-3.3435	-0.9084	-2.7786	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.667	0.0537	-0.0989	1.0889	-3.1145	-0.9924	-0.4351	
0.673	0.0017	0.0403	1.0886	-2.8702	-0.0382	-2.7786	
0.673	0.0017	0.0403	1.0886	-2.8702	-0.0382	-2.7786	
