time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0601	0.0525	1.0862	-3.6718	-0.0458	-3.542	
0.043	-0.0127	-0.1018	1.0493	-3.8702	-1.0305	-2.1679	
0.073	-0.0327	-0.2546	1.02	-3.771	-1.2595	-1.313	
0.098	0.0237	0.0532	1.0627	-4.5878	-0.4198	-2.3206	
0.129	0.0557	0.1467	1.0979	-2.6336	-0.0534	-2.3969	
0.16	-0.0159	0.0286	1.0405	-4.0153	-1.1145	-0.4809	
0.191	0.0144	-0.0071	1.0378	-3.2748	-1.4122	-0.313	
0.216	0.0059	-0.0862	0.9932	-1.687	-2.0076	-0.4275	
0.246	0.0779	0.1045	1.0413	-1.9389	-1.1145	-0.7023	
0.277	0.0522	0.0308	1.0908	-3.687	-0.3817	-3.5802	
0.308	0.0015	-0.1216	1.0837	-5.145	-0.5191	-2.6031	
0.332	0.0664	-0.0605	1.0708	-0.9237	-0.8779	-2.3359	
0.364	0.0527	0.0325	1.071	-2.4275	-1.1603	-2.7176	
0.395	0.0337	0.0796	1.0786	-3.855	-1.0153	-3.1603	
0.426	0.0178	-0.0796	1.0732	-2.5954	-0.4122	-1.4733	
0.444	0.0427	-0.0581	1.0906	-4.9313	-1.0229	-2.1985	
0.444	0.0427	-0.0581	1.0906	-4.9313	-1.0229	-2.1985	
0.94	3.06996e-41	0	0	0	0	4.62428e-44	
0.94	3.06996e-41	0	0	0	0	4.62428e-44	
0.94	3.06996e-41	0	0	0	0	4.62428e-44	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.104	0.0886	0.0549	1.0715	-2.5496	-0.7557	-1.5038	
1.111	-0.0051	-0.0137	1.0693	-3.3359	-0.4656	-2.4122	
1.111	-0.0051	-0.0137	1.0693	-3.3359	-0.4656	-2.4122	
1.111	-0.0051	-0.0137	1.0693	-3.3359	-0.4656	-2.4122	
1.111	-0.0051	-0.0137	1.0693	-3.3359	-0.4656	-2.4122	
1.111	-0.0051	-0.0137	1.0693	-3.3359	-0.4656	-2.4122	
1.117	0.0513	0.0269	1.052	-4.3053	-0.7863	-0.8855	
1.117	0.0513	0.0269	1.052	-4.3053	-0.7863	-0.8855	
1.117	0.0513	0.0269	1.052	-4.3053	-0.7863	-0.8855	
1.117	0.0513	0.0269	1.052	-4.3053	-0.7863	-0.8855	
1.117	0.0513	0.0269	1.052	-4.3053	-0.7863	-0.8855	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.123	0.0344	-0.0352	1.0723	-2.0687	-0.9542	-3.2061	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.129	0.01	-0.1101	1.0203	-2.7252	-1.7634	-0.1832	
1.135	0.0322	-0.1304	1.1033	-4.5191	-1.2824	-2.4962	
1.135	0.0322	-0.1304	1.1033	-4.5191	-1.2824	-2.4962	
1.135	0.0322	-0.1304	1.1033	-4.5191	-1.2824	-2.4962	
1.135	0.0322	-0.1304	1.1033	-4.5191	-1.2824	-2.4962	
1.135	0.0322	-0.1304	1.1033	-4.5191	-1.2824	-2.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.141	0.0374	-0.0527	1.0647	-3.3435	-0.687	-1.4962	
1.147	0.0825	0.1804	1.0781	-2.313	-0.4962	-2.542	
1.147	0.0825	0.1804	1.0781	-2.313	-0.4962	-2.542	
1.147	0.0825	0.1804	1.0781	-2.313	-0.4962	-2.542	
1.147	0.0825	0.1804	1.0781	-2.313	-0.4962	-2.542	
1.147	0.0825	0.1804	1.0781	-2.313	-0.4962	-2.542	
1.154	-0.0007	-0.1799	1.0935	-5.6183	-0.5878	-1.6641	
1.154	-0.0007	-0.1799	1.0935	-5.6183	-0.5878	-1.6641	
1.154	-0.0007	-0.1799	1.0935	-5.6183	-0.5878	-1.6641	
1.154	-0.0007	-0.1799	1.0935	-5.6183	-0.5878	-1.6641	
1.154	-0.0007	-0.1799	1.0935	-5.6183	-0.5878	-1.6641	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
1.16	0.0107	0.0056	1.0818	-3.9924	-0.9924	-2.0916	
