time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0273	-0.0598	1.0654	-1.9084	-0.771	-2.3893	
0.043	0.0344	-0.0393	1.0789	-5.0534	-0.7939	-1.0916	
0.073	0.0818	0.0408	1.0801	-3.8931	-0.2519	-2.3969	
0.104	0.0508	0.1428	1.075	-2.3053	-1.4122	-1.1908	
0.129	0.0588	-0.0852	1.0498	-2.3435	-0.9084	-1.374	
0.16	0.0232	-0.0774	1.0571	-3.542	-0.8168	-1.9237	
0.191	0.0562	-0.0176	1.0781	-3.2137	-0.6412	-2.4885	
0.222	0.0496	-0.1804	1.0476	-2.6107	0.1603	-1.5649	
0.247	0.0679	-0.0112	1.0491	-5.9618	-0.855	-0.7557	
0.277	0.0588	0.0254	1.0562	-3.7023	-1.0458	-1.9618	
0.308	0.0244	-0.0457	1.0356	-3.9237	-1.3435	-2.1221	
0.339	0.001	-0.0605	1.0657	-2.9542	-0.6183	-2.3511	
0.363	0.0583	-0.0515	1.0845	-4.3893	-0.1298	-1.1221	
0.395	0.0605	0.0249	1.0759	-4.8473	-0.6718	-2.1679	
0.426	0.0371	0.0325	1.0725	-3.7481	-1.0305	-1.1679	
0.444	0.0337	-0.0815	1.0825	-3.0382	-0.3435	-1.9695	
0.444	0.0337	-0.0815	1.0825	-3.0382	-0.3435	-1.9695	
0.45	0	-1.7	0	0	0	4.62428e-44	
0.45	0	-1.7	0	0	0	4.62428e-44	
0.45	0	-1.7	0	0	0	4.62428e-44	
0.481	0.0327	-0.0332	1.0771	-3.0534	-0.145	-2.6641	
0.481	0.0327	-0.0332	1.0771	-3.0534	-0.145	-2.6641	
0.481	0.0327	-0.0332	1.0771	-3.0534	-0.145	-2.6641	
0.481	0.0327	-0.0332	1.0771	-3.0534	-0.145	-2.6641	
0.481	0.0327	-0.0332	1.0771	-3.0534	-0.145	-2.6641	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
0.487	0.0229	-0.0488	1.0867	-3.0382	-0.5725	-1.2595	
