time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0146	0.1282	1.0764	-2.542	-1.0534	-1.0992	
0.043	0.0605	-0.009	1.1123	-1.8626	-0.4733	-2.2901	
0.074	0.0349	-0.0923	1.1023	-1.4275	-0.4962	-2.6031	
0.099	0.0344	-0.0913	1.0547	-3.8092	-0.3282	-2.1221	
0.129	0.0828	0.0637	1.0759	-4.7328	-0.4885	-2.0229	
0.16	0.0454	0.0361	1.0623	-2.313	-1.084	-2.0763	
0.192	0.0288	0.0349	1.0769	-2.5038	-0.8397	-2.374	
0.216	0.0872	-0.0537	1.0818	-3.6412	-0.9389	-1.8702	
0.247	0.0535	-0.0295	1.0747	-3.2672	-0.7557	-1.3893	
0.278	0.0691	0.1089	1.0679	-2.9695	-1.4656	-1.9237	
0.308	0.0515	0.0571	1.0906	-3.5496	-1.3664	-1.4122	
0.333	0.0239	-0.1099	1.072	-3.9695	-1.2137	-1.6718	
0.364	0.0562	-0.0801	1.0452	-2.8779	-0.8702	-2.3817	
0.394	0.0457	-0.0261	1.0771	-4.3588	-1.0458	-1.8015	
0.426	0.0547	0.0491	1.0725	-3.3359	-1.4198	-1.6107	
0.445	0.0359	-0.1016	1.1067	-3.5038	-0.3969	-2.3359	
0.445	0.0359	-0.1016	1.1067	-3.5038	-0.3969	-2.3359	
0.45107	-2	0	0	0	0	6.86636e-44	
0.45107	-2	0	0	0	0	6.86636e-44	
0.45107	-2	0	0	0	0	6.86636e-44	
0.45107	-2	0	0	0	0	6.86636e-44	
0.506	0.0505	-0.0122	1.0901	-3.9313	-0.6183	-2.2672	
0.506	0.0505	-0.0122	1.0901	-3.9313	-0.6183	-2.2672	
0.506	0.0505	-0.0122	1.0901	-3.9313	-0.6183	-2.2672	
0.506	0.0505	-0.0122	1.0901	-3.9313	-0.6183	-2.2672	
0.506	0.0505	-0.0122	1.0901	-3.9313	-0.6183	-2.2672	
0.512	0.0325	-0.0874	1.0891	-4.687	-0.9771	-1.6641	
0.512	0.0325	-0.0874	1.0891	-4.687	-0.9771	-1.6641	
0.512	0.0325	-0.0874	1.0891	-4.687	-0.9771	-1.6641	
0.512	0.0325	-0.0874	1.0891	-4.687	-0.9771	-1.6641	
0.512	0.0325	-0.0874	1.0891	-4.687	-0.9771	-1.6641	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.518	0.0798	-0.0288	1.072	-2.4962	-0.6183	-2.1145	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.524	0.0032	-0.0688	1.0571	-3.3893	-0.7481	-2.3664	
0.531	0.0359	-0.0247	1.0691	-3.2443	-0.7328	-1.4122	
0.531	0.0359	-0.0247	1.0691	-3.2443	-0.7328	-1.4122	
0.531	0.0359	-0.0247	1.0691	-3.2443	-0.7328	-1.4122	
0.531	0.0359	-0.0247	1.0691	-3.2443	-0.7328	-1.4122	
0.531	0.0359	-0.0247	1.0691	-3.2443	-0.7328	-1.4122	
0.537	0.0007	-0.0476	1.0569	-3.4962	-0.5496	-2.5344	
0.537	0.0007	-0.0476	1.0569	-3.4962	-0.5496	-2.5344	
0.537	0.0007	-0.0476	1.0569	-3.4962	-0.5496	-2.5344	
0.537	0.0007	-0.0476	1.0569	-3.4962	-0.5496	-2.5344	
0.537	0.0007	-0.0476	1.0569	-3.4962	-0.5496	-2.5344	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.543	0.042	-0.0159	1.0664	-4.2672	-1.4656	-1.4733	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.549	0.0444	-0.0452	1.1018	-3.6565	-0.8702	-2.1527	
0.555	0.033	-0.0706	1.0708	-3.4885	-0.5267	-1.4733	
0.555	0.033	-0.0706	1.0708	-3.4885	-0.5267	-1.4733	
0.555	0.033	-0.0706	1.0708	-3.4885	-0.5267	-1.4733	
0.555	0.033	-0.0706	1.0708	-3.4885	-0.5267	-1.4733	
0.555	0.033	-0.0706	1.0708	-3.4885	-0.5267	-1.4733	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.561	0.0713	-0.0039	1.063	-3.2443	-0.7328	-1.5496	
0.567	-0.0095	-0.0645	1.0347	-3.3282	-1.5878	-1.0763	
