time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0537	0.0354	1.103	-3.4504	-0.9466	-1.6336	
0.043	0.053	0.0354	1.0684	-2.7176	-0.7328	-1.9618	
0.074	0.0205	-0.0845	1.0532	-2.4427	-1.1756	-1.2824	
0.098	0.0308	0.0051	1.0667	-2.0458	-1.0458	-1.916	
0.13	0.0566	-0.144	1.0225	-2.0305	-0.542	-1.1756	
0.161	0.094	-0.0415	1.1277	-3.6794	-0.4046	-2.2977	
0.191	0.0205	-0.0127	1.0557	-3.1221	-1.3435	-0.6641	
0.216	-0.0042	0.001	1.0386	-2.4809	-0.4198	-2.1145	
0.247	-0.0105	-0.0459	1.0635	-2.9771	-1.0992	-0.9771	
0.278	0.0361	-0.0378	1.0586	-3.4656	-1.0534	-2.7863	
0.308	-0.0107	-0.2004	1.0874	-4.2824	-0.687	-1.2672	
0.334	0.052	0.0593	1.0786	-5.3664	-0.9847	-1.0382	
0.365	0.0427	0.0034	1.0627	-4.0305	-0.916	-1.6718	
0.395	0.0103	-0.0071	1.0759	-3.0305	-1.2366	-2.1069	
0.426	0.0332	-0.0288	1.0684	-3.4351	-0.9618	-2.0458	
0.444	0.0239	-0.0313	1.0784	-2.1985	-0.5191	-1.855	
0.451	0.0332	0.0256	1.0833	-4.0305	-1.2672	-2.1221	
0.457	0.818	-2.6183	0	4.28856e-08	1.82169e-44	4.62428e-44	
0.457	0.818	-2.6183	0	4.28856e-08	1.82169e-44	4.62428e-44	
0.457	0.818	-2.6183	0	4.28856e-08	1.82169e-44	4.62428e-44	
0.457	0.818	-2.6183	0	4.28856e-08	1.82169e-44	4.62428e-44	
0.457	0.818	-2.6183	0	4.28856e-08	1.82169e-44	4.62428e-44	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.481	-0.0056	-0.0715	1.054	-3.6031	-1.2061	-0.7557	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.487	0.0891	0.0457	1.0669	-1.1221	-1.0534	-2.855	
0.494	-0.0078	-0.124	1.0808	-3.3511	-0.8855	-1.1679	
0.494	-0.0078	-0.124	1.0808	-3.3511	-0.8855	-1.1679	
0.494	-0.0078	-0.124	1.0808	-3.3511	-0.8855	-1.1679	
0.494	-0.0078	-0.124	1.0808	-3.3511	-0.8855	-1.1679	
0.494	-0.0078	-0.124	1.0808	-3.3511	-0.8855	-1.1679	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.5	0.0325	0.0303	1.0818	-3.9542	-0.6412	-2.4733	
0.506	0.051	-0.1111	1.0937	-2.6947	-0.3664	-1.1145	
0.506	0.051	-0.1111	1.0937	-2.6947	-0.3664	-1.1145	
0.506	0.051	-0.1111	1.0937	-2.6947	-0.3664	-1.1145	
0.506	0.051	-0.1111	1.0937	-2.6947	-0.3664	-1.1145	
0.506	0.051	-0.1111	1.0937	-2.6947	-0.3664	-1.1145	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.513	0.0137	-0.0139	1.0698	-4.0305	-1.2519	-3.1527	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.519	0.0676	0.0586	1.0984	-3.6794	-1.2137	-0.5267	
0.525	0.0117	-0.0791	1.0664	-3.5191	-1.0534	-2.5115	
0.525	0.0117	-0.0791	1.0664	-3.5191	-1.0534	-2.5115	
0.525	0.0117	-0.0791	1.0664	-3.5191	-1.0534	-2.5115	
0.525	0.0117	-0.0791	1.0664	-3.5191	-1.0534	-2.5115	
0.525	0.0117	-0.0791	1.0664	-3.5191	-1.0534	-2.5115	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.531	0.0359	-0.0686	1.0913	-3.8473	-1.2519	-1.3206	
0.538	0.0532	-0.0642	1.0884	-2.7099	-0.4504	-2.1679	
0.538	0.0532	-0.0642	1.0884	-2.7099	-0.4504	-2.1679	
0.538	0.0532	-0.0642	1.0884	-2.7099	-0.4504	-2.1679	
