time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.0361	-0.0088	1.0796	-2.7328	-0.6412	-1.7252	
0.043	0.0222	-0.0686	1.0532	-3.5649	-1.1298	-2.4275	
0.073	0.0308	-0.0515	1.0767	-3.9084	-1.3893	-1.1374	
0.098	0.054	-0.0469	1.0818	-4.0382	-0.8779	-2.0687	
0.13	0.0361	-0.0186	1.0723	-4.4885	-1.145	-1.3664	
0.161	0.0618	-0.0332	1.1084	-3.6718	-1.2214	-1.3206	
0.191	0.062	-0.0505	1.0715	-3.8702	-0.9313	-2.3664	
0.216	0.022	-0.0342	1.0676	-4.2672	-1.4046	-1.7786	
0.247	0.0261	0.0007	1.0483	-3.0763	-1.0611	-1.9618	
0.277	0.0076	-0.0322	1.0549	-2.8931	-1.8626	-1.542	
0.302	0.0173	-0.0198	1.0603	-3.5267	-0.9389	-1.9466	
0.334	0.0122	0.0254	1.0857	-3.855	-0.9542	-1.626	
0.364	0.0442	-0.0222	1.0652	-2.3359	-0.855	-1.4656	
0.395	0.0454	-0.0273	1.0876	-2.374	-1.0458	-2.2519	
0.426	0.0186	-0.0439	1.085	-2.9237	-0.5802	-1.8702	
0.444	0.033	-0.0212	1.0708	-3.7405	-0.0992	-1.7328	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.469	0.0378	-0.083	1.0981	-2.4809	-1.0458	-1.1908	
0.475	0.0291	0.1206	1.0767	-2.9695	-0.9008	-1.8931	
0.475	0.0291	0.1206	1.0767	-2.9695	-0.9008	-1.8931	
0.475	0.0291	0.1206	1.0767	-2.9695	-0.9008	-1.8931	
0.475	0.0291	0.1206	1.0767	-2.9695	-0.9008	-1.8931	
0.475	0.0291	0.1206	1.0767	-2.9695	-0.9008	-1.8931	
0.481	0.0652	-0.002	1.0923	-3.6031	-0.5115	-1.2519	
0.481	0.0652	-0.002	1.0923	-3.6031	-0.5115	-1.2519	
0.481	0.0652	-0.002	1.0923	-3.6031	-0.5115	-1.2519	
0.481	0.0652	-0.002	1.0923	-3.6031	-0.5115	-1.2519	
0.481	0.0652	-0.002	1.0923	-3.6031	-0.5115	-1.2519	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.487	0.0239	-0.0464	1.0654	-3.5954	-0.4046	-2.8473	
0.493	0.0388	-0.0947	1.0935	-3.9237	-0.7099	-1.7252	
0.493	0.0388	-0.0947	1.0935	-3.9237	-0.7099	-1.7252	
0.493	0.0388	-0.0947	1.0935	-3.9237	-0.7099	-1.7252	
