time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.012	0.01	-0.0146	1.0605	-0.8931	-1.3435	-1.3359	
0.043	0.114	0.0881	1.0566	-0.855	-1.229	-1.2672	
0.073	0.075	-0.1533	1.114	-6.3053	0.0382	-1.5725	
0.098	0.0862	0.0396	1.0347	-2.0458	-1.5878	-0.1145	
0.129	0.1042	0.0435	1.0874	-3.9466	-0.6794	-2.8092	
0.16	0.0239	0.041	1.0803	-3.4122	-0.7023	-2.7481	
0.191	-0.0088	-0.0115	1.0657	-2.9542	-0.8702	-2.1069	
0.216	0.0046	-0.1072	1.0928	-2.1603	-0.7557	-1.8015	
0.246	0.0593	0.0547	1.0916	-2.7939	-0.5344	-2.7328	
0.277	-0.0479	-0.0308	1.083	-4.5496	-0.8397	-1.8626	
0.308	-0.0061	-0.1277	1.0735	-6.3588	-0.7328	-1.0458	
0.333	0.0417	0.1738	1.0415	-1.7634	-1.8168	-0.626	
0.364	0.01	-0.0076	1.043	-2.3206	-1.7328	-1.6565	
0.395	0.0237	-0.1516	1.0776	-2.8626	-1.0687	-2.3893	
0.426	-0.033	-0.1562	1.0835	-4.374	-1.1145	-1.4885	
0.444	0.0767	0.1196	1.0764	-2.5038	-1.5954	-3.1756	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.469	0.0762	-0.1145	1.0869	-3.542	0.0763	-0.9847	
0.475	-0.0244	-0.103	1.0898	-4.3588	-0.4733	-2.8473	
0.475	-0.0244	-0.103	1.0898	-4.3588	-0.4733	-2.8473	
0.475	-0.0244	-0.103	1.0898	-4.3588	-0.4733	-2.8473	
0.475	-0.0244	-0.103	1.0898	-4.3588	-0.4733	-2.8473	
0.475	-0.0244	-0.103	1.0898	-4.3588	-0.4733	-2.8473	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.481	0.0896	0.062	1.0886	-2.3817	-1.7252	-1.2061	
0.487	0.0476	0.0188	1.0652	-3.4122	-0.9771	-3.5115	
0.487	0.0476	0.0188	1.0652	-3.4122	-0.9771	-3.5115	
0.487	0.0476	0.0188	1.0652	-3.4122	-0.9771	-3.5115	
0.487	0.0476	0.0188	1.0652	-3.4122	-0.9771	-3.5115	
0.487	0.0476	0.0188	1.0652	-3.4122	-0.9771	-3.5115	
0.493	0.0432	-0.0583	0.9958	-2.7786	-1.4275	-0.0992	
0.493	0.0432	-0.0583	0.9958	-2.7786	-1.4275	-0.0992	
0.493	0.0432	-0.0583	0.9958	-2.7786	-1.4275	-0.0992	
0.493	0.0432	-0.0583	0.9958	-2.7786	-1.4275	-0.0992	
0.493	0.0432	-0.0583	0.9958	-2.7786	-1.4275	-0.0992	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.499	0.116	0.0066	1.116	-2.7863	0.0992	-3.9008	
0.506	-0.0671	-0.0952	1.0049	-1.0382	-1.6412	0.4504	
0.506	-0.0671	-0.0952	1.0049	-1.0382	-1.6412	0.4504	
0.506	-0.0671	-0.0952	1.0049	-1.0382	-1.6412	0.4504	
0.506	-0.0671	-0.0952	1.0049	-1.0382	-1.6412	0.4504	
0.506	-0.0671	-0.0952	1.0049	-1.0382	-1.6412	0.4504	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.512	0.1357	0.0459	1.1619	-2.6718	-0.2672	-3.0992	
0.518	-0.0789	-0.042	1.0378	-4.7863	-1.9084	-0.4427	
0.518	-0.0789	-0.042	1.0378	-4.7863	-1.9084	-0.4427	
0.518	-0.0789	-0.042	1.0378	-4.7863	-1.9084	-0.4427	
0.518	-0.0789	-0.042	1.0378	-4.7863	-1.9084	-0.4427	
0.518	-0.0789	-0.042	1.0378	-4.7863	-1.9084	-0.4427	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.524	0.155	0.146	1.0942	-3.0916	-0.2748	-2.7176	
0.53	-0.0737	-0.2134	1.075	-4.8931	-0.0992	-1.9542	
0.53	-0.0737	-0.2134	1.075	-4.8931	-0.0992	-1.9542	
0.53	-0.0737	-0.2134	1.075	-4.8931	-0.0992	-1.9542	
0.53	-0.0737	-0.2134	1.075	-4.8931	-0.0992	-1.9542	
0.53	-0.0737	-0.2134	1.075	-4.8931	-0.0992	-1.9542	
0.537	0.082	0.0405	1.0669	-4.8321	-1.0305	-1.4198	
0.537	0.082	0.0405	1.0669	-4.8321	-1.0305	-1.4198	
0.537	0.082	0.0405	1.0669	-4.8321	-1.0305	-1.4198	
0.537	0.082	0.0405	1.0669	-4.8321	-1.0305	-1.4198	
0.537	0.082	0.0405	1.0669	-4.8321	-1.0305	-1.4198	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.543	0.0376	-0.1509	1.031	-0.5573	-0.3969	-2.8626	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.55	-0.0034	0.0098	1.0791	-3.7099	-1.8244	-1.313	
0.556	0.0452	-0.1001	1.0796	-1.4275	-0.8473	-1.6489	
0.556	0.0452	-0.1001	1.0796	-1.4275	-0.8473	-1.6489	
0.556	0.0452	-0.1001	1.0796	-1.4275	-0.8473	-1.6489	
0.556	0.0452	-0.1001	1.0796	-1.4275	-0.8473	-1.6489	
0.556	0.0452	-0.1001	1.0796	-1.4275	-0.8473	-1.6489	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.562	0.0649	0.0554	1.0593	-3.229	-0.6718	-2.4427	
0.568	0.0061	0.0884	1.0623	-3.0305	-1.4885	-0.8473	
0.568	0.0061	0.0884	1.0623	-3.0305	-1.4885	-0.8473	
0.568	0.0061	0.0884	1.0623	-3.0305	-1.4885	-0.8473	
0.568	0.0061	0.0884	1.0623	-3.0305	-1.4885	-0.8473	
0.568	0.0061	0.0884	1.0623	-3.0305	-1.4885	-0.8473	
0.574	0.0825	-0.1074	1.1147	-5.3893	0.1908	-1.626	
0.574	0.0825	-0.1074	1.1147	-5.3893	0.1908	-1.626	
0.574	0.0825	-0.1074	1.1147	-5.3893	0.1908	-1.626	
0.574	0.0825	-0.1074	1.1147	-5.3893	0.1908	-1.626	
0.574	0.0825	-0.1074	1.1147	-5.3893	0.1908	-1.626	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.58	-0.0386	-0.1685	1.0347	-4.8244	-1.9695	-1.4733	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.586	0.1284	0.051	1.0996	-2.145	-0.2977	-2.1298	
0.593	-0.0352	-0.1353	1.0488	-0.8168	-0.9237	-2.4427	
0.593	-0.0352	-0.1353	1.0488	-0.8168	-0.9237	-2.4427	
0.593	-0.0352	-0.1353	1.0488	-0.8168	-0.9237	-2.4427	
0.593	-0.0352	-0.1353	1.0488	-0.8168	-0.9237	-2.4427	
0.593	-0.0352	-0.1353	1.0488	-0.8168	-0.9237	-2.4427	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.599	0.1147	0.209	1.0791	-3.5802	-2.0611	-1.5802	
0.605	-0.0076	-0.0815	1.0757	-3.1069	-0.1985	-2.5954	
0.605	-0.0076	-0.0815	1.0757	-3.1069	-0.1985	-2.5954	
0.605	-0.0076	-0.0815	1.0757	-3.1069	-0.1985	-2.5954	
0.605	-0.0076	-0.0815	1.0757	-3.1069	-0.1985	-2.5954	
0.605	-0.0076	-0.0815	1.0757	-3.1069	-0.1985	-2.5954	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.611	0.0518	-0.0747	1.094	-5.687	-1.2137	-0.7786	
0.617	0.0325	-0.0938	1.0886	-3.6718	-0.4504	-3.145	
0.617	0.0325	-0.0938	1.0886	-3.6718	-0.4504	-3.145	
0.617	0.0325	-0.0938	1.0886	-3.6718	-0.4504	-3.145	
0.617	0.0325	-0.0938	1.0886	-3.6718	-0.4504	-3.145	
0.617	0.0325	-0.0938	1.0886	-3.6718	-0.4504	-3.145	
0.623	0.0581	-0.0159	1.0952	-1.9389	-0.8015	-0.6489	
0.623	0.0581	-0.0159	1.0952	-1.9389	-0.8015	-0.6489	
0.623	0.0581	-0.0159	1.0952	-1.9389	-0.8015	-0.6489	
0.623	0.0581	-0.0159	1.0952	-1.9389	-0.8015	-0.6489	
0.623	0.0581	-0.0159	1.0952	-1.9389	-0.8015	-0.6489	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.629	0.0054	-0.0688	1.0874	-4.0763	-1.1756	-3.0076	
0.636	0.0549	0.0544	1.0378	-2.9313	-1.4656	-0.2366	
0.636	0.0549	0.0544	1.0378	-2.9313	-1.4656	-0.2366	
0.636	0.0549	0.0544	1.0378	-2.9313	-1.4656	-0.2366	
0.636	0.0549	0.0544	1.0378	-2.9313	-1.4656	-0.2366	
0.636	0.0549	0.0544	1.0378	-2.9313	-1.4656	-0.2366	
0.642	0.0659	-0.019	1.0903	-3.9389	-0.3359	-2.4122	
