time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.015	0.0164	0.0945	1.0254	0.9813	-0.0155	0.0174	
0.056	-0.0371	-0.1406	0.9929	0.9811	-0.0174	0.0176	
0.097	-0.0029	-0.1416	1.0173	0.9813	-0.0191	0.0184	
0.137	-0.0215	0.042	1.0125	0.9813	-0.0134	0.0179	
0.178	-0.0381	-0.1008	0.9756	0.9812	-0.0158	0.019	
0.219	-0.0125	-0.0654	1.0032	0.981	-0.0166	0.0196	
0.259	-0.0081	-0.0234	1.0288	0.981	-0.0184	0.0169	
0.292	-0.0139	-0.1033	1.0181	0.9812	-0.0195	0.0173	
0.333	0.0105	-0.0298	1.0015	0.9812	-0.0205	0.0165	
0.373	0.0063	-0.0671	1.0417	0.9811	-0.0227	0.0159	
0.414	-0.0076	0.1362	1.0293	0.9812	-0.0166	0.0165	
0.455	-0.0076	0.0625	0.9768	0.9812	-0.0179	0.0166	
0.495	0.0208	-0.05	1.0081	0.9812	-0.0147	0.0178	
0.536	-0.0305	0.0532	0.9919	0.9813	-0.0126	0.0181	
0.568	-0.0129	-0.0149	1.0144	0.9812	-0.0096	0.0193	
0.601	-0.0244	-0.0732	1.0105	0.9813	-0.0103	0.0191	
0.601	-0.0244	-0.0732	1.0105	0.9813	-0.0103	0.0191	
0.601	-0.0244	-0.0732	1.0105	0.9813	-0.0103	0.0191	
0.096	0.017	0	0	0	0	6.86636e-44	
0.096	0.017	0	0	0	0	6.86636e-44	
0.096	0.017	0	0	0	0	6.86636e-44	
0.096	0.017	0	0	0	0	6.86636e-44	
0.096	0.017	0	0	0	0	6.86636e-44	
0.096	0.017	0	0	0	0	6.86636e-44	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.658	-0.0315	-0.085	1.0056	0.9812	-0.0115	0.0173	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.666	-0.0024	0.1025	0.9763	0.9813	-0.0095	0.017	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.674	-0.0076	-0.0754	0.9873	0.9812	-0.0115	0.0168	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.682	-0.0176	-0.0435	1.0042	0.9811	-0.0134	0.0169	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.69	-0.0447	-0.1079	0.9614	0.981	-0.0152	0.0175	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.699	0.0229	0.0859	0.948	0.9808	-0.0133	0.0167	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.707	-0.0127	0.0093	0.9934	0.9809	-0.0114	0.0163	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.715	-0.0139	-0.0552	1.0046	0.9809	-0.0136	0.0161	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.723	-0.0435	-0.0137	0.9941	0.981	-0.0135	0.0181	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.731	-0.051	-0.0945	1.0193	0.9809	-0.0151	0.0189	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.739	0.0061	-0.0105	0.9941	0.9809	-0.0149	0.0169	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.748	0.0132	-0.0161	0.9595	0.9809	-0.015	0.0148	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.755	-0.0085	-0.009	1.0115	0.9808	-0.0137	0.0135	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.763	-0.033	-0.0161	1.0137	0.9807	-0.014	0.0155	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.771	-0.0146	-0.0564	1.011	0.9807	-0.0161	0.0153	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.779	-0.0286	0.0459	0.9888	0.9808	-0.0142	0.0157	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.788	0.0012	-0.0537	1.0142	0.9808	-0.0161	0.0149	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.796	-0.0212	-0.0156	1.0349	0.9809	-0.0158	0.0169	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.804	-0.0591	-0.1201	1.002	0.9808	-0.0178	0.0176	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.812	-0.0002	-0.0029	1.0276	0.9808	-0.0166	0.0161	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.82	-0.0012	-0.0085	0.9883	0.9808	-0.0154	0.0144	
0.829	-0.0237	0.0552	1.0081	0.9808	-0.0135	0.0146	
0.829	-0.0237	0.0552	1.0081	0.9808	-0.0135	0.0146	
0.829	-0.0237	0.0552	1.0081	0.9808	-0.0135	0.0146	
0.829	-0.0237	0.0552	1.0081	0.9808	-0.0135	0.0146	
