time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0232	0.0259	1.0701	162.49	-3.497	-1.8429	
0.08	0.0129	-0.0417	1.0386	162.247	-3.4471	-1.922	
0.12	0.0459	0.0149	1.0188	162.058	-3.4002	-1.8674	
0.17	0.0242	0.0396	1.1147	161.791	-3.2653	-1.7323	
0.22	0.0388	-0.0911	1.1213	161.561	-3.1824	-1.8599	
0.26	0.0579	-0.0115	1.0706	161.378	-3.455	-1.804	
0.31	0.0215	-0.0493	1.0618	161.164	-3.4891	-1.9392	
0.36	0.0298	0.0151	1.0669	160.903	-3.4415	-1.8238	
0.4	0.0496	-0.0037	1.1011	160.717	-3.2312	-1.8036	
0.45	0.0325	0.0349	1.062	160.493	-3.376	-1.6612	
0.47	0.0391	-0.0811	1.0811	160.378	-3.3171	-1.8154	
0.47	0.0391	-0.0811	1.0811	160.378	-3.3171	-1.8154	
0.48	0.0051	-0.0881	1.0647	160.347	-3.567	-1.7414	
0.48	0.0051	-0.0881	1.0647	160.347	-3.567	-1.7414	
0.48	0.0051	-0.0881	1.0647	160.347	-3.567	-1.7414	
0.49	0.0574	-0.073	1.1294	160.315	-3.5831	-1.8493	
0.49	0.0574	-0.073	1.1294	160.315	-3.5831	-1.8493	
0.49	0.0574	-0.073	1.1294	160.315	-3.5831	-1.8493	
0.5	0.0381	0.0159	1.0859	160.288	-3.6485	-1.8652	
0.5	0.0381	0.0159	1.0859	160.288	-3.6485	-1.8652	
0.51	0.0432	-0.0862	1.1167	160.223	-3.6601	-1.8914	
0.51	0.0432	-0.0862	1.1167	160.223	-3.6601	-1.8914	
0.51	0.0432	-0.0862	1.1167	160.223	-3.6601	-1.8914	
0.52	0.0408	0.0156	1.0928	160.184	-3.6029	-1.8893	
0.52	0.0408	0.0156	1.0928	160.184	-3.6029	-1.8893	
0.53	0.0403	-0.0859	1.0747	160.137	-3.659	-1.8663	
0.53	0.0403	-0.0859	1.0747	160.137	-3.659	-1.8663	
0.53	0.0403	-0.0859	1.0747	160.137	-3.659	-1.8663	
0.54	0.0537	0.0542	1.1306	160.1	-3.7132	-1.9653	
0.54	0.0537	0.0542	1.1306	160.1	-3.7132	-1.9653	
0.55	0.0327	-0.0229	1.0847	160.022	-3.5009	-1.9274	
0.55	0.0327	-0.0229	1.0847	160.022	-3.5009	-1.9274	
0.55	0.0327	-0.0229	1.0847	160.022	-3.5009	-1.9274	
0.56	0.0354	-0.0303	1.0527	159.981	-3.645	-1.7788	
0.56	0.0354	-0.0303	1.0527	159.981	-3.645	-1.7788	
0.57	0.0193	0.0364	1.0764	159.937	-3.4541	-1.8076	
0.57	0.0193	0.0364	1.0764	159.937	-3.4541	-1.8076	
0.57	0.0193	0.0364	1.0764	159.937	-3.4541	-1.8076	
0.58	0.0291	-0.0862	1.0933	159.872	-3.4735	-1.8303	
0.58	0.0291	-0.0862	1.0933	159.872	-3.4735	-1.8303	
0.59	0.0327	-0.0769	1.0693	159.842	-3.7431	-1.8219	
0.59	0.0327	-0.0769	1.0693	159.842	-3.7431	-1.8219	
0.59	0.0327	-0.0769	1.0693	159.842	-3.7431	-1.8219	
0.6	0.0193	-0.0486	1.1362	159.801	-3.5726	-1.8301	
0.6	0.0193	-0.0486	1.1362	159.801	-3.5726	-1.8301	
0.6	0.0193	-0.0486	1.1362	159.801	-3.5726	-1.8301	
0.61	0.0286	-0.0405	1.0828	159.775	-3.6865	-1.7724	
0.61	0.0286	-0.0405	1.0828	159.775	-3.6865	-1.7724	
0.62	0.0437	0.0522	1.0703	159.705	-3.4334	-1.755	
0.62	0.0437	0.0522	1.0703	159.705	-3.4334	-1.755	
0.62	0.0437	0.0522	1.0703	159.705	-3.4334	-1.755	
0.63	0.0244	-0.0508	1.0574	159.669	-3.5184	-1.7543	
0.63	0.0244	-0.0508	1.0574	159.669	-3.5184	-1.7543	
0.64	0.0049	-0.0798	1.0452	159.64	-3.6046	-1.7508	
0.64	0.0049	-0.0798	1.0452	159.64	-3.6046	-1.7508	
0.64	0.0049	-0.0798	1.0452	159.64	-3.6046	-1.7508	
0.65	0.0137	0.0313	1.073	159.608	-3.8163	-1.7255	
0.65	0.0137	0.0313	1.073	159.608	-3.8163	-1.7255	
0.66	0.04	-0.0117	1.0986	159.532	-3.5794	-1.7595	
0.66	0.04	-0.0117	1.0986	159.532	-3.5794	-1.7595	
0.66	0.04	-0.0117	1.0986	159.532	-3.5794	-1.7595	
0.67	0.0405	-0.0991	1.033	159.5	-3.7904	-1.7063	
0.67	0.0405	-0.0991	1.033	159.5	-3.7904	-1.7063	
0.68	0.0396	0.0835	1.0876	159.462	-3.8632	-1.6741	
0.68	0.0396	0.0835	1.0876	159.462	-3.8632	-1.6741	
0.68	0.0396	0.0835	1.0876	159.462	-3.8632	-1.6741	
0.69	0.0342	-0.1218	1.1213	159.417	-3.712	-1.6889	
0.69	0.0342	-0.1218	1.1213	159.417	-3.712	-1.6889	
0.7	0.04	-0.0364	1.0667	159.356	-3.7909	-1.6533	
0.7	0.04	-0.0364	1.0667	159.356	-3.7909	-1.6533	
0.7	0.04	-0.0364	1.0667	159.356	-3.7909	-1.6533	
0.71	0.0476	0.0203	1.0706	159.31	-3.627	-1.7061	
0.71	0.0476	0.0203	1.0706	159.31	-3.627	-1.7061	
0.72	0.0281	-0.0664	1.0872	159.262	-3.5637	-1.5737	
0.72	0.0281	-0.0664	1.0872	159.262	-3.5637	-1.5737	
0.72	0.0281	-0.0664	1.0872	159.262	-3.5637	-1.5737	
0.73	0.0483	-0.0767	1.0696	159.213	-3.4592	-1.5111	
0.73	0.0483	-0.0767	1.0696	159.213	-3.4592	-1.5111	
0.74	0.0437	-0.0303	1.0879	159.136	-3.4012	-1.7227	
0.74	0.0437	-0.0303	1.0879	159.136	-3.4012	-1.7227	
0.74	0.0437	-0.0303	1.0879	159.136	-3.4012	-1.7227	
0.75	0.0217	-0.0159	1.0891	159.103	-3.6568	-1.6611	
0.75	0.0217	-0.0159	1.0891	159.103	-3.6568	-1.6611	
0.75	0.0217	-0.0159	1.0891	159.103	-3.6568	-1.6611	
0.76	0.0403	0.0217	1.0991	159.052	-3.495	-1.6625	
0.76	0.0403	0.0217	1.0991	159.052	-3.495	-1.6625	
0.77	0.0286	-0.1589	1.0999	158.993	-3.7191	-1.6722	
0.77	0.0286	-0.1589	1.0999	158.993	-3.7191	-1.6722	
0.77	0.0286	-0.1589	1.0999	158.993	-3.7191	-1.6722	
0.78	0.0286	0.0544	1.0632	158.957	-3.7786	-1.6794	
0.78	0.0286	0.0544	1.0632	158.957	-3.7786	-1.6794	
0.79	0.0308	-0.0967	1.073	158.907	-3.6126	-1.7298	
0.79	0.0308	-0.0967	1.073	158.907	-3.6126	-1.7298	
0.79	0.0308	-0.0967	1.073	158.907	-3.6126	-1.7298	
0.8	0.0205	0.0151	1.0417	158.872	-3.9174	-1.7199	
0.8	0.0205	0.0151	1.0417	158.872	-3.9174	-1.7199	
0.81	0.02	0.0205	1.0745	158.809	-3.6676	-1.7257	
0.81	0.02	0.0205	1.0745	158.809	-3.6676	-1.7257	
0.81	0.02	0.0205	1.0745	158.809	-3.6676	-1.7257	
0.82	0.02	-0.0557	1.1008	158.759	-3.5534	-1.6918	
0.82	0.02	-0.0557	1.1008	158.759	-3.5534	-1.6918	
0.83	0.0239	-0.0815	1.0557	158.732	-3.6581	-1.6728	
0.83	0.0239	-0.0815	1.0557	158.732	-3.6581	-1.6728	
0.83	0.0239	-0.0815	1.0557	158.732	-3.6581	-1.6728	
0.84	0.0276	-0.0293	1.0789	158.694	-3.7207	-1.6772	
0.84	0.0276	-0.0293	1.0789	158.694	-3.7207	-1.6772	
0.85	0.0608	-0.1191	1.1079	158.623	-3.6932	-1.7616	
0.85	0.0608	-0.1191	1.1079	158.623	-3.6932	-1.7616	
0.85	0.0608	-0.1191	1.1079	158.623	-3.6932	-1.7616	
0.86	0.0359	0.0352	1.0671	158.582	-3.7045	-1.6868	
0.86	0.0359	0.0352	1.0671	158.582	-3.7045	-1.6868	
0.87	0.0486	-0.073	1.0452	158.523	-3.7455	-1.6406	
0.87	0.0486	-0.073	1.0452	158.523	-3.7455	-1.6406	
0.87	0.0486	-0.073	1.0452	158.523	-3.7455	-1.6406	
0.88	0.0054	-0.1184	1.0605	158.475	-3.9003	-1.7037	
0.88	0.0054	-0.1184	1.0605	158.475	-3.9003	-1.7037	
0.89	-0.0083	-0.0134	1.1016	158.42	-3.8673	-1.6092	
0.89	-0.0083	-0.0134	1.1016	158.42	-3.8673	-1.6092	
0.89	-0.0083	-0.0134	1.1016	158.42	-3.8673	-1.6092	
0.9	0.0083	-0.1362	1.0867	158.376	-3.9496	-1.6108	
0.9	0.0083	-0.1362	1.0867	158.376	-3.9496	-1.6108	
0.91	0.0425	0.0088	1.1077	158.324	-3.9894	-1.6282	
0.91	0.0425	0.0088	1.1077	158.324	-3.9894	-1.6282	
0.91	0.0425	0.0088	1.1077	158.324	-3.9894	-1.6282	
0.92	0.0454	-0.0742	1.0842	158.278	-3.833	-1.6811	
0.92	0.0454	-0.0742	1.0842	158.278	-3.833	-1.6811	
