time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0723	0.0117	1.0857	91.2735	-2.8575	-1.8395	
0.08	0.0129	-0.0901	1.0601	91.0575	-3.2721	-1.8818	
0.13	0.0281	-0.0637	1.0784	90.8618	-3.4998	-1.8876	
0.17	0.0652	0.0017	1.0649	90.6193	-3.1454	-1.7891	
0.22	0.0437	-0.0322	1.0493	90.326	-2.8252	-1.95	
0.27	0.03	-0.0652	1.0874	90.0661	-2.6992	-2.0561	
0.32	0.0266	0.0381	1.071	89.8475	-3.0359	-1.8927	
0.36	0.0623	-0.0964	1.0967	89.6744	-3.2475	-1.8379	
0.41	0.0117	-0.0879	1.0967	89.4605	-3.3904	-1.8303	
0.46	0.0457	-0.1042	1.093	89.2614	-3.7373	-1.7818	
0.51	0.0569	-0.001	1.1165	89.0507	-3.7456	-1.7989	
0.53	0.072	0.0139	1.0825	88.9677	-3.8343	-1.9165	
0.54	-0.0012	-0.0896	1.074	88.9162	-3.685	-2.0032	
0.54	-0.0012	-0.0896	1.074	88.9162	-3.685	-2.0032	
0.55	0.0068	-0.0771	1.0754	88.8635	-3.6958	-1.8968	
0.55	0.0068	-0.0771	1.0754	88.8635	-3.6958	-1.8968	
0.55	0.0068	-0.0771	1.0754	88.8635	-3.6958	-1.8968	
0.56	0.0481	0.0024	1.0906	88.8147	-3.6943	-1.8727	
0.56	0.0481	0.0024	1.0906	88.8147	-3.6943	-1.8727	
0.56	0.0481	0.0024	1.0906	88.8147	-3.6943	-1.8727	
0.57	-0.0017	-0.0325	1.0859	88.747	-3.5116	-1.7909	
0.57	-0.0017	-0.0325	1.0859	88.747	-3.5116	-1.7909	
0.58	0.0459	-0.0659	1.0686	88.7062	-3.5643	-1.7608	
0.58	0.0459	-0.0659	1.0686	88.7062	-3.5643	-1.7608	
0.59	0.0322	0.0029	1.0789	88.6578	-3.5334	-1.8129	
0.59	0.0322	0.0029	1.0789	88.6578	-3.5334	-1.8129	
0.59	0.0322	0.0029	1.0789	88.6578	-3.5334	-1.8129	
0.6	0.0217	-0.0007	1.1104	88.6194	-3.6077	-1.8829	
0.6	0.0217	-0.0007	1.1104	88.6194	-3.6077	-1.8829	
0.6	0.0217	-0.0007	1.1104	88.6194	-3.6077	-1.8829	
0.61	0.0291	-0.1013	1.0854	88.5569	-3.593	-1.8498	
0.61	0.0291	-0.1013	1.0854	88.5569	-3.593	-1.8498	
0.62	0.0459	-0.0239	1.0464	88.5124	-3.4483	-1.8388	
0.62	0.0459	-0.0239	1.0464	88.5124	-3.4483	-1.8388	
0.63	0.0586	-0.0847	1.074	88.475	-3.4625	-1.9967	
0.63	0.0586	-0.0847	1.074	88.475	-3.4625	-1.9967	
0.63	0.0586	-0.0847	1.074	88.475	-3.4625	-1.9967	
0.64	0.0205	-0.0078	1.0735	88.4144	-3.4531	-1.9946	
0.64	0.0205	-0.0078	1.0735	88.4144	-3.4531	-1.9946	
0.64	0.0205	-0.0078	1.0735	88.4144	-3.4531	-1.9946	
0.65	0.0454	-0.0635	1.0957	88.3674	-3.4741	-2.21	
0.65	0.0454	-0.0635	1.0957	88.3674	-3.4741	-2.21	
0.66	0.0029	-0.0681	1.0701	88.3192	-3.3553	-2.1244	
0.66	0.0029	-0.0681	1.0701	88.3192	-3.3553	-2.1244	
0.66	0.0029	-0.0681	1.0701	88.3192	-3.3553	-2.1244	
0.67	0.0271	-0.0862	1.061	88.2722	-3.3349	-2.0676	
0.67	0.0271	-0.0862	1.061	88.2722	-3.3349	-2.0676	
0.68	0.0234	-0.0393	1.0945	88.1997	-3.322	-1.9865	
0.68	0.0234	-0.0393	1.0945	88.1997	-3.322	-1.9865	
0.68	0.0234	-0.0393	1.0945	88.1997	-3.322	-1.9865	
0.69	0.0398	-0.0764	1.0833	88.1697	-3.5539	-1.938	
0.69	0.0398	-0.0764	1.0833	88.1697	-3.5539	-1.938	
0.7	-0.0183	-0.0317	1.0608	88.1223	-3.6047	-1.9441	
0.7	-0.0183	-0.0317	1.0608	88.1223	-3.6047	-1.9441	
0.7	-0.0183	-0.0317	1.0608	88.1223	-3.6047	-1.9441	
0.71	0.0344	-0.1667	1.0522	88.066	-3.51	-1.9124	
0.71	0.0344	-0.1667	1.0522	88.066	-3.51	-1.9124	
0.72	0.0144	-0.0569	1.1057	87.9936	-3.5415	-1.8488	
0.72	0.0144	-0.0569	1.1057	87.9936	-3.5415	-1.8488	
0.72	0.0144	-0.0569	1.1057	87.9936	-3.5415	-1.8488	
0.73	0.0549	-0.0142	1.0693	87.949	-3.5192	-1.8032	
0.73	0.0549	-0.0142	1.0693	87.949	-3.5192	-1.8032	
0.74	0.0583	-0.0608	1.0559	87.9074	-3.604	-1.794	
0.74	0.0583	-0.0608	1.0559	87.9074	-3.604	-1.794	
0.74	0.0583	-0.0608	1.0559	87.9074	-3.604	-1.794	
