time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.011531	6.2177	2.32023	-0.0170944	-2.28447	-6.18898	0.00891787	9.96839	2.29832	-0.020056	-2.26221	-9.93967	
0.05	0.0115367	6.20951	2.32027	-0.0170882	-2.28451	-6.1808	0.00892351	9.96037	2.29838	-0.020047	-2.26227	-9.93165	
0.075	0.0115462	6.19567	2.32033	-0.0170779	-2.28458	-6.16695	0.00893305	9.9468	2.29848	-0.0200317	-2.26237	-9.91809	
0.1	0.0115599	6.17585	2.32043	-0.0170631	-2.28467	-6.14713	0.00894671	9.92738	2.29861	-0.0200097	-2.26251	-9.89866	
0.125	0.0115781	6.14959	2.32055	-0.0170436	-2.28479	-6.12088	0.0089648	9.90165	2.2988	-0.0199808	-2.26269	-9.87293	
0.15	0.0116011	6.11631	2.3207	-0.0170191	-2.28495	-6.08759	0.00898774	9.86903	2.29903	-0.0199442	-2.26293	-9.84031	
0.175	0.0116294	6.07523	2.32089	-0.0169889	-2.28514	-6.04652	0.00901603	9.82877	2.29932	-0.0198993	-2.26322	-9.80006	
0.2	0.0116638	6.02543	2.32111	-0.0169526	-2.28537	-5.99672	0.00905034	9.77995	2.29966	-0.019845	-2.26357	-9.75124	
0.225	0.011705	5.96576	2.32138	-0.0169094	-2.28564	-5.93705	0.00909143	9.72146	2.30008	-0.0197804	-2.26399	-9.69274	
0.25	0.011754	5.89486	2.3217	-0.0168587	-2.28596	-5.86615	0.00914024	9.65194	2.30056	-0.0197042	-2.26449	-9.62322	
0.275	0.0118118	5.81111	2.32207	-0.0167996	-2.28633	-5.7824	0.0091979	9.56981	2.30113	-0.0196149	-2.26507	-9.54109	
0.3	0.0118797	5.71259	2.32249	-0.016731	-2.28677	-5.68388	0.0092657	9.47317	2.3018	-0.0195108	-2.26574	-9.44445	
0.325	0.0119594	5.59705	2.32299	-0.0166521	-2.28727	-5.56833	0.00934519	9.3598	2.30257	-0.0193902	-2.26653	-9.33108	
0.35	0.0120527	5.46182	2.32355	-0.0165617	-2.28784	-5.43311	0.00943818	9.22708	2.30347	-0.019251	-2.26744	-9.19836	
0.375	0.0121615	5.30382	2.32419	-0.0164588	-2.28849	-5.27511	0.0095468	9.07195	2.3045	-0.0190911	-2.26848	-9.04324	
0.4	0.0122886	5.11941	2.32492	-0.0163423	-2.28924	-5.0907	0.0096735	8.89082	2.30568	-0.018908	-2.26969	-8.8621	
