time	BODY_ddx	BODY_ddy	BODY_ddz	BODY_yaw	BODY_roll	BODY_pitch	
0.03	0.0508	-0.0427	1.0942	58.3999	-3.5417	-1.7642	
0.08	0.0093	-0.0603	1.0889	58.1876	-3.4274	-1.79	
0.13	0.0273	-0.0928	1.0547	57.9629	-3.5	-1.931	
0.18	0.0195	0.002	1.0735	57.7217	-3.448	-1.8572	
0.22	0.0596	-0.0544	1.104	57.4696	-3.2737	-1.7839	
0.27	0.0237	-0.0298	1.0698	57.266	-3.2644	-1.9182	
0.32	0.0413	0.0347	1.0591	57.0268	-3.1372	-1.9742	
0.37	0.0437	-0.0203	1.0874	56.8014	-3.1302	-1.8567	
0.41	0.0425	-0.0322	1.0923	56.605	-2.8621	-1.8173	
0.46	0.061	-0.009	1.0879	56.3553	-2.8631	-1.8498	
0.51	0.0378	-0.0505	1.0845	56.1496	-3.0573	-1.8734	
0.55	0.0422	0.0452	1.095	55.9646	-2.9414	-2.0069	
0.6	0.0452	-0.0461	1.0701	55.7493	-3.148	-1.9015	
0.6	0.0452	-0.0461	1.0701	55.7493	-3.148	-1.9015	
0.61	0.0291	-0.0911	1.0464	55.7032	-3.1593	-1.8753	
0.61	0.0291	-0.0911	1.0464	55.7032	-3.1593	-1.8753	
0.61	0.0291	-0.0911	1.0464	55.7032	-3.1593	-1.8753	
0.62	-0.0049	-0.0042	1.0959	55.6597	-3.4016	-1.7856	
0.62	-0.0049	-0.0042	1.0959	55.6597	-3.4016	-1.7856	
0.63	0.0212	-0.0957	1.0818	55.622	-3.4667	-1.8741	
0.63	0.0212	-0.0957	1.0818	55.622	-3.4667	-1.8741	
0.63	0.0212	-0.0957	1.0818	55.622	-3.4667	-1.8741	
0.64	0.0105	-0.093	1.0818	55.5769	-3.5357	-1.8317	
0.64	0.0105	-0.093	1.0818	55.5769	-3.5357	-1.8317	
0.65	0.0613	-0.0422	1.0808	55.4972	-3.5074	-1.8687	
0.65	0.0613	-0.0422	1.0808	55.4972	-3.5074	-1.8687	
0.65	0.0613	-0.0422	1.0808	55.4972	-3.5074	-1.8687	
0.66	0.0232	-0.0476	1.1196	55.4547	-3.3956	-1.8035	
0.66	0.0232	-0.0476	1.1196	55.4547	-3.3956	-1.8035	
0.67	0.0171	-0.0845	1.0996	55.413	-3.4085	-1.7314	
0.67	0.0171	-0.0845	1.0996	55.413	-3.4085	-1.7314	
0.67	0.0171	-0.0845	1.0996	55.413	-3.4085	-1.7314	
0.68	0.0581	0.0828	1.1035	55.3659	-3.4529	-1.7163	
0.68	0.0581	0.0828	1.1035	55.3659	-3.4529	-1.7163	
0.69	0.0208	0.0188	1.0667	55.2926	-3.2259	-1.7187	
0.69	0.0208	0.0188	1.0667	55.2926	-3.2259	-1.7187	
0.69	0.0208	0.0188	1.0667	55.2926	-3.2259	-1.7187	
0.7	0.0393	-0.0251	1.0701	55.2571	-3.414	-1.8323	
0.7	0.0393	-0.0251	1.0701	55.2571	-3.414	-1.8323	
0.71	0.052	0.0115	1.0591	55.2094	-3.233	-1.8865	
0.71	0.052	0.0115	1.0591	55.2094	-3.233	-1.8865	
0.71	0.052	0.0115	1.0591	55.2094	-3.233	-1.8865	
0.72	-0.001	-0.064	1.0715	55.1389	-3.1186	-1.8149	
0.72	-0.001	-0.064	1.0715	55.1389	-3.1186	-1.8149	
0.73	0.0286	-0.1655	1.0745	55.1039	-3.2009	-1.8117	
0.73	0.0286	-0.1655	1.0745	55.1039	-3.2009	-1.8117	
0.73	0.0286	-0.1655	1.0745	55.1039	-3.2009	-1.8117	
0.74	0.0239	0.0352	1.0923	55.0689	-3.2483	-1.7676	
0.74	0.0239	0.0352	1.0923	55.0689	-3.2483	-1.7676	
0.75	0.0334	-0.0046	1.0989	55.0243	-3.0761	-1.7657	
0.75	0.0334	-0.0046	1.0989	55.0243	-3.0761	-1.7657	
0.75	0.0334	-0.0046	1.0989	55.0243	-3.0761	-1.7657	
0.76	0.0552	-0.0547	1.0459	54.9519	-3.1576	-1.8384	
0.76	0.0552	-0.0547	1.0459	54.9519	-3.1576	-1.8384	
