L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
6.9011	2.59341	0.0162872	-2.52747	-6.9011	11.1154	2.50549	0.0137101	-2.41758	-11.033	88.77	91.46	172.16	392.74	0	-61.87	121.05	94.15	
6.9011	2.59341	0.0162872	-2.52747	-6.9011	11.1154	2.50549	0.0137101	-2.41758	-11.033	86.08	121.05	142.57	392.74	-2.69	-75.32	156.02	2.69	
6.9011	2.59341	0.0162872	-2.61538	-6.81319	11.1154	2.50549	0.0137101	-2.41758	-11.033	86.08	150.64	139.88	578.35	16.14	-48.42	126.43	16.14	
6.9011	2.59341	0.0162872	-2.52747	-6.9011	11.1154	2.50549	0.0137101	-2.41758	-11.033	88.77	64.56	123.74	505.72	-190.99	-72.63	96.84	61.87	
6.81319	2.59341	0.0162872	-2.52747	-6.81319	11.0275	2.50549	0.0137101	-2.41758	-11.033	67.25	69.94	126.43	438.47	0	-75.32	121.05	188.3	
6.9011	2.59341	0.0162872	-2.52747	-6.9011	11.0275	2.50549	0.0137101	-2.41758	-10.9451	96.84	166.78	110.29	578.35	8.07	-80.7	104.91	10.76	
6.81319	2.59341	0.0162872	-2.61538	-6.81319	11.0275	2.50549	0.0137101	-2.32967	-10.9451	94.15	123.74	164.09	594.49	-312.04	-67.25	78.01	86.08	
6.81319	2.59341	0.0162872	-2.61538	-6.81319	10.9396	2.50549	0.0137101	-2.32967	-10.9451	99.53	64.56	147.95	532.62	-142.57	-80.7	88.77	5.38	
6.63736	2.59341	0.0162872	-2.52747	-6.72527	10.7637	2.50549	0.0137101	-2.32967	-10.8571	88.77	64.56	121.05	602.56	16.14	-80.7	131.81	16.14	
6.72527	2.68132	0.0162872	-2.61538	-6.63736	10.8516	2.50549	0.0137101	-2.41758	-10.7692	78.01	64.56	150.64	605.25	2.69	-45.73	78.01	134.5	
6.63736	2.59341	0.0162872	-2.52747	-6.54945	10.7637	2.50549	0.0137101	-2.41758	-10.7692	112.98	107.6	153.33	785.48	-43.04	-72.63	75.32	96.84	
6.54945	2.59341	0.0162872	-2.52747	-6.46154	10.6758	2.50549	0.0137101	-2.41758	-10.6813	83.39	72.63	115.67	906.53	220.58	-72.63	115.67	118.36	
6.46154	2.59341	0.0162872	-2.52747	-6.28571	10.5879	2.50549	0.0137101	-2.41758	-10.5055	-5.38	61.87	123.74	1035.65	-78.01	-78.01	131.81	48.42	
6.28571	2.68132	0.0162872	-2.52747	-6.1978	10.4121	2.50549	0.0137101	-2.41758	-10.4176	75.32	94.15	190.99	594.49	64.56	-78.01	150.64	-115.67	
6.1978	2.59341	0.0162872	-2.61538	-6.10989	10.3242	2.50549	0.0137101	-2.41758	-10.1538	137.19	64.56	107.6	777.41	287.83	-78.01	83.39	777.41	
6.02198	2.59341	0.0162872	-2.52747	-5.93407	10.1484	2.50549	0.0137101	-2.41758	-10.2418	134.5	56.49	121.05	758.58	-263.62	-78.01	69.94	-223.27	
5.84615	2.59341	0.0162872	-2.52747	-5.75824	9.88462	2.41758	0.0137101	-2.41758	-9.89011	228.65	69.94	174.85	831.21	161.4	-64.56	72.63	263.62	
5.49451	2.68132	0.0166652	-2.52747	-5.49451	9.70879	2.41758	0.014844	-2.41758	-9.71429	-26.9	61.87	188.3	672.5	-446.54	-80.7	99.53	-78.01	
5.31868	2.59341	0.0171806	-2.52747	-5.14286	9.44505	2.50549	0.0148784	-2.41758	-9.45055	438.47	61.87	94.15	602.56	-2.69	-78.01	67.25	277.07	
4.96703	2.59341	0.0171806	-2.52747	-4.96703	9.00549	2.50549	0.0153594	-2.41758	-9.0989	86.08	56.49	131.81	831.21	457.3	-78.01	75.32	-172.16	
4.61538	2.59341	0.0175929	-2.52747	-4.52747	8.65385	2.50549	0.015222	-2.41758	-8.74725	158.71	64.56	147.95	642.91	172.16	-80.7	78.01	53.8	
4.52747	2.59341	0.0175929	-2.52747	-4.43956	8.74176	2.50549	0.0157718	-2.41758	-8.74725	306.66	80.7	110.29	156.02	260.93	-78.01	67.25	-37.66	
4.26374	2.59341	0.0174555	-2.52747	-4.08791	8.3022	2.50549	0.016459	-2.41758	-8.30769	419.64	53.8	91.46	559.52	174.85	-78.01	75.32	-129.12	
3.64835	2.59341	0.0177647	-2.52747	-3.56044	7.68681	2.50549	0.016459	-2.41758	-7.78022	78.01	156.02	96.84	59.18	158.71	-78.01	104.91	102.22	
3.20879	2.59341	0.0186238	-2.52747	-3.03297	7.24725	2.50549	0.0172837	-2.41758	-7.34066	129.12	53.8	115.67	642.91	282.45	-83.39	75.32	-174.85	
2.50549	2.59341	0.0186238	-2.52747	-2.41758	6.71978	2.50549	0.0175586	-2.41758	-6.54945	387.36	56.49	110.29	831.21	-64.56	-91.46	110.29	2.69	
1.97802	2.59341	0.018933	-2.61538	-1.89011	5.84066	2.50549	0.0182114	-2.50549	-6.02198	309.35	56.49	45.73	618.7	-427.71	-193.68	78.01	-56.49	
1.18681	2.59341	0.0190017	-2.61538	-1.18681	5.4011	2.50549	0.0182114	-2.41758	-5.31868	320.11	56.49	94.15	726.3	-45.73	-112.98	115.67	80.7	
0.571429	2.59341	0.0190361	-2.61538	-0.395604	4.6978	2.50549	0.0187268	-2.50549	-4.52747	277.07	56.49	96.84	683.26	-126.43	-86.08	64.56	-86.08	
-0.131868	2.59341	0.0190361	-2.61538	0.307692	3.90659	2.59341	0.0192766	-2.50549	-3.82418	314.73	56.49	91.46	476.13	-67.25	-145.26	67.25	-129.12	
-0.835165	2.59341	0.0190361	-2.61538	1.18681	3.2033	2.50549	0.019689	-2.50549	-3.12088	244.79	59.18	94.15	325.49	121.05	-91.46	69.94	-185.61	
-1.62637	2.59341	0.0188299	-2.61538	1.89011	2.5	2.50549	0.0198608	-2.50549	-2.32967	325.49	56.49	96.84	8.07	-18.83	-153.33	110.29	-174.85	
-2.41758	2.59341	0.0183145	-2.61538	2.59341	1.7967	2.59341	0.0199638	-2.50549	-1.71429	303.97	59.18	96.84	-156.02	-363.15	-121.05	75.32	-650.98	
-3.12088	2.59341	0.0178334	-2.61538	3.38462	1.00549	2.50549	0.0199638	-2.50549	-0.835165	312.04	59.18	104.91	34.97	-21.52	-156.02	83.39	-118.36	
-3.91209	2.59341	0.018074	-2.52747	4.08791	0.214286	2.50549	0.0199638	-2.50549	-0.131868	266.31	56.49	96.84	-2.69	-102.22	-94.15	78.01	-153.33	
-4.61538	2.59341	0.0170431	-2.52747	4.87912	-0.489011	2.50549	0.019792	-2.50549	0.483516	376.6	51.11	126.43	-67.25	395.43	-94.15	61.87	-586.42	
-5.31868	2.59341	0.0170088	-2.52747	5.49451	-1.19231	2.50549	0.0197233	-2.50549	1.27473	306.66	56.49	96.84	8.07	-158.71	-150.64	88.77	-260.93	
-5.93407	2.59341	0.016837	-2.52747	6.10989	-1.8956	2.59341	0.0199295	-2.50549	1.89011	153.33	59.18	96.84	-10.76	139.88	-99.53	145.26	-433.09	
