L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.14286	-5.14286	0	-209.82	-21.52	
5.14286	-5.05495	0	-182.92	-16.14	
5.05495	-5.05495	0	-158.71	18.83	
5.14286	-5.05495	0	-250.17	61.87	
5.05495	-5.05495	0	-239.41	-8.07	
5.05495	-5.05495	0	-239.41	-13.45	
5.14286	-5.14286	0	-196.37	-16.14	
5.14286	-5.05495	0	-239.41	75.32	
5.05495	-5.05495	0	-260.93	13.45	
5.05495	-4.96703	0	-190.99	8.07	
5.14286	-5.05495	0	-137.19	-18.83	
5.14286	-4.96703	0	-349.7	0	
5.05495	-5.05495	0	-287.83	78.01	
5.05495	-5.05495	0	-287.83	64.56	
5.05495	-5.05495	0	-285.14	51.11	
5.05495	-4.96703	0	-285.14	91.46	
5.05495	-4.96703	0	-435.78	-40.35	
4.96703	-4.87912	0	-347.01	-8.07	
4.96703	-4.87912	0	-344.32	72.63	
4.96703	-4.79121	0	-441.16	129.12	
4.87912	-4.79121	0	-425.02	0	
4.87912	-4.79121	0	-287.83	-18.83	
4.7033	-4.7033	0	-390.05	83.39	
4.7033	-4.52747	0	-322.8	188.3	
4.7033	-4.43956	0	-441.16	64.56	
4.52747	-4.17582	0	-406.19	-26.9	
4.43956	-4.17582	0	-465.37	180.23	
4.35165	-4.08791	0	-521.86	-26.9	
4.17582	-4	0	-312.04	2.69	
4	-3.73626	0	-435.78	-88.77	
3.73626	-3.56044	0	-441.16	-51.11	
3.56044	-3.38462	0	-408.88	-34.97	
3.20879	-3.03297	0	-427.71	56.49	
2.94505	-2.68132	0	-403.5	-48.42	
2.50549	-2.24176	0	-347.01	-177.54	
2.06593	-1.89011	0	-481.51	-24.21	
1.53846	-1.27473	0	-430.4	72.63	
0.923077	-0.659341	0	-328.18	53.8	
0.21978	0.043956	0	-325.49	145.26	
-0.659341	0.923077	0	-454.61	112.98	
-1.8022	1.97802	0	-215.2	-217.89	
-1.89011	1.97802	0	-338.94	61.87	
-2.68132	3.03297	0	-438.47	29.59	
-3.56044	4	0	-217.89	-150.64	
-4.35165	4.7033	0	-126.43	-250.17	
-5.14286	5.40659	0	-110.29	-516.48	
-5.84615	6.02198	0	137.19	-667.12	
-6.1978	6.46154	0	338.94	-562.21	
-6.63736	6.9011	0	349.7	-634.84	
-6.9011	7.25275	0	293.21	-661.74	
-7.25275	7.6044	0	169.47	-726.3	
-7.51648	7.78022	0	174.85	-554.14	
-7.86813	7.86813	0	605.25	-446.54	
-8.04396	8.04396	0	793.55	-446.54	
-8.21978	8.04396	0	766.65	-266.31	
-8.3956	8.04396	0	930.74	-69.94	
-8.57143	8.04396	0	809.69	18.83	
-8.57143	8.04396	0	747.82	583.73	
-8.65934	8.04396	0	753.2	650.98	
-8.74725	8.04396	0	793.55	790.86	
-8.74725	8.04396	0	624.08	860.8	
-8.74725	8.04396	0	677.88	793.55	
-8.74725	8.04396	0	653.67	793.55	
-8.74725	8.13187	0	763.96	688.64	
-8.83516	8.04396	0	785.48	785.48	
-8.83516	8.13187	0	785.48	677.88	
-8.83516	8.13187	0	755.89	637.53	
-8.83516	8.13187	0	788.17	696.71	
-8.83516	8.13187	0	777.41	637.53	
-8.83516	8.13187	0	742.44	624.08	
-8.83516	8.04396	0	788.17	605.25	
-8.83516	8.13187	0	788.17	607.94	
-8.83516	8.13187	0	788.17	667.12	
-8.83516	8.04396	0	788.17	648.29	
-8.83516	8.13187	0	790.86	777.41	
-8.83516	8.13187	0	790.86	669.81	
-8.83516	8.04396	0	761.27	737.06	
-8.83516	8.04396	0	785.48	715.54	
-8.83516	8.13187	0	790.86	750.51	
-8.83516	8.04396	0	796.24	731.68	
-8.83516	8.04396	0	796.24	755.89	
-8.83516	8.13187	0	793.55	718.23	
-8.83516	8.04396	0	796.24	788.17	
-8.83516	8.04396	0	798.93	785.48	
-8.83516	8.04396	0	798.93	796.24	
-8.83516	8.04396	0	798.93	761.27	
-8.83516	8.04396	0	798.93	718.23	
-8.83516	8.13187	0	801.62	562.21	
-8.83516	8.21978	0	804.31	242.1	
-8.83516	8.30769	0	807	2.69	
