L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.14286	-5.14286	0	-91.46	150.64	
5.14286	-5.14286	0	-147.95	80.7	
5.14286	-5.14286	0	-188.3	110.29	
5.14286	-5.05495	0	-209.82	104.91	
5.14286	-5.05495	0	-118.36	83.39	
5.05495	-5.05495	0	-142.57	96.84	
5.14286	-5.05495	0	-228.65	45.73	
5.14286	-5.14286	0	-96.84	129.12	
5.05495	-4.96703	0	-158.71	91.46	
5.14286	-4.96703	0	-110.29	164.09	
5.05495	-4.96703	0	-110.29	121.05	
5.14286	-5.05495	0	-293.21	174.85	
5.05495	-4.96703	0	-263.62	145.26	
5.05495	-5.05495	0	-263.62	80.7	
5.05495	-5.05495	0	-263.62	88.77	
5.05495	-4.96703	0	-263.62	145.26	
5.05495	-4.87912	0	-403.5	153.33	
4.96703	-4.87912	0	-263.62	96.84	
4.96703	-4.96703	0	-209.82	164.09	
4.96703	-4.87912	0	-392.74	320.11	
4.79121	-4.79121	0	-384.67	123.74	
4.79121	-4.79121	0	-263.62	158.71	
4.61538	-4.79121	0	-260.93	156.02	
4.7033	-4.61538	0	-252.86	336.25	
4.61538	-4.52747	0	-322.8	182.92	
4.43956	-4.43956	0	-352.39	-169.47	
4.43956	-4.26374	0	-274.38	158.71	
4.26374	-4.08791	0	-266.31	24.21	
4.08791	-4	0	-182.92	142.57	
4	-3.82418	0	-196.37	-10.76	
3.73626	-3.64835	0	-255.55	37.66	
3.47253	-3.38462	0	-277.07	78.01	
3.20879	-3.03297	0	-298.59	147.95	
2.85714	-2.85714	0	-193.68	72.63	
2.41758	-2.32967	0	-255.55	115.67	
1.97802	-1.89011	0	-260.93	172.16	
1.45055	-1.27473	0	-317.42	263.62	
0.835165	-0.747253	0	-185.61	244.79	
0.131868	-0.043956	0	-231.34	330.87	
-0.747253	0.923077	0	-317.42	320.11	
-1.8022	1.97802	0	-37.66	18.83	
-1.97802	2.06593	0	-164.09	174.85	
-2.68132	3.03297	0	-209.82	-94.15	
-3.64835	4	0	-53.8	-137.19	
-4.43956	4.7033	0	13.45	-341.63	
-5.14286	5.40659	0	-59.18	-371.22	
-5.75824	6.02198	0	182.92	-422.33	
-6.1978	6.37363	0	306.66	-516.48	
-6.63736	6.81319	0	371.22	-564.9	
-6.98901	7.16484	0	419.64	-559.52	
-7.25275	7.51648	0	185.61	-567.59	
-7.6044	7.69231	0	279.76	-312.04	
-7.86813	7.78022	0	782.79	-322.8	
-8.13187	7.95604	0	833.9	-263.62	
-8.21978	8.04396	0	825.83	-236.72	
-8.30769	8.13187	0	728.99	-37.66	
-8.3956	8.13187	0	852.73	126.43	
-8.57143	8.13187	0	769.34	430.4	
-8.65934	8.04396	0	723.61	605.25	
-8.74725	8.04396	0	839.28	839.28	
-8.74725	8.04396	0	661.74	812.38	
-8.74725	8.04396	0	626.77	815.07	
-8.74725	8.04396	0	624.08	815.07	
-8.74725	8.04396	0	677.88	812.38	
-8.74725	8.04396	0	624.08	809.69	
-8.74725	8.04396	0	677.88	801.62	
-8.83516	8.04396	0	734.37	774.72	
-8.83516	8.13187	0	747.82	731.68	
-8.83516	8.04396	0	766.65	737.06	
-8.83516	8.04396	0	766.65	696.71	
-8.83516	8.04396	0	763.96	710.16	
-8.83516	8.04396	0	807	694.02	
-8.83516	8.13187	0	801.62	675.19	
-8.83516	8.04396	0	812.38	634.84	
-8.83516	8.13187	0	839.28	685.95	
-8.83516	8.04396	0	804.31	661.74	
-8.83516	8.04396	0	823.14	683.26	
-8.83516	8.04396	0	807	734.37	
-8.83516	8.04396	0	823.14	745.13	
-8.74725	8.04396	0	839.28	817.76	
-8.83516	8.04396	0	839.28	817.76	
-8.83516	8.04396	0	844.66	817.76	
-8.83516	8.04396	0	844.66	755.89	
-8.83516	8.13187	0	844.66	624.08	
-8.83516	8.21978	0	850.04	244.79	
-8.83516	8.30769	0	852.73	48.42	
-8.83516	8.3956	0	855.42	-121.05	
-8.83516	8.48352	0	855.42	-129.12	
-8.83516	8.48352	0	855.42	-231.34	
-8.83516	8.48352	0	855.42	-234.03	
-8.83516	8.48352	0	855.42	-236.72	
-8.83516	8.48352	0	858.11	-231.34	
-8.83516	8.48352	0	855.42	-236.72	
-8.83516	8.48352	0	844.66	-207.13	
-8.83516	8.3956	0	860.8	-69.94	
-8.83516	8.3956	0	860.8	129.12	
-8.83516	8.3956	0	860.8	137.19	
-8.83516	8.30769	0	839.28	212.51	
-8.83516	8.30769	0	828.52	317.42	
-8.83516	8.21978	0	858.11	416.95	
-8.83516	8.21978	0	804.31	503.03	
-8.83516	8.21978	0	841.97	435.78	
-8.83516	8.13187	0	850.04	427.71	
-8.83516	8.21978	0	796.24	481.51	
-8.83516	8.13187	0	860.8	500.34	
-8.83516	8.21978	0	820.45	505.72	
-8.83516	8.21978	0	860.8	519.17	
-8.83516	8.21978	0	860.8	551.45	
-8.83516	8.13187	0	790.86	535.31	
