time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0133579	3.56228	1.3987	-0.0206514	-1.36309	-3.53357	0.0109141	7.10813	1.39	-0.0225096	-1.35417	-7.07941	
0.05	0.0133584	3.56153	1.3987	-0.0206512	-1.36309	-3.53281	0.0109147	7.10738	1.39	-0.0225091	-1.35418	-7.07867	
0.075	0.0133593	3.56025	1.3987	-0.0206507	-1.36309	-3.53153	0.0109155	7.10612	1.39001	-0.0225082	-1.35418	-7.0774	
0.1	0.0133606	3.55842	1.39871	-0.0206501	-1.3631	-3.5297	0.0109168	7.10431	1.39001	-0.022507	-1.35419	-7.07559	
0.125	0.0133622	3.55598	1.39871	-0.0206492	-1.3631	-3.52727	0.0109185	7.1019	1.39002	-0.0225053	-1.35419	-7.07319	
0.15	0.0133644	3.55289	1.39872	-0.0206482	-1.36311	-3.52417	0.0109206	7.09884	1.39003	-0.0225031	-1.3542	-7.07013	
0.175	0.013367	3.54906	1.39872	-0.0206468	-1.36311	-3.52034	0.0109232	7.09506	1.39004	-0.0225005	-1.35422	-7.06634	
0.2	0.0133702	3.5444	1.39873	-0.0206452	-1.36312	-3.51568	0.0109264	7.09045	1.39006	-0.0224973	-1.35423	-7.06174	
0.225	0.013374	3.5388	1.39874	-0.0206433	-1.36313	-3.51008	0.0109302	7.08491	1.39008	-0.0224934	-1.35425	-7.0562	
0.25	0.0133786	3.53211	1.39875	-0.020641	-1.36314	-3.50339	0.0109348	7.0783	1.3901	-0.0224888	-1.35427	-7.04959	
0.275	0.013384	3.52418	1.39877	-0.0206382	-1.36316	-3.49546	0.0109403	7.07046	1.39012	-0.0224833	-1.35429	-7.04174	
0.3	0.0133905	3.5148	1.39878	-0.020635	-1.36317	-3.48609	0.0109467	7.06119	1.39015	-0.0224768	-1.35432	-7.03248	
0.325	0.0133981	3.50375	1.3988	-0.0206312	-1.36319	-3.47504	0.0109543	7.05027	1.39018	-0.0224692	-1.35436	-7.02155	
0.35	0.013407	3.49076	1.39882	-0.0206268	-1.36322	-3.46205	0.0109632	7.03743	1.39022	-0.0224603	-1.3544	-7.00871	
0.375	0.0134174	3.47551	1.39885	-0.0206216	-1.36324	-3.44679	0.0109736	7.02234	1.39027	-0.0224498	-1.35445	-6.99363	
0.4	0.0134297	3.45761	1.39888	-0.0206155	-1.36327	-3.4289	0.0109859	7.00465	1.39033	-0.0224376	-1.35451	-6.97594	
0.425	0.0134441	3.43664	1.39892	-0.0206085	-1.36331	-3.40793	0.0110003	6.98392	1.39039	-0.0224233	-1.35457	-6.9552	
0.45	0.0134609	3.41208	1.39896	-0.0206002	-1.36335	-3.38336	0.0110171	6.95963	1.39047	-0.0224066	-1.35465	-6.93091	
0.475	0.0134806	3.38331	1.399	-0.0205907	-1.3634	-3.35459	0.0110368	6.93118	1.39056	-0.0223871	-1.35474	-6.90247	
0.5	0.0135037	3.34964	1.39906	-0.0205796	-1.36346	-3.32092	0.0110599	6.89788	1.39066	-0.0223644	-1.35485	-6.86917	
0.525	0.0135307	3.31023	1.39913	-0.0205668	-1.36352	-3.28152	0.0110869	6.85891	1.39078	-0.0223379	-1.35497	-6.83019	
0.55	0.0135623	3.26412	1.3992	-0.020552	-1.3636	-3.2354	0.0111185	6.8133	1.39092	-0.0223072	-1.35511	-6.78459	
0.575	0.0135993	3.21017	1.39929	-0.0205349	-1.36369	-3.18145	0.0111554	6.75993	1.39108	-0.0222715	-1.35528	-6.73122	
0.6	0.0136426	3.14705	1.39939	-0.0205153	-1.36379	-3.11833	0.0111987	6.69749	1.39127	-0.0222301	-1.35547	-6.66877	
0.625	0.0136932	3.07321	1.3995	-0.0204929	-1.36391	-3.04449	0.0112492	6.62442	1.39149	-0.0221821	-1.35569	-6.59571	
0.65	0.0137524	2.98682	1.39963	-0.0204673	-1.36405	-2.9581	0.0113084	6.53893	1.39174	-0.0221267	-1.35595	-6.51022	
0.675	0.0138216	2.88576	1.39979	-0.0204383	-1.3642	-2.85705	0.0113776	6.4389	1.39203	-0.0220628	-1.35625	-6.41019	
0.7	0.0139026	2.76754	1.39996	-0.0204057	-1.36437	-2.73882	0.0114585	6.32186	1.39237	-0.0219892	-1.3566	-6.29314	
0.725	0.0139973	2.62924	1.40015	-0.0203692	-1.36457	-2.60052	0.0115532	6.18489	1.39275	-0.021905	-1.35699	-6.15618	
0.75	0.014108	2.46745	1.40036	-0.020329	-1.36479	-2.43873	0.0116639	6.02462	1.39319	-0.0218087	-1.35745	-5.9959	
0.775	0.0142376	2.27817	1.4006	-0.0202852	-1.36504	-2.24946	0.0117934	5.83704	1.3937	-0.0216994	-1.35797	-5.80833	
0.8	0.0143891	2.05674	1.40086	-0.0202383	-1.3653	-2.02803	0.0119448	5.6175	1.39427	-0.0215758	-1.35855	-5.58879	
0.825	0.0145663	1.79769	1.40114	-0.0201896	-1.36559	-1.76898	0.0121219	5.36053	1.39492	-0.0214373	-1.35922	-5.33182	
0.85	0.0147735	1.49463	1.40144	-0.0201409	-1.36589	-1.46591	0.0123291	5.05972	1.39564	-0.0212835	-1.35996	-5.031	
0.875	0.0150159	1.14008	1.40174	-0.0200954	-1.36619	-1.11136	0.0125714	4.70755	1.39644	-0.0211149	-1.36078	-4.67884	
0.9	0.0152994	0.725305	1.40202	-0.0200576	-1.36648	-0.696589	0.0128548	4.29523	1.39732	-0.0209332	-1.36167	-4.26651	
0.925	0.0156309	0.240121	1.40226	-0.0200347	-1.36672	-0.211405	0.0131863	3.81243	1.39825	-0.0207416	-1.36263	-3.78372	
0.95	0.0160186	-0.327359	1.40242	-0.0200371	-1.36689	0.356075	0.013574	3.24711	1.39923	-0.0205466	-1.36363	-3.21839	
0.975	0.0164721	-0.990959	1.40245	-0.0200796	-1.36691	1.01967	0.0140274	2.58514	1.40021	-0.020358	-1.36463	-2.55642	
1	0.0170024	-1.76671	1.40225	-0.0201838	-1.3667	1.79543	0.0145578	1.81008	1.40113	-0.0201918	-1.36558	-1.78137	
0	0.0170024	-1.76671	1.40225	-0.0201838	-1.3667	1.79543	0.0145578	1.81008	1.40113	-0.0201918	-1.36558	-1.78137	
