L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
7.16484	-7.16484	0	-217.89	-32.28	
7.25275	-7.16484	0	-207.13	-32.28	
7.16484	-7.16484	0	-59.18	-32.28	
7.16484	-7.16484	0	-158.71	-32.28	
7.25275	-7.16484	0	-115.67	-75.32	
7.16484	-7.16484	0	-209.82	-37.66	
7.16484	-7.07692	0	-161.4	34.97	
7.16484	-7.07692	0	-247.48	-29.59	
7.16484	-7.07692	0	-88.77	-29.59	
7.16484	-7.07692	0	-153.33	-29.59	
7.16484	-7.07692	0	-137.19	-43.04	
7.25275	-7.07692	0	-683.26	-29.59	
7.16484	-7.07692	0	-188.3	-29.59	
7.16484	-7.07692	0	-236.72	-29.59	
7.16484	-7.07692	0	-145.26	-29.59	
7.07692	-7.07692	0	-104.91	-29.59	
7.16484	-7.07692	0	-274.38	-26.9	
7.07692	-6.98901	0	-438.47	-18.83	
6.98901	-6.98901	0	-172.16	-32.28	
7.07692	-6.98901	0	-107.6	-34.97	
6.98901	-6.98901	0	-546.07	-51.11	
6.9011	-6.9011	0	-190.99	-32.28	
6.9011	-6.81319	0	-215.2	-26.9	
6.9011	-6.81319	0	-637.53	-32.28	
6.72527	-6.81319	0	-314.73	-86.08	
6.72527	-6.63736	0	-123.74	199.06	
6.63736	-6.54945	0	-153.33	80.7	
6.46154	-6.37363	0	-314.73	-13.45	
6.37363	-6.37363	0	-72.63	196.37	
6.28571	-6.1978	0	-182.92	10.76	
6.10989	-6.02198	0	-86.08	-43.04	
5.93407	-5.84615	0	-43.04	-134.5	
5.75824	-5.67033	0	-312.04	-301.28	
5.40659	-5.49451	0	-314.73	112.98	
5.14286	-5.05495	0	-260.93	-83.39	
4.87912	-4.79121	0	-78.01	-672.5	
4.52747	-4.35165	0	142.57	193.68	
3.91209	-3.91209	0	118.36	-330.87	
3.38462	-3.2967	0	-457.3	88.77	
2.68132	-2.59341	0	-247.48	-169.47	
1.97802	-1.71429	0	-53.8	-102.22	
1.89011	-1.71429	0	-271.69	18.83	
1.36264	-1.01099	0	212.51	-142.57	
0.483516	-0.395604	0	-269	-363.15	
-0.043956	0.307692	0	-53.8	-392.74	
-0.659341	0.747253	0	94.15	-465.37	
-1.01099	1.18681	0	258.24	-508.41	
-1.45055	1.53846	0	209.82	-470.75	
-1.8022	1.89011	0	204.44	-449.23	
-2.06593	2.06593	0	508.41	-182.92	
-2.32967	2.24176	0	607.94	-303.97	
-2.41758	2.41758	0	425.02	-357.77	
-2.59341	2.50549	0	538	-110.29	
-2.76923	2.59341	0	661.74	-131.81	
