time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0121365	5.33936	1.39497	-0.0214262	-1.35927	-5.31064	0.0121352	5.34131	1.39497	-0.0214272	-1.35926	-5.31259	
0.05	0.012137	5.3386	1.39497	-0.0214258	-1.35927	-5.30989	0.0121357	5.34056	1.39497	-0.0214268	-1.35927	-5.31184	
0.075	0.0121379	5.33733	1.39498	-0.0214251	-1.35927	-5.30862	0.0121366	5.33929	1.39497	-0.0214262	-1.35927	-5.31057	
0.1	0.0121392	5.33551	1.39498	-0.0214242	-1.35928	-5.30679	0.0121378	5.33746	1.39498	-0.0214252	-1.35927	-5.30875	
0.125	0.0121408	5.33309	1.39499	-0.0214229	-1.35928	-5.30437	0.0121395	5.33504	1.39498	-0.0214239	-1.35928	-5.30632	
0.15	0.012143	5.33001	1.39499	-0.0214213	-1.35929	-5.30129	0.0121416	5.33196	1.39499	-0.0214223	-1.35929	-5.30325	
0.175	0.0121456	5.3262	1.395	-0.0214193	-1.3593	-5.29748	0.0121442	5.32815	1.395	-0.0214203	-1.3593	-5.29944	
0.2	0.0121488	5.32156	1.39501	-0.0214169	-1.35931	-5.29284	0.0121474	5.32351	1.39501	-0.0214179	-1.35931	-5.2948	
0.225	0.0121526	5.31598	1.39503	-0.021414	-1.35933	-5.28727	0.0121513	5.31794	1.39502	-0.021415	-1.35932	-5.28922	
0.25	0.0121572	5.30933	1.39504	-0.0214105	-1.35934	-5.28061	0.0121559	5.31128	1.39504	-0.0214115	-1.35934	-5.28257	
0.275	0.0121627	5.30143	1.39506	-0.0214064	-1.35936	-5.27272	0.0121613	5.30339	1.39506	-0.0214074	-1.35936	-5.27467	
0.3	0.0121691	5.2921	1.39509	-0.0214015	-1.35939	-5.26339	0.0121677	5.29406	1.39508	-0.0214026	-1.35938	-5.26534	
0.325	0.0121767	5.28111	1.39511	-0.0213958	-1.35941	-5.25239	0.0121753	5.28306	1.39511	-0.0213969	-1.35941	-5.25435	
0.35	0.0121856	5.26818	1.39514	-0.0213891	-1.35945	-5.23946	0.0121842	5.27013	1.39514	-0.0213902	-1.35944	-5.24142	
0.375	0.012196	5.25299	1.39518	-0.0213813	-1.35948	-5.22428	0.0121947	5.25495	1.39518	-0.0213823	-1.35948	-5.22623	
0.4	0.0122083	5.23518	1.39522	-0.0213721	-1.35953	-5.20647	0.0122069	5.23714	1.39522	-0.0213732	-1.35952	-5.20842	
0.425	0.0122227	5.21431	1.39527	-0.0213614	-1.35958	-5.1856	0.0122213	5.21627	1.39527	-0.0213624	-1.35958	-5.18755	
0.45	0.0122395	5.18986	1.39533	-0.021349	-1.35964	-5.16114	0.0122382	5.19181	1.39533	-0.02135	-1.35964	-5.1631	
0.475	0.0122592	5.16123	1.3954	-0.0213344	-1.35971	-5.13251	0.0122579	5.16318	1.3954	-0.0213354	-1.35971	-5.13447	
0.5	0.0122823	5.12771	1.39548	-0.0213175	-1.35979	-5.099	0.012281	5.12967	1.39548	-0.0213185	-1.35979	-5.10095	
0.525	0.0123093	5.08848	1.39557	-0.0212979	-1.35989	-5.05977	0.012308	5.09044	1.39557	-0.0212988	-1.35988	-5.06173	
0.55	0.0123409	5.04258	1.39568	-0.0212751	-1.36	-5.01387	0.0123396	5.04454	1.39568	-0.021276	-1.35999	-5.01582	
0.575	0.0123779	4.98887	1.39581	-0.0212486	-1.36013	-4.96016	0.0123765	4.99083	1.3958	-0.0212496	-1.36012	-4.96211	
0.6	0.0124211	4.92603	1.39595	-0.0212181	-1.36027	-4.89731	0.0124198	4.92799	1.39595	-0.021219	-1.36027	-4.89927	
0.625	0.0124717	4.85251	1.39612	-0.0211829	-1.36045	-4.82379	0.0124704	4.85446	1.39611	-0.0211838	-1.36044	-4.82575	
0.65	0.0125309	4.76649	1.39631	-0.0211423	-1.36064	-4.73777	0.0125295	4.76845	1.39631	-0.0211432	-1.36064	-4.73973	
0.675	0.0126001	4.66585	1.39653	-0.0210958	-1.36087	-4.63713	0.0125988	4.66781	1.39653	-0.0210967	-1.36087	-4.63909	
0.7	0.0126811	4.5481	1.39679	-0.0210426	-1.36113	-4.51939	0.0126797	4.55006	1.39678	-0.0210435	-1.36113	-4.52135	
0.725	0.0127757	4.41034	1.39708	-0.0209822	-1.36143	-4.38163	0.0127744	4.4123	1.39707	-0.0209831	-1.36142	-4.38359	
0.75	0.0128865	4.24915	1.39741	-0.0209139	-1.36177	-4.22044	0.0128851	4.25112	1.3974	-0.0209147	-1.36176	-4.2224	
0.775	0.013016	4.06055	1.39778	-0.0208372	-1.36215	-4.03183	0.0130147	4.06251	1.39778	-0.020838	-1.36215	-4.0338	
0.8	0.0131675	3.83986	1.3982	-0.0207519	-1.36258	-3.81114	0.0131661	3.84182	1.3982	-0.0207526	-1.36257	-3.8131	
0.825	0.0133447	3.5816	1.39867	-0.0206582	-1.36305	-3.55288	0.0133433	3.58356	1.39866	-0.0206589	-1.36305	-3.55485	
0.85	0.0135519	3.27937	1.39918	-0.0205568	-1.36358	-3.25065	0.0135505	3.28133	1.39917	-0.0205575	-1.36357	-3.25262	
0.875	0.0137942	2.92567	1.39973	-0.0204496	-1.36414	-2.89695	0.0137929	2.92764	1.39972	-0.0204502	-1.36414	-2.89892	
0.9	0.0140777	2.51172	1.40031	-0.0203397	-1.36473	-2.48301	0.0140764	2.51369	1.4003	-0.0203402	-1.36473	-2.48497	
0.925	0.0144092	2.02726	1.4009	-0.0202324	-1.36534	-1.99855	0.0144079	2.02923	1.4009	-0.0202328	-1.36533	-2.00052	
0.95	0.014797	1.46031	1.40147	-0.020136	-1.36592	-1.4316	0.0147956	1.46228	1.40147	-0.0201363	-1.36592	-1.43357	
0.975	0.0152505	0.796883	1.40197	-0.0200629	-1.36643	-0.768167	0.0152491	0.798854	1.40197	-0.0200631	-1.36643	-0.770139	
1	0.0157808	0.0207218	1.40234	-0.0200319	-1.3668	0.00799399	0.0157795	0.0226934	1.40234	-0.0200319	-1.3668	0.00602237	
0	0.0157808	0.0207218	1.40234	-0.0200319	-1.3668	0.00799399	0.0157795	0.0226934	1.40234	-0.0200319	-1.3668	0.00602237	
0.025	0.0163265	-0.777803	1.40354	-0.0198155	-1.368	0.806519	0.0163096	-0.753227	1.40246	-0.0200594	-1.36692	0.781943	
0.05	0.0168269	-1.50995	1.40664	-0.0191655	-1.3711	1.53866	0.0167626	-1.41592	1.40237	-0.0201294	-1.36682	1.44464	
0.075	0.0172942	-2.1931	1.41165	-0.0180888	-1.37609	2.22182	0.0171494	-1.98162	1.40216	-0.020223	-1.3666	2.01034	
0.1	0.0177377	-2.84078	1.41849	-0.016608	-1.38291	2.86949	0.0174796	-2.46428	1.40187	-0.0203276	-1.3663	2.493	
0.125	0.0181642	-3.46302	1.42707	-0.0147592	-1.39146	3.49173	0.0177614	-2.87583	1.40155	-0.0204348	-1.36597	2.90455	
0.15	0.0185786	-4.06678	1.43722	-0.0125894	-1.40159	4.0955	0.0180016	-3.22648	1.40123	-0.0205392	-1.36563	3.25519	
0.175	0.0189838	-4.65624	1.44874	-0.010155	-1.41308	4.68496	0.0182061	-3.52492	1.40091	-0.0206376	-1.36531	3.55364	
0.2	0.0193809	-5.23305	1.46141	-0.00751897	-1.42572	5.26177	0.0183801	-3.77857	1.40061	-0.0207281	-1.365	3.80728	
0.225	0.0197697	-5.79662	1.47494	-0.00474948	-1.43921	5.82534	0.0185277	-3.99371	1.40034	-0.0208098	-1.36472	4.02242	
0.25	0.0201482	-6.34434	1.48902	-0.00191731	-1.45325	6.37305	0.0186526	-4.17568	1.4001	-0.0208825	-1.36447	4.2044	
0.275	0.0205136	-6.87184	1.50331	0.000905984	-1.46751	6.90056	0.0187579	-4.329	1.39988	-0.0209463	-1.36424	4.35772	
0.3	0.0187762	-7.37572	1.51556	0.00364638	-1.48329	7.40156	0.0188462	-4.45746	1.39969	-0.0210015	-1.36405	4.48618	
0.325	0.0190696	-7.84441	1.52916	0.0062442	-1.49686	7.87025	0.0189195	-4.56424	1.39953	-0.0210487	-1.36388	4.59295	
0.35	0.0193382	-8.27255	1.54188	0.00863268	-1.50954	8.29839	0.0189798	-4.65198	1.3994	-0.0210883	-1.36374	4.6807	
0.375	0.0195768	-8.6522	1.55336	0.0107551	-1.52099	8.67805	0.0190286	-4.72285	1.39928	-0.0211208	-1.36362	4.75157	
0.4	0.0197805	-8.97561	1.56326	0.0125618	-1.53086	9.00145	0.0190669	-4.77861	1.39919	-0.0211468	-1.36353	4.80732	
0.425	0.0199445	-9.23558	1.5713	0.0140112	-1.53888	9.26143	0.0190958	-4.82062	1.39912	-0.0211665	-1.36346	4.84933	
0.45	0.0200648	-9.42602	1.57723	0.0150703	-1.54478	9.45187	0.019116	-4.84993	1.39908	-0.0211804	-1.36341	4.87864	
0.475	0.0201382	-9.54225	1.58086	0.0157154	-1.5484	9.5681	0.0191279	-4.86726	1.39905	-0.0211886	-1.36338	4.89597	
0.5	0.0201629	-9.58134	1.58208	0.015932	-1.54962	9.60719	0.0191318	-4.87304	1.39904	-0.0211914	-1.36337	4.90175	
0.525	0.0201383	-9.54229	1.58086	0.0157153	-1.5484	9.56813	0.019128	-4.8674	1.39905	-0.0211887	-1.36338	4.89612	
0.55	0.0200648	-9.4261	1.57722	0.0150702	-1.54478	9.45195	0.0191162	-4.85022	1.39908	-0.0211805	-1.36341	4.87894	
0.575	0.0199446	-9.23571	1.5713	0.0140111	-1.53888	9.26156	0.0190961	-4.82107	1.39912	-0.0211667	-1.36346	4.84979	
0.6	0.0197806	-8.97581	1.56326	0.0125616	-1.53086	9.00165	0.0190673	-4.77923	1.39919	-0.021147	-1.36353	4.80794	
0.625	0.019577	-8.6525	1.55335	0.0107549	-1.52099	8.67834	0.0190291	-4.72366	1.39928	-0.0211212	-1.36362	4.75237	
0.65	0.0193384	-8.27295	1.54188	0.00863238	-1.50954	8.2988	0.0189805	-4.65299	1.39939	-0.0210887	-1.36374	4.68171	
0.675	0.0190699	-7.84497	1.52916	0.0062438	-1.49686	7.87081	0.0189204	-4.56548	1.39953	-0.0210492	-1.36388	4.59419	
0.7	0.0187766	-7.37647	1.51555	0.00364588	-1.48329	7.40231	0.0188472	-4.45896	1.39969	-0.0210022	-1.36404	4.48767	
0.725	0.0205143	-6.87283	1.50331	0.000905366	-1.46751	6.90155	0.0187591	-4.33079	1.39988	-0.0209471	-1.36424	4.35951	
0.75	0.0201491	-6.34561	1.48901	-0.00191806	-1.45325	6.37432	0.0186541	-4.17782	1.4001	-0.0208834	-1.36446	4.20653	
0.775	0.0197708	-5.79824	1.47493	-0.00475036	-1.43921	5.82695	0.0185294	-3.99624	1.40034	-0.0208108	-1.36471	4.02495	
0.8	0.0193823	-5.23509	1.4614	-0.00751997	-1.42571	5.2638	0.0183821	-3.78155	1.40061	-0.0207292	-1.365	3.81027	
0.825	0.0189855	-4.65877	1.44874	-0.0101561	-1.41308	4.68748	0.0182086	-3.52844	1.40091	-0.0206388	-1.3653	3.55715	
0.85	0.0185807	-4.06989	1.43721	-0.0125906	-1.40158	4.09861	0.0180044	-3.23061	1.40122	-0.0205405	-1.36563	3.25933	
0.875	0.0181668	-3.46682	1.42706	-0.0147604	-1.39146	3.49554	0.0177647	-2.88068	1.40155	-0.0204362	-1.36597	2.9094	
0.9	0.0177408	-2.84539	1.41849	-0.0166093	-1.38291	2.87411	0.0174835	-2.46997	1.40187	-0.020329	-1.3663	2.49869	
0.925	0.017298	-2.19867	1.41165	-0.0180899	-1.37608	2.22739	0.017154	-1.9883	1.40215	-0.0202243	-1.3666	2.01702	
0.95	0.0168315	-1.51664	1.40664	-0.0191664	-1.37109	1.54536	0.0167679	-1.42374	1.40237	-0.0201305	-1.36682	1.45246	
0.975	0.0163319	-0.785822	1.40354	-0.0198161	-1.368	0.814538	0.0163159	-0.762388	1.40246	-0.0200601	-1.36692	0.791104	
1	0.0157874	0.0111469	1.40234	-0.0200319	-1.3668	0.017569	0.0157868	0.0119696	1.40234	-0.0200319	-1.3668	0.0167462	
0	0.0157874	0.0111469	1.40234	-0.0200319	-1.3668	0.017569	0.0157868	0.0119696	1.40234	-0.0200319	-1.3668	0.0167462	
0.025	0.0152582	0.7855	1.40198	-0.0200621	-1.36644	-0.756784	0.0152422	0.808954	1.40305	-0.0198181	-1.3675	-0.780238	
0.05	0.0148062	1.44684	1.40148	-0.0201341	-1.36593	-1.41813	0.0147427	1.53982	1.4057	-0.0191703	-1.37014	-1.51111	
0.075	0.0144201	2.01139	1.40092	-0.0202293	-1.36535	-1.98267	0.0142762	2.22193	1.41028	-0.0180955	-1.37471	-2.19321	
0.1	0.0140905	2.49305	1.40033	-0.0203352	-1.36476	-2.46433	0.0138334	2.86875	1.41672	-0.0166164	-1.38113	-2.84003	
0.125	0.0138093	2.90375	1.39976	-0.0204434	-1.36417	-2.87503	0.0134075	3.49031	1.42491	-0.0147691	-1.3893	-3.46159	
0.15	0.0135695	3.25366	1.39922	-0.0205486	-1.36362	-3.22494	0.0129937	4.09353	1.43468	-0.0126008	-1.39905	-4.06482	
0.175	0.0133653	3.55148	1.39872	-0.0206477	-1.36311	-3.52276	0.012589	4.68257	1.44584	-0.0101678	-1.41018	-4.65386	
0.2	0.0131917	3.80459	1.39827	-0.0207387	-1.36264	-3.77587	0.0121923	5.25907	1.45815	-0.00753308	-1.42245	-5.23035	
0.225	0.0130443	4.01927	1.39786	-0.0208209	-1.36223	-3.99055	0.0118039	5.8224	1.47133	-0.00476486	-1.43559	-5.79369	
0.25	0.0129197	4.20085	1.39751	-0.0208939	-1.36187	-4.17214	0.0114257	6.36996	1.48507	-0.0019339	-1.4493	-6.34124	
0.275	0.0128146	4.35384	1.3972	-0.020958	-1.36155	-4.32512	0.0110607	6.89735	1.49903	0.000888236	-1.46322	-6.86864	
0.3	0.0127265	4.48201	1.39693	-0.0210134	-1.36127	-4.45329	0.0107129	7.39879	1.51287	0.00363122	-1.47702	-7.37007	
0.325	0.0126533	4.58854	1.3967	-0.0210607	-1.36104	-4.55983	0.0103872	7.86734	1.52622	0.00622771	-1.49033	-7.83863	
0.35	0.0125931	4.67608	1.39651	-0.0211005	-1.36085	-4.64736	0.0100891	8.29537	1.53871	0.008615	-1.50277	-8.26666	
0.375	0.0125445	4.74677	1.39636	-0.0211331	-1.36069	-4.71806	0.00982413	8.67494	1.54998	0.0107363	-1.51401	-8.64622	
0.4	0.0125062	4.80238	1.39623	-0.0211591	-1.36056	-4.77366	0.00959804	8.99825	1.55971	0.0125422	-1.52371	-8.96954	
0.425	0.0124774	4.84426	1.39614	-0.0211789	-1.36046	-4.81555	0.00941601	9.25815	1.56761	0.0139909	-1.53158	-9.22944	
0.45	0.0124573	4.87346	1.39607	-0.0211928	-1.3604	-4.84475	0.00928251	9.44852	1.57343	0.0150495	-1.53738	-9.4198	
0.475	0.0124454	4.8907	1.39603	-0.0212011	-1.36036	-4.86199	0.00920098	9.56467	1.577	0.0156943	-1.54093	-9.53596	
0.5	0.0124415	4.89641	1.39602	-0.0212038	-1.36034	-4.86769	0.00917359	9.60368	1.5782	0.0159109	-1.54213	-9.57496	
0.525	0.0124454	4.89071	1.39603	-0.0212011	-1.36036	-4.862	0.00920108	9.56454	1.577	0.0156944	-1.54093	-9.53582	
0.55	0.0124573	4.87348	1.39607	-0.0211929	-1.3604	-4.84477	0.00928269	9.44825	1.57343	0.0150497	-1.53738	-9.41954	
0.575	0.0124774	4.84429	1.39614	-0.0211789	-1.36046	-4.81557	0.00941628	9.25776	1.56761	0.0139912	-1.53158	-9.22905	
0.6	0.0125062	4.80241	1.39623	-0.0211591	-1.36056	-4.7737	0.0095984	8.99775	1.55971	0.0125426	-1.52371	-8.96903	
0.625	0.0125444	4.74682	1.39636	-0.0211331	-1.36069	-4.7181	0.00982456	8.67432	1.54998	0.0107368	-1.51401	-8.6456	
0.65	0.012593	4.67614	1.39651	-0.0211005	-1.36085	-4.64742	0.0100896	8.29466	1.53871	0.00861553	-1.50278	-8.26594	
0.675	0.0126532	4.58862	1.3967	-0.0210608	-1.36104	-4.5599	0.0103878	7.86654	1.52622	0.00622828	-1.49033	-7.83783	
0.7	0.0127264	4.4821	1.39693	-0.0210135	-1.36127	-4.45338	0.0107135	7.39791	1.51288	0.0036318	-1.47702	-7.3692	
0.725	0.0128145	4.35394	1.3972	-0.020958	-1.36155	-4.32522	0.0110614	6.89642	1.49904	0.000888825	-1.46323	-6.86771	
0.75	0.0129196	4.20098	1.39751	-0.020894	-1.36187	-4.17226	0.0114264	6.36898	1.48507	-0.00193333	-1.4493	-6.34026	
0.775	0.0130442	4.01942	1.39786	-0.0208209	-1.36223	-3.9907	0.0118046	5.8214	1.47133	-0.00476431	-1.4356	-5.79268	
0.8	0.0131916	3.80476	1.39827	-0.0207388	-1.36264	-3.77604	0.012193	5.25804	1.45815	-0.00753258	-1.42246	-5.22933	
0.825	0.0133652	3.55168	1.39872	-0.0206478	-1.36311	-3.52296	0.0125897	4.68155	1.44585	-0.0101673	-1.41018	-4.65283	
0.85	0.0135693	3.2539	1.39922	-0.0205487	-1.36362	-3.22518	0.0129944	4.09252	1.43468	-0.0126004	-1.39905	-4.0638	
0.875	0.0138091	2.90403	1.39976	-0.0204435	-1.36417	-2.87531	0.0134082	3.48932	1.42491	-0.0147688	-1.3893	-3.4606	
0.9	0.0140903	2.49338	1.40033	-0.0203353	-1.36476	-2.46466	0.0138341	2.8678	1.41672	-0.0166161	-1.38114	-2.83909	
0.925	0.0144198	2.01177	1.40092	-0.0202294	-1.36535	-1.98306	0.0142768	2.22103	1.41028	-0.0180953	-1.37471	-2.19232	
0.95	0.0148059	1.4473	1.40148	-0.0201341	-1.36593	-1.41858	0.0147432	1.53899	1.4057	-0.0191701	-1.37015	-1.51027	
0.975	0.0152579	0.786031	1.40198	-0.0200621	-1.36644	-0.757315	0.0152427	0.808198	1.40305	-0.019818	-1.36751	-0.779482	
1	0.0157869	0.011768	1.40234	-0.0200319	-1.3668	0.0169478	0.0157872	0.0113042	1.40234	-0.0200319	-1.3668	0.0174116	
0	0.0157869	0.011768	1.40234	-0.0200319	-1.3668	0.0169478	0.0157872	0.0113042	1.40234	-0.0200319	-1.3668	0.0174116	
0.025	0.0163314	-0.785111	1.40354	-0.019816	-1.368	0.813827	0.0163163	-0.762963	1.40246	-0.0200602	-1.36692	0.791679	
0.05	0.016831	-1.51586	1.40664	-0.0191663	-1.37109	1.54457	0.0167683	-1.42424	1.40237	-0.0201306	-1.36682	1.45296	
0.075	0.0172975	-2.19782	1.41165	-0.0180898	-1.37608	2.22653	0.0171543	-1.98874	1.40215	-0.0202244	-1.36659	2.01745	
0.1	0.0177402	-2.84448	1.41849	-0.016609	-1.38291	2.87319	0.0174838	-2.47036	1.40187	-0.0203291	-1.3663	2.49907	
0.125	0.0181661	-3.46585	1.42706	-0.0147601	-1.39146	3.49457	0.0177649	-2.88102	1.40155	-0.0204362	-1.36597	2.90974	
0.15	0.01858	-4.06888	1.43721	-0.0125902	-1.40158	4.0976	0.0180046	-3.23092	1.40122	-0.0205406	-1.36563	3.25963	
0.175	0.0189848	-4.65771	1.44874	-0.0101556	-1.41308	4.68643	0.0182087	-3.52871	1.40091	-0.0206389	-1.3653	3.55743	
0.2	0.0193816	-5.234	1.46141	-0.00751944	-1.42572	5.26271	0.0183823	-3.78181	1.40061	-0.0207293	-1.365	3.81052	
0.225	0.01977	-5.79712	1.47493	-0.00474975	-1.43921	5.82584	0.0185296	-3.99648	1.40034	-0.0208109	-1.36471	4.02519	
0.25	0.0201483	-6.34446	1.48902	-0.00191739	-1.45325	6.37318	0.0186543	-4.17805	1.4001	-0.0208835	-1.36446	4.20677	
0.275	0.0205135	-6.87166	1.50331	0.000906102	-1.46751	6.90037	0.0187593	-4.33103	1.39988	-0.0209472	-1.36424	4.35974	
0.3	0.0187759	-7.37528	1.51556	0.00364668	-1.4833	7.40112	0.0188473	-4.45919	1.39969	-0.0210023	-1.36404	4.48791	
0.325	0.0190692	-7.84376	1.52916	0.00624465	-1.49686	7.86961	0.0189206	-4.56572	1.39953	-0.0210494	-1.36388	4.59444	
0.35	0.0193377	-8.27174	1.54188	0.00863328	-1.50955	8.29758	0.0189807	-4.65325	1.39939	-0.0210889	-1.36374	4.68196	
0.375	0.0195762	-8.65128	1.55336	0.0107558	-1.52099	8.67712	0.0190293	-4.72394	1.39928	-0.0211213	-1.36362	4.75265	
0.4	0.0197799	-8.97459	1.56327	0.0125626	-1.53087	9.00044	0.0190675	-4.77953	1.39919	-0.0211472	-1.36353	4.80825	
0.425	0.0199438	-9.23451	1.5713	0.014012	-1.53888	9.26036	0.0190963	-4.82141	1.39912	-0.0211669	-1.36346	4.85013	
0.45	0.0200641	-9.42493	1.57723	0.0150712	-1.54479	9.45077	0.0191164	-4.85061	1.39908	-0.0211807	-1.36341	4.87933	
0.475	0.0201375	-9.54115	1.58086	0.0157163	-1.54841	9.56699	0.0191283	-4.86785	1.39905	-0.0211889	-1.36338	4.89656	
0.5	0.0201623	-9.58025	1.58208	0.0159329	-1.54963	9.60609	0.0191322	-4.87354	1.39904	-0.0211916	-1.36337	4.90226	
0.525	0.0201376	-9.54123	1.58086	0.0157162	-1.54841	9.56707	0.0191283	-4.86784	1.39905	-0.0211889	-1.36338	4.89656	
0.55	0.0200642	-9.42508	1.57723	0.0150711	-1.54479	9.45092	0.0191164	-4.8506	1.39908	-0.0211807	-1.36341	4.87932	
0.575	0.019944	-9.23474	1.5713	0.0140119	-1.53888	9.26058	0.0190963	-4.8214	1.39912	-0.0211669	-1.36346	4.85012	
0.6	0.01978	-8.97488	1.56326	0.0125624	-1.53087	9.00073	0.0190675	-4.77951	1.39919	-0.0211472	-1.36353	4.80823	
0.625	0.0195765	-8.65163	1.55336	0.0107555	-1.52099	8.67748	0.0190293	-4.72391	1.39928	-0.0211213	-1.36362	4.75262	
0.65	0.0193379	-8.27215	1.54188	0.00863297	-1.50954	8.298	0.0189807	-4.65321	1.39939	-0.0210888	-1.36374	4.68193	
0.675	0.0190695	-7.84422	1.52916	0.00624433	-1.49686	7.87007	0.0189205	-4.56568	1.39953	-0.0210493	-1.36388	4.59439	
0.7	0.0187762	-7.37578	1.51556	0.00364634	-1.48329	7.40162	0.0188473	-4.45914	1.39969	-0.0210023	-1.36404	4.48786	
0.725	0.0205138	-6.87219	1.50331	0.000905765	-1.46751	6.90091	0.0187593	-4.33096	1.39988	-0.0209471	-1.36424	4.35968	
0.75	0.0201487	-6.34502	1.48901	-0.00191771	-1.45325	6.37374	0.0186542	-4.17798	1.4001	-0.0208835	-1.36446	4.20669	
0.775	0.0197704	-5.7977	1.47493	-0.00475006	-1.43921	5.82641	0.0185296	-3.99639	1.40034	-0.0208109	-1.36471	4.02511	
0.8	0.019382	-5.23458	1.4614	-0.00751972	-1.42571	5.2633	0.0183822	-3.7817	1.40061	-0.0207293	-1.365	3.81042	
0.825	0.0189852	-4.6583	1.44874	-0.0101559	-1.41308	4.68702	0.0182087	-3.52859	1.40091	-0.0206389	-1.3653	3.55731	
0.85	0.0185804	-4.06946	1.43721	-0.0125905	-1.40158	4.09818	0.0180045	-3.23077	1.40122	-0.0205406	-1.36563	3.25949	
0.875	0.0181665	-3.46642	1.42706	-0.0147603	-1.39146	3.49513	0.0177648	-2.88086	1.40155	-0.0204362	-1.36597	2.90957	
0.9	0.0177406	-2.84502	1.41849	-0.0166092	-1.38291	2.87373	0.0174837	-2.47016	1.40187	-0.020329	-1.3663	2.49888	
0.925	0.0172978	-2.19833	1.41165	-0.0180899	-1.37608	2.22704	0.0171541	-1.98851	1.40215	-0.0202243	-1.36659	2.01722	
0.95	0.0168313	-1.51633	1.40664	-0.0191664	-1.37109	1.54504	0.0167681	-1.42397	1.40237	-0.0201305	-1.36682	1.45269	
0.975	0.0163317	-0.785535	1.40354	-0.0198161	-1.368	0.814251	0.0163161	-0.762647	1.40246	-0.0200601	-1.36692	0.791363	
1	0.0157872	0.011398	1.40234	-0.0200319	-1.3668	0.0173178	0.015787	0.0116746	1.40234	-0.0200319	-1.3668	0.0170412	
0	0.0157872	0.011398	1.40234	-0.0200319	-1.3668	0.0173178	0.015787	0.0116746	1.40234	-0.0200319	-1.3668	0.0170412	
0.025	0.0152581	0.785715	1.40198	-0.0200621	-1.36644	-0.756999	0.0152424	0.808622	1.40305	-0.0198181	-1.3675	-0.779907	
0.05	0.0148061	1.44703	1.40148	-0.0201341	-1.36593	-1.41831	0.0147429	1.53946	1.4057	-0.0191702	-1.37015	-1.51074	
0.075	0.01442	2.01154	1.40092	-0.0202293	-1.36535	-1.98283	0.0142764	2.22154	1.41028	-0.0180954	-1.37471	-2.19282	
0.1	0.0140904	2.49318	1.40033	-0.0203352	-1.36476	-2.46447	0.0138337	2.86834	1.41672	-0.0166163	-1.38114	-2.83962	
0.125	0.0138092	2.90386	1.39976	-0.0204434	-1.36417	-2.87514	0.0134078	3.48988	1.42491	-0.014769	-1.3893	-3.46116	
0.15	0.0135694	3.25376	1.39922	-0.0205487	-1.36362	-3.22504	0.012994	4.09309	1.43468	-0.0126007	-1.39905	-4.06438	
0.175	0.0133653	3.55156	1.39872	-0.0206477	-1.36311	-3.52284	0.0125893	4.68212	1.44584	-0.0101676	-1.41018	-4.65341	
0.2	0.0131916	3.80466	1.39827	-0.0207387	-1.36264	-3.77594	0.0121926	5.25862	1.45815	-0.00753286	-1.42245	-5.2299	
0.225	0.0130443	4.01933	1.39786	-0.0208209	-1.36223	-3.99061	0.0118042	5.82196	1.47133	-0.00476461	-1.4356	-5.79324	
0.25	0.0129196	4.2009	1.39751	-0.0208939	-1.36187	-4.17219	0.011426	6.36951	1.48507	-0.00193364	-1.4493	-6.3408	
0.275	0.0128145	4.35388	1.3972	-0.020958	-1.36155	-4.32516	0.011061	6.89693	1.49904	0.000888506	-1.46322	-6.86821	
0.3	0.0127265	4.48205	1.39693	-0.0210134	-1.36127	-4.45333	0.0107132	7.39838	1.51288	0.00363149	-1.47702	-7.36966	
