L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.40659	-5.31868	0	-217.89	153.33	
5.49451	-5.31868	0	-166.78	250.17	
5.49451	-5.31868	0	-328.18	134.5	
5.49451	-5.31868	0	-234.03	115.67	
5.40659	-5.40659	0	-255.55	53.8	
5.49451	-5.31868	0	-142.57	121.05	
5.40659	-5.31868	0	-266.31	121.05	
5.49451	-5.40659	0	-223.27	80.7	
5.49451	-5.31868	0	-287.83	121.05	
5.40659	-5.31868	0	-551.45	75.32	
5.40659	-5.40659	0	-234.03	134.5	
5.31868	-5.31868	0	-301.28	188.3	
5.40659	-5.31868	0	-347.01	61.87	
5.40659	-5.31868	0	-274.38	129.12	
5.40659	-5.31868	0	-215.2	169.47	
5.40659	-5.31868	0	-355.08	274.38	
5.31868	-5.23077	0	-188.3	61.87	
5.31868	-5.23077	0	-532.62	182.92	
5.31868	-5.23077	0	-306.66	75.32	
5.31868	-5.23077	0	-338.94	309.35	
5.31868	-5.23077	0	-478.82	53.8	
5.14286	-5.14286	0	-669.81	134.5	
5.14286	-5.14286	0	-244.79	207.13	
5.14286	-4.96703	0	-225.96	72.63	
5.05495	-4.96703	0	-338.94	188.3	
4.87912	-4.96703	0	-277.07	156.02	
4.79121	-4.79121	0	-217.89	301.28	
4.79121	-4.7033	0	-360.46	387.36	
4.7033	-4.52747	0	-252.86	72.63	
4.43956	-4.43956	0	-309.35	-139.88	
4.35165	-4.26374	0	-336.25	147.95	
4.26374	-4.08791	0	-182.92	225.96	
4	-3.91209	0	-2.69	220.58	
3.82418	-3.56044	0	-478.82	-59.18	
3.47253	-3.2967	0	-667.12	228.65	
3.12088	-3.03297	0	-465.37	5.38	
2.85714	-2.50549	0	-548.76	182.92	
2.32967	-2.06593	0	-1019.51	-137.19	
1.71429	-1.45055	0	-645.6	102.22	
1.0989	-0.835165	0	-613.32	317.42	
0.21978	-0.043956	0	-376.6	-126.43	
0.043956	-0.043956	0	-742.44	419.64	
-0.483516	0.571429	0	-169.47	505.72	
-1.18681	1.27473	0	-535.31	591.8	
-1.8022	1.97802	0	13.45	621.39	
-2.32967	2.32967	0	-325.49	8.07	
-2.85714	2.94505	0	145.26	314.73	
-3.12088	3.20879	0	-13.45	-150.64	
-3.56044	3.56044	0	40.35	-390.05	
-3.82418	3.91209	0	416.95	-376.6	
-4.08791	4.08791	0	586.42	-554.14	
-4.17582	4.35165	0	648.29	-586.42	
-4.35165	4.43956	0	656.36	-320.11	
-4.52747	4.52747	0	575.66	-263.62	
-4.7033	4.52747	0	381.98	-40.35	
-4.79121	4.61538	0	373.91	104.91	
-4.87912	4.61538	0	642.91	368.53	
-4.87912	4.61538	0	575.66	659.05	
-4.87912	4.61538	0	387.36	718.23	
-4.96703	4.61538	0	527.24	685.95	
-4.87912	4.61538	0	387.36	763.96	
-4.87912	4.7033	0	306.66	559.52	
-4.96703	4.61538	0	640.22	648.29	
-4.96703	4.7033	0	691.33	540.69	
-4.96703	4.61538	0	772.03	589.11	
-4.87912	4.61538	0	659.05	500.34	
-4.87912	4.61538	0	723.61	131.81	
-4.79121	4.61538	0	621.39	94.15	
-4.61538	4.52747	0	572.97	-204.44	
-4.52747	4.43956	0	618.7	-161.4	
-4.35165	4.43956	0	-207.13	26.9	
-4.17582	4.26374	0	-99.53	-578.35	
-3.91209	4.17582	0	-330.87	-828.52	
-3.64835	4	0	-368.53	-1191.67	
-3.38462	3.82418	0	-785.48	-1371.9	
-3.03297	3.64835	0	-416.95	-1662.42	
-2.76923	3.38462	0	-449.23	-2017.5	
-2.32967	3.38462	0	-629.46	-2041.71	
-1.97802	3.38462	0	-486.89	-1985.22	
-1.36264	2.85714	0	-481.51	-1993.29	
-0.747253	2.59341	0	-486.89	-1979.84	
0.043956	2.15385	0	-451.92	-2017.5	
0.21978	1.62637	0	-457.3	-1888.38	
0.923077	0.923077	0	-731.68	-1883	
1.71429	0.043956	0	-532.62	-1877.62	
2.32967	-0.923077	0	-745.13	-1729.67	
3.03297	-2.06593	0	-855.42	-1772.71	
3.64835	-3.03297	0	-766.65	-1363.83	
4.26374	-3.82418	0	-685.95	-895.77	
4.79121	-4.61538	0	-564.9	-704.78	
5.40659	-5.05495	0	-653.67	-602.56	
5.93407	-5.75824	0	-793.55	-925.36	
6.46154	-6.28571	0	-529.93	-707.47	
6.98901	-6.72527	0	-217.89	-694.02	
7.6044	-7.25275	0	-704.78	-798.93	
8.04396	-7.69231	0	-298.59	-306.66	
8.48352	-8.13187	0	-769.34	-815.07	
8.83516	-8.48352	0	-548.76	-874.25	
9.18681	-8.92308	0	-478.82	-599.87	
9.36264	-9.0989	0	-1043.72	-624.08	
9.62637	-9.36264	0	-734.37	-583.73	
9.8022	-9.36264	0	-731.68	-642.91	
9.8022	-9.45055	0	-718.23	-650.98	
9.8022	-9.36264	0	-737.06	-532.62	
9.71429	-9.27473	0	-1086.76	-554.14	
9.62637	-9.0989	0	-1237.4	10.76	
9.36264	-9.01099	0	-1393.42	-91.46	
9.27473	-8.57143	0	-1310.03	-360.46	
8.83516	-8.21978	0	-1433.77	-8.07	
8.30769	-7.78022	0	-1600.55	-88.77	
7.95604	-7.34066	0	-1632.83	-102.22	
7.42857	-6.9011	0	-1552.13	-99.53	
6.72527	-6.28571	0	-1678.56	-190.99	
6.28571	-5.75824	0	-1595.17	-121.05	
5.84615	-5.14286	0	-1441.84	-190.99	
5.23077	-4.61538	0	-1761.95	-373.91	
4.7033	-4	0	-1753.88	-454.61	
4.08791	-3.2967	0	-1804.99	-408.88	
3.47253	-2.68132	0	-1716.22	-747.82	
2.94505	-2.06593	0	-1788.85	-290.52	
2.32967	-1.36264	0	-1931.42	-161.4	
1.36264	-0.747253	0	-2090.13	-363.15	
0.659341	-0.043956	0	-1815.75	-581.04	
0.483516	0.131868	0	-1877.62	-392.74	
-0.043956	0.835165	0	-1971.77	-398.12	
-0.659341	1.53846	0	-1891.07	-422.33	
-1.27473	2.15385	0	-2001.36	-282.45	
-1.8022	2.50549	0	-2055.16	-758.58	
-2.32967	3.03297	0	-1600.55	-400.81	
-2.76923	3.38462	0	-1866.86	-398.12	
-3.12088	3.73626	0	-1627.45	-817.76	
-3.2967	4	0	-1393.42	-726.3	
-3.56044	4.26374	0	-1345	-850.04	
-3.73626	4.43956	0	-1320.79	-1258.92	
-3.91209	4.61538	0	-1049.1	-979.16	
-4.17582	4.7033	0	-1030.27	-968.4	
-4.26374	4.79121	0	-750.51	-618.7	
-4.43956	4.79121	0	-629.46	-790.86	
-4.61538	4.87912	0	-406.19	-780.1	
-4.7033	4.87912	0	-104.91	-836.59	
-4.7033	4.87912	0	-86.08	-390.05	
-4.87912	4.87912	0	282.45	-80.7	
-4.87912	4.87912	0	505.72	535.31	
-4.87912	4.79121	0	381.98	220.58	
-4.87912	4.79121	0	425.02	349.7	
-4.96703	4.7033	0	435.78	438.47	
-4.96703	4.61538	0	546.07	398.12	
-4.87912	4.61538	0	551.45	874.25	
-4.79121	4.61538	0	511.1	408.88	
-4.7033	4.52747	0	503.03	252.86	
-4.61538	4.43956	0	642.91	-137.19	
-4.52747	4.43956	0	492.27	-462.68	
-4.43956	4.43956	0	-833.9	161.4	
-4.08791	4.26374	0	-177.54	-710.16	
-3.91209	4.17582	0	-142.57	-941.5	
-3.64835	4	0	-503.03	-1006.06	
-3.47253	3.91209	0	-704.78	-1678.56	
-3.03297	3.73626	0	-473.44	-1982.53	
-2.85714	3.73626	0	-392.74	-1982.53	
-2.41758	3.73626	0	-634.84	-1993.29	
-1.89011	3.73626	0	-422.33	-1966.39	
-1.27473	3.73626	0	-511.1	-1977.15	
-0.747253	3.38462	0	-516.48	-1885.69	
0.043956	2.85714	0	-468.06	-1936.8	
0.21978	2.59341	0	-91.46	-1971.77	
0.923077	2.06593	0	-715.54	-1775.4	
1.71429	1.0989	0	-266.31	-1931.42	
2.32967	0.307692	0	-882.32	-1802.3	
3.12088	-0.747253	0	-538	-1675.87	
3.64835	-2.15385	0	-312.04	-1740.43	
4.26374	-3.47253	0	-645.6	-1670.49	
4.79121	-4.35165	0	-640.22	-879.63	
5.31868	-5.14286	0	-621.39	-761.27	
5.93407	-5.84615	0	-685.95	-527.24	
6.37363	-6.1978	0	-583.73	-494.96	
6.9011	-6.72527	0	-909.22	-702.09	
7.6044	-7.34066	0	-500.34	-602.56	
7.95604	-7.86813	0	-282.45	-398.12	
8.48352	-8.21978	0	-672.5	-675.19	
8.74725	-8.48352	0	-893.08	-538	
9.0989	-8.92308	0	-465.37	-538	
9.36264	-9.18681	0	-745.13	-634.84	
9.62637	-9.36264	0	-728.99	-433.09	
9.71429	-9.36264	0	-739.75	-513.79	
9.8022	-9.45055	0	-742.44	-653.67	
9.8022	-9.45055	0	-731.68	-572.97	
9.8022	-9.36264	0	-1065.24	-384.67	
9.62637	-9.18681	0	-1433.77	18.83	
9.36264	-9.01099	0	-1412.25	-129.12	
9.0989	-8.57143	0	-936.12	-376.6	
8.83516	-8.21978	0	-1455.29	-102.22	
8.30769	-7.78022	0	-1568.27	-225.96	
7.86813	-7.34066	0	-1627.45	-172.16	
7.34066	-6.81319	0	-1743.12	-188.3	
