L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
10.2418	-10.2418	0	-123.74	-37.66	
10.2418	-10.2418	0	-223.27	-34.97	
10.2418	-10.2418	0	-24.21	-34.97	
10.2418	-10.2418	0	-86.08	-34.97	
10.2418	-10.2418	0	-40.35	48.42	
10.2418	-10.1538	0	-336.25	0	
10.1538	-10.1538	0	-169.47	-18.83	
10.1538	-10.1538	0	-115.67	56.49	
10.1538	-10.0659	0	-373.91	139.88	
9.97802	-9.97802	0	-40.35	285.14	
9.97802	-9.89011	0	-26.9	260.93	
9.97802	-9.8022	0	185.61	24.21	
9.8022	-9.71429	0	-279.76	5.38	
9.62637	-9.62637	0	-29.59	129.12	
9.53846	-9.36264	0	-121.05	-330.87	
9.53846	-9.27473	0	306.66	24.21	
9.27473	-9.18681	0	-13.45	-258.24	
9.01099	-8.92308	0	-78.01	107.6	
8.74725	-8.65934	0	-1188.98	-785.48	
8.48352	-8.21978	0	75.32	347.01	
7.95604	-8.04396	0	-532.62	-309.35	
8.13187	-7.95604	0	32.28	-123.74	
7.69231	-7.69231	0	-1355.76	-309.35	
7.25275	-7.07692	0	556.83	94.15	
6.72527	-6.72527	0	-871.56	-355.08	
6.10989	-6.02198	0	5.38	-112.98	
5.67033	-5.49451	0	13.45	107.6	
5.05495	-4.87912	0	-115.67	-158.71	
4.17582	-4.17582	0	-572.97	-430.4	
3.91209	-3.47253	0	790.86	2.69	
2.85714	-2.68132	0	147.95	-126.43	
2.24176	-2.06593	0	-1059.86	-112.98	
1.53846	-1.45055	0	395.43	-247.48	
0.835165	-0.659341	0	-158.71	-156.02	
0.21978	-0.043956	0	365.84	-274.38	
-0.307692	0.659341	0	416.95	-24.21	
-1.27473	1.36264	0	-468.06	-476.13	
-1.71429	1.97802	0	648.29	-236.72	
-2.41758	2.50549	0	-688.64	-295.9	
-2.85714	3.20879	0	295.9	-145.26	
-3.47253	3.64835	0	61.87	-416.95	
-3.91209	4.08791	0	24.21	-497.65	
-4	4.08791	0	45.73	-438.47	
-4.26374	4.43956	0	301.28	-997.99	
-4.61538	4.7033	0	-145.26	-242.1	
-4.87912	4.96703	0	390.05	-10.76	
-5.05495	5.23077	0	204.44	-960.33	
-5.14286	5.40659	0	831.21	-879.63	
-5.49451	5.49451	0	-32.28	-470.75	
-5.58242	5.58242	0	416.95	88.77	
-5.67033	5.58242	0	271.69	255.55	
-5.67033	5.49451	0	220.58	365.84	
-5.67033	5.49451	0	102.22	392.74	
-5.58242	5.49451	0	172.16	645.6	
-5.58242	5.40659	0	398.12	605.25	
-5.58242	5.31868	0	-207.13	871.56	
-5.40659	5.23077	0	274.38	968.4	
-5.31868	5.05495	0	258.24	352.39	
-5.05495	4.87912	0	234.03	134.5	
-4.87912	4.7033	0	-164.09	-40.35	
-4.52747	4.61538	0	-80.7	-83.39	
-4.43956	4.35165	0	188.3	-618.7	
-4.08791	4.08791	0	142.57	-494.96	
-4	4.08791	0	341.63	-780.1	
-3.64835	3.82418	0	37.66	-1172.84	
-3.20879	3.38462	0	182.92	-1213.19	
-2.68132	2.94505	0	656.36	-1205.12	
-2.06593	2.41758	0	349.7	-1527.92	
-1.53846	1.71429	0	215.2	-1675.87	
-0.923077	1.18681	0	637.53	-1401.49	
-0.131868	0.483516	0	139.88	-1275.06	
0.395604	-0.307692	0	260.93	-1094.83	
1.0989	-1.0989	0	-29.59	-524.55	
1.8022	-1.89011	0	56.49	-325.49	
2.68132	-2.68132	0	317.42	-546.07	
3.2967	-3.38462	0	172.16	390.05	
3.91209	-4.08791	0	-94.15	29.59	
4.43956	-4.61538	0	-435.78	-61.87	
5.23077	-5.14286	0	-86.08	32.28	
5.75824	-5.93407	0	723.61	169.47	
6.1978	-6.37363	0	-1592.48	-223.27	
6.81319	-6.9011	0	562.21	190.99	
7.16484	-7.25275	0	-1377.28	67.25	
8.04396	-7.69231	0	392.74	317.42	
7.51648	-7.69231	0	-801.62	322.8	
8.04396	-8.13187	0	-277.07	-250.17	
8.30769	-8.30769	0	-255.55	-99.53	
8.74725	-8.57143	0	-750.51	-809.69	
8.92308	-8.83516	0	67.25	-486.89	
9.0989	-9.0989	0	-527.24	-153.33	
