L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
4.96703	-5.05495	0	363.15	-142.57	
4.96703	-5.05495	0	363.15	-142.57	
4.96703	-5.05495	0	363.15	-142.57	
4.96703	-5.05495	0	357.77	-139.88	
4.96703	-5.05495	0	360.46	-139.88	
4.96703	-5.05495	0	360.46	-139.88	
4.87912	-5.05495	0	363.15	-142.57	
4.96703	-5.05495	0	363.15	-147.95	
4.96703	-4.96703	0	357.77	-139.88	
4.96703	-4.96703	0	357.77	-139.88	
4.96703	-4.96703	0	363.15	-139.88	
4.96703	-4.96703	0	193.68	-139.88	
4.96703	-4.96703	0	236.72	-139.88	
4.96703	-4.96703	0	271.69	-156.02	
4.96703	-4.96703	0	177.54	-158.71	
4.96703	-4.96703	0	199.06	13.45	
4.96703	-4.96703	0	126.43	-83.39	
4.87912	-4.96703	0	156.02	-5.38	
4.87912	-4.96703	0	166.78	26.9	
4.87912	-4.87912	0	-10.76	18.83	
4.79121	-4.79121	0	2.69	-72.63	
4.7033	-4.79121	0	147.95	-13.45	
4.61538	-4.7033	0	196.37	-137.19	
4.61538	-4.52747	0	156.02	69.94	
4.61538	-4.52747	0	-5.38	112.98	
4.35165	-4.43956	0	-91.46	-285.14	
4.26374	-4.35165	0	161.4	64.56	
4.17582	-4.08791	0	150.64	-86.08	
4	-4	0	158.71	51.11	
3.91209	-3.82418	0	153.33	-16.14	
3.64835	-3.64835	0	166.78	-34.97	
3.47253	-3.38462	0	83.39	24.21	
3.03297	-3.12088	0	-37.66	10.76	
2.68132	-2.85714	0	180.23	8.07	
2.32967	-2.24176	0	59.18	26.9	
1.97802	-1.89011	0	123.74	8.07	
1.36264	-1.27473	0	166.78	-88.77	
0.747253	-0.659341	0	231.34	2.69	
0.043956	0.043956	0	53.8	48.42	
-0.835165	1.01099	0	18.83	-13.45	
-1.89011	2.06593	0	349.7	-234.03	
-1.97802	2.06593	0	182.92	32.28	
-2.85714	3.03297	0	86.08	-247.48	
-3.73626	4	0	236.72	-395.43	
-4.52747	4.7033	0	390.05	-511.1	
-5.23077	5.40659	0	309.35	-548.76	
-5.75824	6.10989	0	446.54	-669.81	
-6.28571	6.46154	0	508.41	-820.45	
-6.72527	6.9011	0	785.48	-852.73	
-7.07692	7.25275	0	825.83	-828.52	
-7.42857	7.6044	0	815.07	-930.74	
-7.69231	7.86813	0	634.84	-928.05	
-7.86813	8.04396	0	807	-874.25	
-8.04396	8.13187	0	782.79	-564.9	
-8.21978	8.30769	0	1100.21	-898.46	
-8.30769	8.3956	0	995.3	-758.58	
-8.3956	8.3956	0	957.64	-548.76	
-8.3956	8.30769	0	766.65	-279.76	
-8.57143	8.30769	0	720.92	-142.57	
-8.74725	8.21978	0	769.34	64.56	
-8.65934	8.30769	0	594.49	295.9	
-8.74725	8.13187	0	758.58	290.52	
-8.74725	8.21978	0	772.03	309.35	
-8.74725	8.21978	0	785.48	293.21	
-8.74725	8.21978	0	777.41	295.9	
-8.74725	8.13187	0	777.41	301.28	
-8.74725	8.21978	0	772.03	303.97	
-8.74725	8.21978	0	777.41	384.67	
-8.65934	8.21978	0	766.65	371.22	
-8.74725	8.21978	0	769.34	303.97	
-8.74725	8.21978	0	785.48	338.94	
-8.74725	8.21978	0	669.81	301.28	
-8.65934	8.21978	0	607.94	301.28	
-8.65934	8.21978	0	583.73	172.16	
-8.65934	8.30769	0	589.11	86.08	
-8.57143	8.30769	0	454.61	102.22	
-8.57143	8.30769	0	357.77	75.32	
-8.57143	8.30769	0	379.29	-5.38	
-8.57143	8.30769	0	379.29	45.73	
-8.57143	8.30769	0	317.42	59.18	
-8.57143	8.3956	0	355.08	-88.77	
-8.57143	8.3956	0	172.16	86.08	
-8.30769	8.30769	0	161.4	75.32	
-8.3956	8.30769	0	164.09	336.25	
-8.3956	8.21978	0	201.75	591.8	
-8.3956	8.04396	0	166.78	449.23	
-8.57143	8.30769	0	190.99	478.82	
-8.57143	8.3956	0	355.08	772.03	
-8.57143	8.3956	0	360.46	995.3	
-8.57143	7.95604	0	269	347.01	
-8.57143	7.78022	0	303.97	-43.04	
-8.57143	8.04396	0	303.97	-478.82	
-8.57143	8.21978	0	330.87	-1124.42	
-8.57143	8.57143	0	347.01	-847.35	
-8.57143	8.92308	0	352.39	-75.32	
-8.57143	8.83516	0	344.32	607.94	
-8.57143	8.3956	0	333.56	172.16	
-8.57143	8.30769	0	373.91	16.14	
-8.57143	8.3956	0	376.6	118.36	
-8.57143	8.30769	0	379.29	99.53	
-8.57143	8.30769	0	381.98	104.91	
-8.57143	8.21978	0	387.36	147.95	
-8.57143	8.21978	0	486.89	217.89	
-8.65934	8.21978	0	578.35	252.86	
-8.65934	8.21978	0	591.8	309.35	
-8.65934	8.21978	0	591.8	309.35	
-8.65934	8.21978	0	618.7	312.04	
-8.65934	8.21978	0	704.78	317.42	
-8.74725	8.21978	0	777.41	287.83	
-8.74725	8.21978	0	798.93	314.73	
-8.74725	8.21978	0	796.24	314.73	
-8.74725	8.21978	0	798.93	317.42	
-8.74725	8.21978	0	790.86	314.73	
-8.74725	8.21978	0	879.63	317.42	
-8.74725	8.21978	0	796.24	317.42	
-8.74725	8.21978	0	804.31	317.42	
-8.74725	8.21978	0	812.38	317.42	
-8.74725	8.21978	0	801.62	320.11	
-8.74725	8.21978	0	804.31	199.06	
-8.74725	8.30769	0	801.62	67.25	
-8.74725	8.3956	0	839.28	102.22	
-8.74725	8.30769	0	804.31	-40.35	
-8.74725	8.3956	0	801.62	-104.91	
-8.74725	8.3956	0	804.31	-196.37	
-8.74725	8.48352	0	807	-328.18	
-8.74725	8.48352	0	815.07	-352.39	
-8.74725	8.48352	0	801.62	-376.6	
-8.74725	8.57143	0	911.91	-529.93	
-8.83516	8.57143	0	868.87	-535.31	
-8.83516	8.57143	0	895.77	-540.69	
-8.74725	8.57143	0	831.21	-629.46	
-8.83516	8.65934	0	796.24	-739.75	
-8.74725	8.65934	0	796.24	-694.02	
-8.74725	8.65934	0	766.65	-734.37	
-8.74725	8.65934	0	871.56	-739.75	
-8.74725	8.65934	0	798.93	-734.37	
-8.74725	8.65934	0	758.58	-731.68	
-8.74725	8.65934	0	780.1	-737.06	
-8.74725	8.65934	0	790.86	-812.38	
-8.74725	8.74725	0	798.93	-820.45	
-8.74725	8.65934	0	825.83	-772.03	
-8.74725	8.65934	0	790.86	-780.1	
-8.74725	8.74725	0	796.24	-796.24	
-8.74725	8.65934	0	790.86	-871.56	
-8.74725	8.74725	0	788.17	-847.35	
-8.74725	8.74725	0	790.86	-922.67	
-8.74725	8.74725	0	731.68	-798.93	
-8.74725	8.74725	0	691.33	-772.03	
-8.74725	8.74725	0	677.88	-769.34	
-8.74725	8.74725	0	669.81	-782.79	
-8.74725	8.74725	0	677.88	-774.72	
-8.74725	8.74725	0	715.54	-812.38	
-8.74725	8.65934	0	712.85	-718.23	
-8.74725	8.65934	0	726.3	-712.85	
-8.74725	8.65934	0	715.54	-667.12	
-8.74725	8.65934	0	737.06	-677.88	
-8.74725	8.65934	0	742.44	-559.52	
-8.74725	8.65934	0	761.27	-589.11	
-8.83516	8.57143	0	774.72	-597.18	
-8.74725	8.57143	0	812.38	-556.83	
-8.74725	8.57143	0	815.07	-548.76	
-8.74725	8.57143	0	812.38	-556.83	
-8.74725	8.57143	0	812.38	-567.59	
-8.74725	8.57143	0	809.69	-559.52	
-8.74725	8.57143	0	809.69	-556.83	
-8.74725	8.57143	0	807	-551.45	
-8.74725	8.57143	0	809.69	-556.83	
-8.74725	8.57143	0	812.38	-556.83	
-8.74725	8.57143	0	815.07	-556.83	
-8.74725	8.57143	0	817.76	-562.21	
-8.74725	8.57143	0	817.76	-554.14	
-8.74725	8.57143	0	815.07	-538	
-8.74725	8.48352	0	823.14	-387.36	
-8.74725	8.48352	0	817.76	-427.71	
-8.74725	8.48352	0	817.76	-344.32	
-8.74725	8.3956	0	820.45	-204.44	
-8.74725	8.3956	0	817.76	-150.64	
-8.74725	8.3956	0	825.83	-112.98	
-8.74725	8.30769	0	817.76	-34.97	
-8.74725	8.30769	0	823.14	45.73	
-8.74725	8.30769	0	823.14	91.46	
-8.74725	8.30769	0	825.83	75.32	
-8.74725	8.30769	0	839.28	86.08	
-8.74725	8.30769	0	823.14	88.77	
-8.74725	8.30769	0	820.45	88.77	
-8.74725	8.30769	0	863.49	86.08	
-8.74725	8.30769	0	817.76	88.77	
-8.74725	8.30769	0	820.45	86.08	
-8.74725	8.30769	0	815.07	72.63	
-8.74725	8.30769	0	820.45	91.46	
-8.74725	8.30769	0	817.76	91.46	
-8.74725	8.30769	0	860.8	91.46	
-8.74725	8.30769	0	825.83	91.46	
-8.74725	8.30769	0	817.76	94.15	
-8.74725	8.21978	0	825.83	115.67	
-8.74725	8.21978	0	817.76	153.33	
-8.74725	8.21978	0	817.76	290.52	
-8.74725	8.21978	0	817.76	290.52	
-8.74725	8.21978	0	820.45	295.9	
-8.74725	8.21978	0	828.52	293.21	
-8.74725	8.21978	0	828.52	295.9	
-8.74725	8.21978	0	876.94	293.21	
-8.74725	8.21978	0	833.9	293.21	
-8.74725	8.21978	0	831.21	317.42	
-8.74725	8.21978	0	839.28	295.9	
-8.74725	8.21978	0	828.52	298.59	
-8.74725	8.21978	0	895.77	301.28	
-8.74725	8.21978	0	833.9	298.59	
-8.74725	8.21978	0	825.83	363.15	
-8.74725	8.21978	0	825.83	303.97	
-8.74725	8.21978	0	841.97	298.59	
-8.74725	8.21978	0	852.73	314.73	
-8.83516	8.21978	0	928.05	301.28	
-8.74725	8.21978	0	928.05	298.59	
-8.74725	8.21978	0	893.08	298.59	
-8.74725	8.21978	0	836.59	295.9	
-8.74725	8.21978	0	828.52	298.59	
-8.74725	8.21978	0	871.56	301.28	
-8.74725	8.21978	0	909.22	336.25	
-8.74725	8.21978	0	839.28	312.04	
