L_C_roll	L_A_roll	L_Linear	
0	0	-0.011889	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0121639	
0	0	-0.0117515	
0	0	-0.0122326	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120951	
0	0	-0.0120264	
0	0	-0.0120264	
0	0	-0.0119577	
0	0	-0.01237	
0	0	-0.0116141	
0	0	-0.0116828	
0	0	-0.0114079	
0	0	-0.0109956	
0	0	-0.0109269	
0	0	-0.0107894	
0	0	-0.0107207	
0	0	-0.0105145	
0	0	-0.0105832	
0	0	-0.00955241	
0	0	-0.00955241	
0	0	-0.00955241	
0	0	-0.00948368	
0	0	-0.00914007	
0	0	-0.00865901	
0	0	-0.00872774	
0	0	-0.00859029	
0	0	-0.00824668	
0	0	-0.00762818	
0	0	-0.00735329	
0	0	-0.00749073	
0	0	-0.00728457	
0	0	-0.00804051	
0	0	-0.00804051	
0	0	-0.0058414	
0	0	-0.00570395	
0	0	-0.00591012	
0	0	-0.00570395	
0	0	-0.00652862	
0	0	-0.00618501	
0	0	-0.00618501	
0	0	-0.00501673	
0	0	-0.00515418	
0	0	-0.0052229	
0	0	-0.00563523	
0	0	-0.00618501	
0	0	-0.00604757	
0	0	-0.00439823	
0	0	-0.00446695	
0	0	-0.00529162	
0	0	-0.00536034	
0	0	-0.00529162	
0	0	-0.00494801	
0	0	-0.00549779	
0	0	-0.00591012	
0	0	-0.00611629	
0	0	-0.00611629	
0	0	-0.00618501	
0	0	-0.0064599	
0	0	-0.00714712	
0	0	-0.00810924	
0	0	-0.00900263	
0	0	-0.00920879	
0	0	-0.00920879	
0	0	-0.00920879	
0	0	-0.00920879	
0	0	-0.00920879	
0	0	-0.00920879	
0	0	-0.00927752	
0	0	-0.00934624	
0	0	-0.00955241	
0	0	-0.00989602	
0	0	-0.0100335	
0	0	-0.00982729	
0	0	-0.0102396	
0	0	-0.0107207	
0	0	-0.0114766	
0	0	-0.0127136	
0	0	-0.0137445	
0	0	-0.0147066	
0	0	-0.0153938	
0	0	-0.016081	
0	0	-0.0166308	
0	0	-0.0172493	
0	0	-0.0181427	
0	0	-0.0186925	
0	0	-0.0190361	
0	0	-0.0194484	
0	0	-0.0204793	
0	0	-0.0208916	
0	0	-0.0209603	
0	0	-0.0211665	
0	0	-0.0215101	
0	0	-0.021785	
0	0	-0.021785	
0	0	-0.021785	
0	0	-0.0215101	
0	0	-0.0217163	
0	0	-0.0217163	
0	0	-0.0217163	
0	0	-0.0216475	
0	0	-0.0214414	
0	0	-0.0208916	
0	0	-0.0202044	
0	0	-0.019311	
0	0	-0.0182114	
0	0	-0.0169057	
0	0	-0.0157374	
0	0	-0.0147753	
0	0	-0.0129198	
0	0	-0.0120951	
0	0	-0.0105832	
0	0	-0.00996474	
0	0	-0.00859029	
0	0	-0.00776562	
0	0	-0.00714712	
0	0	-0.00604757	
0	0	-0.00549779	
0	0	-0.0046044	
0	0	-0.00405462	
0	0	-0.00322995	
0	0	-0.00240528	
0	0	-0.00103084	
0	0	6.87223e-05	
0	0	0.00144317	
0	0	0.00240528	
0	0	0.00350484	
0	0	0.00474184	
0	0	0.00597884	
0	0	0.00735329	
0	0	0.00920879	
0	0	0.0109956	
0	0	0.0123013	
0	0	0.0141568	
0	0	0.0151189	
0	0	0.0164934	
0	0	0.0173868	
0	0	0.0182114	
0	0	0.0190361	
0	0	0.0198608	
0	0	0.0207541	
0	0	0.0212352	
0	0	0.0224722	
0	0	0.0233656	
0	0	0.0245339	
0	0	0.0263207	
0	0	0.0274889	
0	0	0.0283823	
0	0	0.0301004	
0	0	0.0315436	
0	0	0.0321621	
0	0	0.0327118	
0	0	0.0333991	
0	0	0.0339488	
0	0	0.0346361	
0	0	0.0349109	
0	0	0.0353233	
0	0	0.0355294	
0	0	0.0350484	
0	0	0.0351858	
0	0	0.0351858	
0	0	0.0345673	
0	0	0.0340176	
0	0	0.034155	
0	0	0.0332616	
0	0	0.0327118	
0	0	0.0326431	
0	0	0.0318184	
0	0	0.0312687	
0	0	0.0306502	
0	0	0.0297568	
0	0	0.0290008	
0	0	0.028451	
0	0	0.0276264	
0	0	0.0262519	
0	0	0.0253585	
0	0	0.0243964	
0	0	0.0234343	
0	0	0.0225409	
0	0	0.0206854	
0	0	0.0190361	
0	0	0.0178678	
0	0	0.0164934	
0	0	0.0152564	
0	0	0.0140194	
0	0	0.0127136	
0	0	0.0112705	
