time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.01	0.00962608	8.95803	1.38347	-0.0239818	-1.34747	-8.92931	0.0124175	4.93131	1.39594	-0.0212206	-1.36026	-4.90259	
0.02	0.00962647	8.95747	1.38347	-0.0239813	-1.34747	-8.92876	0.0124179	4.93074	1.39594	-0.0212204	-1.36026	-4.90203	
0.03	0.00962711	8.95655	1.38347	-0.0239805	-1.34747	-8.92783	0.0124185	4.9298	1.39594	-0.0212199	-1.36027	-4.90108	
0.04	0.00962803	8.95525	1.38348	-0.0239793	-1.34748	-8.92653	0.0124194	4.92847	1.39595	-0.0212193	-1.36027	-4.89976	
0.05	0.0096292	8.95356	1.38349	-0.0239778	-1.34749	-8.92485	0.0124206	4.92676	1.39595	-0.0212184	-1.36027	-4.89805	
0.06	0.00963065	8.95149	1.38349	-0.023976	-1.34749	-8.92278	0.0124221	4.92466	1.39595	-0.0212174	-1.36028	-4.89594	
0.07	0.00963238	8.94903	1.3835	-0.0239738	-1.3475	-8.92031	0.0124238	4.92215	1.39596	-0.0212162	-1.36028	-4.89343	
0.08	0.00963438	8.94616	1.38351	-0.0239712	-1.34751	-8.91744	0.0124258	4.91923	1.39597	-0.0212148	-1.36029	-4.89051	
0.09	0.00963668	8.94287	1.38353	-0.0239683	-1.34753	-8.91415	0.0124281	4.91588	1.39597	-0.0212132	-1.3603	-4.88717	
0.1	0.00963928	8.93916	1.38354	-0.023965	-1.34754	-8.91044	0.0124307	4.91211	1.39598	-0.0212114	-1.36031	-4.88339	
0.11	0.00964219	8.935	1.38356	-0.0239613	-1.34756	-8.90628	0.0124336	4.90788	1.39599	-0.0212093	-1.36032	-4.87916	
0.12	0.00964541	8.93038	1.38358	-0.0239572	-1.34758	-8.90167	0.0124368	4.90318	1.396	-0.0212071	-1.36033	-4.87447	
0.13	0.00964897	8.92529	1.3836	-0.0239527	-1.3476	-8.89658	0.0124404	4.898	1.39602	-0.0212046	-1.36034	-4.86929	
0.14	0.00965288	8.9197	1.38362	-0.0239478	-1.34762	-8.89099	0.0124443	4.89232	1.39603	-0.0212019	-1.36035	-4.8636	
0.15	0.00965715	8.9136	1.38364	-0.0239423	-1.34764	-8.88488	0.0124486	4.88611	1.39604	-0.0211989	-1.36037	-4.85739	
0.16	0.0096618	8.90695	1.38367	-0.0239364	-1.34767	-8.87823	0.0124533	4.87935	1.39606	-0.0211957	-1.36038	-4.85063	
0.17	0.00966685	8.89973	1.3837	-0.0239301	-1.3477	-8.87102	0.0124583	4.87201	1.39607	-0.0211921	-1.3604	-4.84329	
0.18	0.00967231	8.89192	1.38373	-0.0239232	-1.34773	-8.86321	0.0124638	4.86406	1.39609	-0.0211884	-1.36042	-4.83535	
0.19	0.0096782	8.88349	1.38376	-0.0239157	-1.34776	-8.85478	0.0124697	4.85549	1.39611	-0.0211843	-1.36044	-4.82677	
0.2	0.00968456	8.8744	1.38379	-0.0239077	-1.3478	-8.84568	0.012476	4.84624	1.39613	-0.0211799	-1.36046	-4.81752	
0.21	0.0096914	8.86461	1.38383	-0.0238991	-1.34784	-8.8359	0.0124829	4.83629	1.39616	-0.0211752	-1.36048	-4.80757	
0.22	0.00969875	8.8541	1.38387	-0.0238898	-1.34788	-8.82538	0.0124902	4.82559	1.39618	-0.0211701	-1.36051	-4.79688	
0.23	0.00970664	8.84282	1.38392	-0.0238799	-1.34793	-8.8141	0.0124981	4.81412	1.39621	-0.0211647	-1.36053	-4.7854	
0.24	0.0097151	8.83072	1.38396	-0.0238692	-1.34797	-8.802	0.0125066	4.80181	1.39623	-0.0211589	-1.36056	-4.7731	
0.25	0.00972415	8.81775	1.38401	-0.0238579	-1.34802	-8.78904	0.0125157	4.78863	1.39626	-0.0211527	-1.36059	-4.75992	
0.26	0.00973385	8.80388	1.38407	-0.0238457	-1.34808	-8.77517	0.0125254	4.77452	1.39629	-0.0211461	-1.36062	-4.74581	
0.27	0.00974422	8.78904	1.38412	-0.0238328	-1.34814	-8.76033	0.0125357	4.75944	1.39633	-0.021139	-1.36066	-4.73072	
0.28	0.0097553	8.77319	1.38418	-0.0238189	-1.3482	-8.74447	0.0125468	4.74331	1.39636	-0.0211315	-1.3607	-4.7146	
0.29	0.00976714	8.75624	1.38425	-0.0238042	-1.34827	-8.72753	0.0125587	4.72608	1.3964	-0.0211235	-1.36073	-4.69737	
0.3	0.00977978	8.73815	1.38432	-0.0237884	-1.34834	-8.70944	0.0125713	4.70769	1.39644	-0.021115	-1.36078	-4.67897	
0.31	0.00979327	8.71884	1.38439	-0.0237717	-1.34841	-8.69012	0.0125848	4.68806	1.39648	-0.021106	-1.36082	-4.65934	
0.32	0.00980766	8.69824	1.38447	-0.0237539	-1.34849	-8.66952	0.0125992	4.66711	1.39653	-0.0210964	-1.36087	-4.63839	
0.33	0.00982301	8.67626	1.38455	-0.0237349	-1.34858	-8.64754	0.0126146	4.64476	1.39658	-0.0210862	-1.36092	-4.61605	
0.34	0.00983938	8.65282	1.38464	-0.0237147	-1.34867	-8.62411	0.012631	4.62094	1.39663	-0.0210754	-1.36097	-4.59223	
0.35	0.00985683	8.62784	1.38473	-0.0236933	-1.34877	-8.59912	0.0126484	4.59554	1.39669	-0.0210639	-1.36103	-4.56683	
0.36	0.00987542	8.6012	1.38483	-0.0236705	-1.34887	-8.57249	0.0126671	4.56847	1.39674	-0.0210517	-1.36109	-4.53976	
0.37	0.00989523	8.57282	1.38494	-0.0236463	-1.34898	-8.54411	0.0126869	4.53963	1.39681	-0.0210389	-1.36115	-4.51091	
0.38	0.00991634	8.54258	1.38505	-0.0236206	-1.3491	-8.51387	0.012708	4.5089	1.39687	-0.0210253	-1.36122	-4.48018	
0.39	0.00993882	8.51037	1.38517	-0.0235934	-1.34922	-8.48165	0.0127305	4.47616	1.39694	-0.0210109	-1.36129	-4.44744	
0.4	0.00996277	8.47605	1.3853	-0.0235645	-1.34935	-8.44734	0.0127545	4.44129	1.39701	-0.0209956	-1.36136	-4.41257	
0.41	0.00998827	8.4395	1.38544	-0.0235338	-1.34949	-8.41078	0.01278	4.40415	1.39709	-0.0209795	-1.36144	-4.37544	
0.42	0.0100154	8.40057	1.38558	-0.0235013	-1.34964	-8.37185	0.0128072	4.3646	1.39717	-0.0209626	-1.36153	-4.33589	
0.43	0.0100443	8.35911	1.38573	-0.0234668	-1.34979	-8.3304	0.0128361	4.32249	1.39726	-0.0209447	-1.36161	-4.29377	
0.44	0.0100751	8.31497	1.38589	-0.0234303	-1.34996	-8.28625	0.0128669	4.27765	1.39735	-0.0209258	-1.36171	-4.24893	
0.45	0.0101079	8.26796	1.38607	-0.0233917	-1.35013	-8.23925	0.0128997	4.22991	1.39745	-0.0209059	-1.36181	-4.20119	
0.46	0.0101428	8.21791	1.38625	-0.0233508	-1.35032	-8.1892	0.0129346	4.17908	1.39755	-0.020885	-1.36191	-4.15037	
0.47	0.0101799	8.16462	1.38644	-0.0233075	-1.35052	-8.13591	0.0129718	4.12497	1.39766	-0.020863	-1.36202	-4.09626	
0.48	0.0102194	8.10789	1.38664	-0.0232618	-1.35072	-8.07917	0.0130113	4.06738	1.39777	-0.0208399	-1.36214	-4.03866	
