L_C_roll	L_A_roll	L_Linear	
3.2967	-3.2967	0.00597884	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.20879	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.20879	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.20879	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.20879	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.20879	-0.0204105	
3.2967	-3.2967	-0.0206167	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.2967	-3.2967	-0.0204105	
3.20879	-3.20879	-0.0204105	
3.12088	-3.12088	-0.0204105	
3.03297	-3.03297	-0.0203418	
2.85714	-2.85714	-0.0203418	
2.59341	-2.50549	-0.0203418	
2.32967	-2.32967	-0.0203418	
2.15385	-2.06593	-0.0203418	
1.8022	-1.71429	-0.0203418	
1.36264	-1.36264	-0.0203418	
0.923077	-0.835165	-0.0203418	
0.483516	-0.483516	-0.0201356	
-0.043956	0.131868	-0.0199295	
-0.659341	0.835165	-0.0193797	
-1.36264	1.45055	-0.019311	
-1.97802	1.97802	-0.0193797	
-2.41758	2.50549	-0.0193797	
-2.85714	3.03297	-0.0193797	
-3.56044	3.64835	-0.0193797	
-4.17582	4.26374	-0.0194484	
-4.79121	4.87912	-0.0197233	
-5.40659	5.40659	-0.0197233	
-5.84615	5.84615	-0.0195859	
-6.1978	6.28571	-0.0195859	
-6.54945	6.54945	-0.0202044	
-6.81319	6.9011	-0.0204793	
-7.16484	7.25275	-0.0204793	
-7.51648	7.51648	-0.020548	
-7.69231	7.69231	-0.020548	
-7.86813	7.86813	-0.020548	
