L_C_roll	L_A_roll	L_Linear	L_C_roll_c	L_A_roll_c	
5.05495	-5.05495	0	-5.38	10.76	
5.05495	-5.05495	0	-0	-64.56	
5.05495	-5.05495	0	-0	-10.76	
5.05495	-5.05495	0	-0	-24.21	
5.05495	-5.05495	0	-0	18.83	
5.05495	-5.05495	0	-0	-59.18	
5.05495	-5.05495	0	-0	-24.21	
5.05495	-5.05495	0	-0	26.9	
5.05495	-5.05495	0	-0	-75.32	
5.05495	-4.96703	0	-0	-37.66	
5.05495	-4.96703	0	-0	0	
5.05495	-4.96703	0	-147.95	-29.59	
4.96703	-4.96703	0	-5.38	-59.18	
4.96703	-5.05495	0	-0	-64.56	
4.96703	-4.96703	0	-0	-8.07	
4.96703	-4.96703	0	-0	53.8	
4.96703	-4.87912	0	-147.95	45.73	
4.87912	-4.87912	0	-48.42	24.21	
4.87912	-4.87912	0	-0	67.25	
4.87912	-4.87912	0	-145.26	43.04	
4.79121	-4.7033	0	-209.82	-40.35	
4.7033	-4.7033	0	-5.38	-32.28	
4.61538	-4.79121	0	-61.87	-37.66	
4.61538	-4.52747	0	-45.73	115.67	
4.61538	-4.43956	0	-150.64	64.56	
4.43956	-4.35165	0	-201.75	40.35	
4.35165	-4.35165	0	-0	137.19	
4.17582	-4.08791	0	-16.14	-48.42	
4.08791	-4	0	16.14	102.22	
3.91209	-3.73626	0	37.66	-59.18	
3.64835	-3.64835	0	26.9	-134.5	
3.47253	-3.38462	0	-51.11	-18.83	
3.03297	-3.03297	0	-166.78	56.49	
2.85714	-2.68132	0	-88.77	-88.77	
2.41758	-2.24176	0	61.87	10.76	
1.97802	-1.8022	0	-56.49	13.45	
1.45055	-1.27473	0	-29.59	26.9	
0.835165	-0.659341	0	80.7	21.52	
0.043956	0.043956	0	-61.87	18.83	
-0.835165	0.923077	0	-32.28	26.9	
-1.8022	1.97802	0	51.11	-258.24	
-2.06593	1.97802	0	-45.73	75.32	
-2.76923	2.94505	0	177.54	40.35	
-3.64835	3.91209	0	492.27	-204.44	
-4.52747	4.61538	0	301.28	-344.32	
-5.14286	5.31868	0	212.51	-492.27	
-5.75824	6.02198	0	247.48	-535.31	
-6.28571	6.46154	0	360.46	-718.23	
-6.72527	6.9011	0	570.28	-801.62	
-7.07692	7.25275	0	750.51	-809.69	
-7.42857	7.6044	0	828.52	-925.36	
-7.69231	7.86813	0	788.17	-957.64	
-7.95604	7.95604	0	887.7	-823.14	
-8.04396	8.21978	0	798.93	-793.55	
-8.30769	8.21978	0	1073.31	-680.57	
-8.3956	8.30769	0	1011.44	-737.06	
-8.57143	8.3956	0	1062.55	-524.55	
-8.65934	8.3956	0	1237.4	-320.11	
-8.74725	8.3956	0	1108.28	-303.97	
-8.83516	8.30769	0	1110.97	56.49	
-8.83516	8.21978	0	944.19	115.67	
-8.83516	8.30769	0	914.6	293.21	
-8.83516	8.21978	0	1121.73	295.9	
-8.83516	8.21978	0	1127.11	196.37	
-8.83516	8.21978	0	1331.55	142.57	
-8.83516	8.21978	0	1506.4	188.3	
-8.83516	8.13187	0	1640.9	-8.07	
-8.74725	8.04396	0	1605.93	-24.21	
-8.57143	7.86813	0	1455.29	32.28	
-8.30769	7.78022	0	1315.41	-2.69	
-8.13187	7.6044	0	1229.33	8.07	
-7.95604	7.51648	0	1121.73	32.28	
-7.51648	7.16484	0	761.27	150.64	
-7.25275	6.98901	0	777.41	48.42	
-6.9011	6.63736	0	618.7	-13.45	
-6.46154	6.10989	0	459.99	322.8	
-6.02198	5.67033	0	554.14	142.57	
-5.49451	5.23077	0	543.38	-247.48	
-4.79121	4.61538	0	131.81	-322.8	
-4	4.17582	0	279.76	-1027.58	
-3.12088	3.47253	0	459.99	-1544.06	
-2.32967	2.59341	0	298.59	-1280.44	
-2.15385	2.24176	0	607.94	-981.85	
-1.45055	1.53846	0	914.6	-1581.72	
-0.571429	0.747253	0	866.18	-1482.19	
0.043956	0.043956	0	1049.1	-1323.48	
0.747253	-0.571429	0	1275.06	-1414.94	
1.27473	-1.0989	0	1223.95	-718.23	
1.71429	-0.835165	0	1207.81	-731.68	
2.15385	-0.747253	0	1194.36	-648.29	
2.59341	-0.747253	0	973.78	-788.17	
3.12088	-0.747253	0	979.16	-661.74	
3.47253	-0.835165	0	777.41	-852.73	
3.73626	-1.18681	0	481.51	-769.34	
4.08791	-3.03297	0	395.43	-1043.72	
4.26374	-4.35165	0	527.24	-16.14	
4.52747	-4.52747	0	199.06	-406.19	
4.87912	-4.7033	0	182.92	-538	
4.87912	-4.87912	0	-320.11	-376.6	
5.14286	-5.14286	0	134.5	-239.41	
5.05495	-5.23077	0	193.68	-129.12	
5.31868	-5.05495	0	8.07	317.42	
5.05495	-4.87912	0	-252.86	169.47	
5.23077	-5.05495	0	-72.63	807	
5.23077	-5.31868	0	2.69	492.27	
5.14286	-5.14286	0	-10.76	-107.6	
5.05495	-4.87912	0	-80.7	-94.15	
4.87912	-4.87912	0	228.65	-153.33	
4.79121	-4.61538	0	172.16	-387.36	
4.52747	-4.43956	0	298.59	-373.91	
4.43956	-4.17582	0	459.99	-634.84	
4.08791	-4	0	462.68	-661.74	
3.82418	-3.64835	0	540.69	-769.34	
3.47253	-3.2967	0	570.28	-914.6	
3.12088	-2.94505	0	712.85	-782.79	
2.68132	-2.41758	0	739.75	-968.4	
2.41758	-2.15385	0	669.81	-602.56	
1.89011	-1.71429	0	597.18	-801.62	
1.36264	-1.0989	0	497.65	-710.16	
0.747253	-0.659341	0	559.52	-408.88	
-0.131868	0.21978	0	591.8	-381.98	
-0.923077	1.18681	0	556.83	-696.71	
-1.97802	2.15385	0	879.63	-1038.34	
-2.32967	2.32967	0	906.53	-718.23	
-3.03297	3.2967	0	667.12	-825.83	
-3.91209	4.17582	0	562.21	-694.02	
-4.61538	4.79121	0	613.32	-642.91	
-5.23077	5.40659	0	470.75	-702.09	
-5.84615	6.10989	0	602.56	-710.16	
-6.28571	6.37363	0	540.69	-285.14	
-6.63736	6.63736	0	435.78	-48.42	
-6.9011	6.63736	0	554.14	209.82	
-7.25275	6.98901	0	285.14	379.29	
-7.51648	7.25275	0	481.51	465.37	
-7.69231	7.51648	0	543.38	352.39	
-7.86813	7.69231	0	529.93	298.59	
-8.04396	7.78022	0	548.76	166.78	
-8.13187	7.86813	0	521.86	449.23	
-8.30769	8.04396	0	543.38	306.66	
-8.3956	8.04396	0	594.49	309.35	
-8.57143	8.04396	0	650.98	457.3	
-8.65934	8.21978	0	683.26	309.35	
-8.57143	8.21978	0	484.2	314.73	
-8.65934	8.21978	0	519.17	317.42	
-8.65934	8.21978	0	720.92	312.04	
-8.57143	8.21978	0	605.25	164.09	
-8.65934	8.13187	0	788.17	223.27	
-8.57143	8.21978	0	858.11	147.95	
-8.30769	8.04396	0	632.15	123.74	
-8.13187	8.04396	0	330.87	-5.38	
-7.95604	7.86813	0	234.03	75.32	
-7.86813	7.78022	0	-37.66	-126.43	
-7.69231	7.6044	0	40.35	-61.87	
-7.51648	7.34066	0	-72.63	118.36	
-7.25275	7.25275	0	24.21	91.46	
-6.9011	6.98901	0	-75.32	-53.8	
-6.63736	6.63736	0	-659.05	-349.7	
-6.1978	6.28571	0	166.78	72.63	
-5.75824	5.84615	0	139.88	177.54	
-5.31868	5.23077	0	24.21	156.02	
-4.61538	4.52747	0	-102.22	-225.96	
-3.82418	3.91209	0	16.14	-24.21	
-3.03297	3.03297	0	204.44	-521.86	
-2.06593	2.32967	0	13.45	-726.3	
-1.89011	2.24176	0	172.16	-995.3	
-1.18681	1.36264	0	320.11	-1221.26	
-0.307692	0.483516	0	271.69	-1054.48	
0.483516	-0.307692	0	271.69	-909.22	
1.0989	-0.923077	0	457.3	-871.56	
1.8022	-1.45055	0	583.73	-936.12	
2.24176	-1.97802	0	379.29	-852.73	
2.68132	-2.41758	0	236.72	-527.24	
2.85714	-2.94505	0	69.94	-581.04	
3.20879	-3.38462	0	-301.28	-430.4	
3.82418	-3.73626	0	-142.57	-303.97	
4.26374	-4.08791	0	-169.47	-129.12	
4.35165	-4.35165	0	-115.67	64.56	
4.52747	-4.35165	0	287.83	234.03	
4.43956	-4.43956	0	91.46	-212.51	
4.79121	-4.87912	0	250.17	-632.15	
4.96703	-4.79121	0	209.82	-91.46	
5.05495	-5.40659	0	75.32	-45.73	
5.14286	-5.75824	0	164.09	-51.11	
5.23077	-5.67033	0	16.14	-419.64	
5.40659	-5.40659	0	-115.67	-1280.44	
5.40659	-5.05495	0	64.56	-780.1	
5.23077	-4.79121	0	21.52	-398.12	
5.14286	-4.43956	0	16.14	527.24	
5.14286	-4.79121	0	-5.38	1234.71	
5.05495	-5.05495	0	59.18	1213.19	
4.96703	-4.79121	0	-352.39	-513.79	
4.79121	-4.43956	0	-172.16	-433.09	
4.52747	-4.35165	0	-166.78	-373.91	
4.35165	-4.08791	0	244.79	-433.09	
4	-3.82418	0	112.98	-363.15	
3.73626	-3.38462	0	75.32	-516.48	
3.38462	-3.03297	0	21.52	-640.22	
2.94505	-2.59341	0	465.37	-621.39	
2.41758	-2.24176	0	338.94	-710.16	
1.89011	-1.71429	0	390.05	-680.57	
1.36264	-1.0989	0	398.12	-739.75	
0.835165	-0.571429	0	473.44	-659.05	
-0.043956	0.21978	0	411.57	-640.22	
-0.923077	1.0989	0	285.14	-591.8	
-1.8022	1.97802	0	556.83	-443.85	
-1.97802	1.89011	0	204.44	207.13	
-2.85714	2.76923	0	83.39	72.63	
-3.64835	3.73626	0	258.24	349.7	
-4.43956	4.52747	0	123.74	-5.38	
-5.05495	5.05495	0	164.09	228.65	
-5.67033	5.67033	0	158.71	96.84	
-6.10989	6.10989	0	212.51	282.45	
-6.46154	6.46154	0	134.5	177.54	
-6.81319	6.72527	0	96.84	381.98	
-7.16484	6.98901	0	147.95	425.02	
-7.42857	7.25275	0	494.96	282.45	
-7.69231	7.6044	0	554.14	166.78	
-7.86813	7.69231	0	763.96	-225.96	
-8.13187	7.86813	0	731.68	-43.04	
-8.30769	8.04396	0	906.53	-115.67	
-8.3956	8.21978	0	971.09	-190.99	
-8.65934	8.21978	0	954.95	-129.12	
-8.83516	8.21978	0	1032.96	16.14	
-8.83516	8.3956	0	1151.32	-67.25	
-8.83516	8.30769	0	981.85	34.97	
-8.83516	8.3956	0	887.7	64.56	
-8.83516	8.30769	0	1154.01	72.63	
-8.83516	8.30769	0	1151.32	228.65	
-8.83516	8.13187	0	1299.27	40.35	
-8.83516	8.04396	0	1455.29	306.66	
-8.83516	8.04396	0	1533.3	174.85	
-8.74725	7.95604	0	1546.75	150.64	
-8.57143	7.86813	0	1466.05	-21.52	
-8.3956	7.78022	0	1377.28	94.15	
-8.13187	7.6044	0	1342.31	94.15	
-7.95604	7.34066	0	1154.01	185.61	
-7.69231	7.25275	0	1218.57	-37.66	
-7.34066	6.81319	0	1100.21	-134.5	
-6.98901	6.54945	0	1043.72	-121.05	
-6.54945	6.28571	0	1051.79	-328.18	
-6.1978	5.93407	0	747.82	-527.24	
-5.49451	5.49451	0	500.34	-839.28	
-4.79121	4.79121	0	433.09	-860.8	
-4.08791	4.17582	0	459.99	-1100.21	
-3.20879	3.38462	0	414.26	-1318.1	
-2.24176	2.59341	0	309.35	-1054.48	
-1.97802	2.32967	0	602.56	-936.12	
-1.27473	1.53846	0	500.34	-1611.31	
-0.483516	0.659341	0	546.07	-1057.17	
0.395604	-0.395604	0	613.32	-739.75	
1.0989	-0.923077	0	497.65	-680.57	
1.71429	-1.53846	0	427.71	-755.89	
2.24176	-2.15385	0	373.91	-511.1	
2.68132	-2.68132	0	156.02	-250.17	
3.20879	-3.20879	0	-86.08	-64.56	
3.56044	-3.64835	0	-5.38	-48.42	
3.82418	-3.82418	0	80.7	-344.32	
4	-4.08791	0	312.04	-704.78	
4.26374	-4.7033	0	72.63	-263.62	
4.61538	-4.79121	0	56.49	-546.07	
4.61538	-4.7033	0	279.76	-879.63	
4.79121	-4.79121	0	387.36	-782.79	
4.96703	-4.79121	0	322.8	-564.9	
5.05495	-5.05495	0	328.18	-833.9	
5.05495	-5.14286	0	363.15	-1226.64	
5.14286	-4.96703	0	271.69	-769.34	
5.23077	-4.61538	0	112.98	145.26	
5.14286	-4.87912	0	-142.57	1148.63	
5.23077	-5.49451	0	-384.67	938.81	
5.31868	-5.58242	0	43.04	-182.92	
5.05495	-4.87912	0	107.6	-742.44	
4.87912	-4.26374	0	188.3	-91.46	
4.87912	-4.08791	0	78.01	91.46	
4.61538	-4.43956	0	-161.4	-303.97	
4.43956	-4.35165	0	121.05	-158.71	
4.26374	-4.08791	0	215.2	-365.84	
3.91209	-3.82418	0	147.95	-371.22	
3.56044	-3.38462	0	169.47	-451.92	
3.2967	-3.03297	0	414.26	-734.37	
2.68132	-2.59341	0	621.39	-868.87	
2.24176	-2.15385	0	570.28	-911.91	
1.8022	-1.53846	0	761.27	-917.29	
1.18681	-1.01099	0	761.27	-1092.14	
0.659341	-0.483516	0	685.95	-672.5	
-0.21978	0.307692	0	642.91	-979.16	
-1.01099	1.27473	0	543.38	-782.79	
-1.89011	2.06593	0	780.1	-788.17	
-2.24176	2.32967	0	755.89	-597.18	
-2.94505	3.12088	0	564.9	-691.33	
-3.91209	4.08791	0	581.04	-712.85	
-4.7033	4.96703	0	696.71	-981.85	
-5.23077	5.58242	0	677.88	-1135.18	
-5.93407	6.1978	0	650.98	-831.21	
-6.28571	6.46154	0	589.11	-591.8	
-6.63736	6.81319	0	548.76	-659.05	
-6.98901	6.98901	0	747.82	-365.84	
-7.25275	7.25275	0	672.5	-199.06	
-7.51648	7.34066	0	642.91	336.25	
-7.69231	7.51648	0	691.33	387.36	
-7.95604	7.51648	0	777.41	451.92	
-8.21978	7.69231	0	669.81	503.03	
-8.30769	7.78022	0	796.24	360.46	
-8.30769	7.95604	0	723.61	468.06	
-8.3956	7.95604	0	653.67	470.75	
-8.65934	7.95604	0	753.2	430.4	
-8.65934	8.13187	0	758.58	478.82	
-8.65934	8.13187	0	616.01	443.85	
-8.65934	8.21978	0	556.83	287.83	
-8.65934	8.21978	0	755.89	266.31	
-8.65934	8.30769	0	696.71	131.81	
-8.57143	8.21978	0	720.92	-67.25	
-8.3956	8.13187	0	680.57	-110.29	
-8.21978	8.30769	0	363.15	190.99	
-8.04396	8.30769	0	164.09	96.84	
-8.04396	7.86813	0	371.22	529.93	
-7.95604	7.42857	0	347.01	312.04	
-7.69231	7.6044	0	59.18	-422.33	
-7.51648	7.42857	0	80.7	-804.31	
-7.25275	7.69231	0	263.62	-322.8	
-6.98901	7.34066	0	271.69	341.63	
-6.63736	6.63736	0	-220.58	879.63	
-6.1978	5.58242	0	-147.95	355.08	
-5.75824	5.23077	0	-158.71	-712.85	
-5.05495	5.14286	0	-64.56	-973.78	
-4.43956	4.61538	0	-177.54	-726.3	
-3.82418	3.91209	0	-45.73	-37.66	
-2.94505	2.76923	0	-64.56	-48.42	
-1.97802	2.06593	0	-295.9	-48.42	
-1.8022	1.97802	0	16.14	-403.5	
-1.0989	1.18681	0	-115.67	-841.97	
-0.395604	0.307692	0	-435.78	-893.08	
0.483516	-0.395604	0	-215.2	-823.14	
1.18681	-1.01099	0	-244.79	-804.31	
1.89011	-1.62637	0	-225.96	-788.17	
2.41758	-2.15385	0	67.25	-874.25	
2.59341	-2.41758	0	164.09	-707.47	
3.03297	-2.94505	0	-223.27	-567.59	
3.64835	-3.47253	0	-156.02	-301.28	
3.91209	-3.82418	0	-126.43	-153.33	
4.17582	-4.17582	0	-207.13	158.71	
4.35165	-4.17582	0	-260.93	269	
4.61538	-4.26374	0	145.26	80.7	
4.7033	-4.79121	0	177.54	548.76	
4.96703	-5.05495	0	126.43	718.23	
4.96703	-5.58242	0	279.76	282.45	
5.05495	-5.49451	0	190.99	-368.53	
5.05495	-5.40659	0	285.14	-753.2	
5.14286	-5.31868	0	295.9	-1223.95	
5.23077	-4.61538	0	328.18	-266.31	
5.23077	-5.05495	0	204.44	642.91	
5.40659	-5.31868	0	204.44	796.24	
5.40659	-5.84615	0	322.8	220.58	
5.23077	-5.14286	0	61.87	-572.97	
5.14286	-4.96703	0	215.2	-659.05	
4.79121	-4.61538	0	-121.05	-158.71	
4.7033	-4.79121	0	-94.15	-435.78	
4.52747	-4.87912	0	-112.98	-69.94	
4.35165	-4.26374	0	-266.31	-562.21	
4.17582	-3.82418	0	301.28	-376.6	
3.91209	-3.47253	0	34.97	-153.33	
