time	R_C_yaw	R_C_roll	R_C_pitch	R_Linear	R_A_pitch	R_A_roll	L_C_yaw	L_C_roll	L_C_pitch	L_Linear	L_A_pitch	L_A_roll	
0.025	0.0114347	8.00919	5.79755	0.00774318	-5.75766	-7.97728	0.00974155	10.1852	5.76242	0.00597851	-5.72227	-10.1532	
0.05	0.0114413	8.00073	5.79768	0.00775054	-5.75778	-7.96883	0.00974808	10.1768	5.76257	0.00598749	-5.72242	-10.1449	
0.075	0.0114523	7.98641	5.79789	0.00776298	-5.75799	-7.9545	0.00975914	10.1627	5.76283	0.00600267	-5.72269	-10.1308	
0.1	0.0114682	7.96587	5.79819	0.00778079	-5.7583	-7.93396	0.00977501	10.1424	5.76321	0.00602441	-5.72306	-10.1105	
0.125	0.0114893	7.9386	5.79859	0.00780437	-5.7587	-7.90669	0.00979607	10.1155	5.7637	0.00605319	-5.72356	-10.0836	
0.15	0.0115161	7.90393	5.79909	0.00783422	-5.7592	-7.87202	0.00982284	10.0813	5.76432	0.00608968	-5.72419	-10.0494	
0.175	0.0115493	7.861	5.79971	0.00787101	-5.75983	-7.8291	0.00985597	10.0389	5.7651	0.00613467	-5.72496	-10.007	
0.2	0.0115897	7.80876	5.80046	0.0079155	-5.76058	-7.77686	0.0098963	9.98736	5.76603	0.00618915	-5.7259	-9.95545	
0.225	0.0116383	7.74591	5.80135	0.00796863	-5.76148	-7.714	0.00994479	9.92533	5.76715	0.0062543	-5.72703	-9.89342	
0.25	0.0116963	7.6709	5.80241	0.00803148	-5.76255	-7.63899	0.0100027	9.85128	5.76847	0.0063315	-5.72836	-9.81937	
0.275	0.0117651	7.58187	5.80366	0.00810528	-5.76381	-7.54996	0.0100713	9.76338	5.77003	0.00642234	-5.72993	-9.73147	
0.3	0.0118463	7.47661	5.80511	0.00819141	-5.76527	-7.4447	0.0101525	9.65945	5.77186	0.00652862	-5.73178	-9.62754	
0.325	0.0119421	7.35251	5.8068	0.00829141	-5.76697	-7.32061	0.0102481	9.5369	5.77399	0.00665238	-5.73392	-9.50499	
0.35	0.0120547	7.2065	5.80876	0.00840693	-5.76894	-7.17459	0.0103605	9.39268	5.77646	0.00679588	-5.73641	-9.36077	
0.375	0.012187	7.03493	5.811	0.00853971	-5.7712	-7.00302	0.0104925	9.22317	5.77932	0.00696154	-5.73929	-9.19127	
0.4	0.0123421	6.83354	5.81357	0.0086915	-5.77379	-6.80163	0.0106474	9.02415	5.78262	0.00715195	-5.74261	-8.99225	
0.425	0.0125239	6.59729	5.8165	0.00886396	-5.77673	-6.56538	0.0108289	8.79062	5.78639	0.00736976	-5.74641	-8.75871	
0.45	0.0127368	6.32029	5.8198	0.00905852	-5.78006	-6.28838	0.0110415	8.51669	5.7907	0.00761751	-5.75075	-8.48478	
0.475	0.0129861	5.99558	5.8235	0.00927606	-5.78378	-5.96368	0.0112905	8.19546	5.79558	0.00789747	-5.75567	-8.16355	
0.5	0.013278	5.61504	5.82759	0.00951662	-5.78791	-5.58313	0.011582	7.81879	5.80107	0.00821125	-5.7612	-7.78688	
0	0.013278	5.61504	5.82759	0.00951662	-5.78791	-5.58313	0.011582	7.81879	5.80107	0.00821125	-5.7612	-7.78688	
0.025	0.0136175	5.17184	5.83204	0.00977726	-5.79238	-5.13993	0.011921	7.37984	5.80715	0.00855727	-5.76732	-7.34794	
0.05	0.014002	4.66911	5.83665	0.0100476	-5.79703	-4.6372	0.0123051	6.8816	5.81364	0.00892455	-5.77385	-6.84969	
0.075	0.014427	4.11266	5.84121	0.0103155	-5.80162	-4.08075	0.0127296	6.32969	5.82028	0.0092999	-5.78054	-6.29778	
0.1	0.0133986	3.50743	5.84451	0.0105689	-5.8089	-3.47871	0.01319	5.72982	5.82683	0.00967055	-5.78713	-5.69791	
