L_C_roll_angle	L_C_pitch_angle	L_linear_dis	L_A_pitch_angle	L_A_roll_angle	R_C_roll_angle	R_C_pitch_angle	R_linear_dis	R_A_pitch_angle	R_A_roll_angle	L_C_roll_current	L_C_pitch_current	L_A_pitch_current	L_A_roll_current	R_C_roll_current	R_C_pitch_current	R_A_pitch_current	R_A_roll_current	
7.95604	-5.84615	-0	5.75824	-8.13187	10.0659	-5.84615	3.43612e-05	5.58242	-10.0659	-32.28	-10.76	320.11	-823.14	10.76	-129.12	425.02	-209.82	
8.04396	-5.84615	-0	5.75824	-8.13187	10.1538	-5.75824	3.43612e-05	5.49451	-10.0659	-40.35	-96.84	134.5	-758.58	161.4	-271.69	505.72	-166.78	
8.04396	-5.84615	-0	5.84615	-8.13187	10.1538	-5.84615	3.43612e-05	5.58242	-10.0659	-193.68	-2.69	277.07	-1100.21	8.07	-247.48	414.26	-142.57	
7.95604	-5.84615	-0	5.75824	-8.13187	10.0659	-5.84615	3.43612e-05	5.58242	-10.0659	-145.26	-16.14	158.71	-1097.52	40.35	-59.18	419.64	-234.03	
7.95604	-5.84615	-0	5.84615	-8.13187	10.0659	-5.84615	3.43612e-05	5.58242	-10.1538	-13.45	-21.52	10.76	-1038.34	223.27	-271.69	422.33	-188.3	
7.86813	-5.84615	-0	5.84615	-8.13187	10.0659	-5.84615	3.43612e-05	5.58242	-9.97802	-169.47	-16.14	277.07	-1097.52	118.36	-56.49	419.64	-250.17	
7.95604	-5.84615	-0	5.84615	-8.04396	9.97802	-5.75824	3.43612e-05	5.58242	-9.97802	-174.85	-56.49	223.27	-1102.9	126.43	-282.45	500.34	-188.3	
7.78022	-5.84615	-0	5.84615	-8.04396	9.97802	-5.84615	3.43612e-05	5.58242	-9.89011	-371.22	-24.21	51.11	-1320.79	8.07	-69.94	486.89	-387.36	
7.86813	-5.84615	-0	5.93407	-7.95604	9.89011	-5.75824	3.43612e-05	5.58242	-9.97802	-91.46	-112.98	21.52	-1102.9	131.81	-290.52	411.57	-142.57	
7.69231	-5.84615	-0	5.93407	-7.86813	9.89011	-5.75824	3.43612e-05	5.58242	-9.8022	196.37	-26.9	64.56	-1266.99	88.77	-99.53	422.33	-86.08	
7.6044	-5.84615	-0	5.84615	-7.86813	9.8022	-5.75824	3.43612e-05	5.58242	-9.8022	-121.05	-40.35	258.24	-1318.1	360.46	-282.45	414.26	-139.88	
7.51648	-5.75824	-0	5.84615	-7.78022	9.62637	-5.75824	3.43612e-05	5.58242	-9.8022	-352.39	-26.9	37.66	-1331.55	56.49	-317.42	416.95	-37.66	
7.42857	-5.84615	-0	5.93407	-7.69231	9.62637	-5.75824	3.43612e-05	5.58242	-9.62637	-271.69	-21.52	88.77	-1285.82	255.55	-234.03	422.33	-32.28	
7.34066	-5.84615	-0	5.84615	-7.6044	9.36264	-5.75824	3.43612e-05	5.58242	-9.53846	-333.56	-24.21	250.17	-1398.8	-78.01	-390.05	408.88	-43.04	
7.16484	-5.84615	-0	5.93407	-7.42857	9.27473	-5.75824	3.43612e-05	5.58242	-9.36264	-347.01	-13.45	182.92	-1094.83	29.59	-228.65	416.95	-255.55	
7.07692	-5.84615	-0	5.93407	-7.25275	9.18681	-5.84615	3.43612e-05	5.58242	-9.18681	-99.53	-8.07	99.53	-1331.55	40.35	-298.59	425.02	-75.32	
6.9011	-5.84615	-0	5.84615	-6.98901	8.92308	-5.75824	3.43612e-05	5.58242	-8.92308	-29.59	-121.05	91.46	-917.29	-158.71	-223.27	403.5	-263.62	
6.63736	-5.84615	-0	5.93407	-6.81319	8.83516	-5.75824	3.43612e-05	5.58242	-8.74725	-468.06	-134.5	212.51	-1245.47	333.56	-199.06	411.57	13.45	
6.28571	-5.84615	-0	5.93407	-6.54945	8.57143	-5.75824	3.43612e-05	5.58242	-8.48352	-166.78	-86.08	134.5	-1345	301.28	-320.11	481.51	-295.9	
6.02198	-5.84615	-0	5.84615	-6.28571	8.13187	-5.75824	3.43612e-05	5.58242	-8.13187	-392.74	-8.07	69.94	-1240.09	26.9	-147.95	406.19	-199.06	
5.67033	-5.84615	-0	5.93407	-5.84615	7.69231	-5.75824	3.43612e-05	5.58242	-7.78022	-32.28	-129.12	199.06	-1019.51	164.09	-156.02	546.07	-121.05	
5.67033	-5.84615	-0	5.93407	-5.75824	7.69231	-5.75824	3.43612e-05	5.58242	-7.69231	142.57	-32.28	199.06	-1049.1	45.73	-112.98	478.82	-236.72	
5.23077	-5.84615	-0	5.93407	-5.23077	7.25275	-5.75824	3.43612e-05	5.67033	-7.25275	-559.52	-21.52	217.89	-1119.04	118.36	-67.25	494.96	-182.92	
4.7033	-5.84615	-0	5.84615	-4.79121	6.72527	-5.75824	3.43612e-05	5.67033	-6.72527	-516.48	-18.83	338.94	-973.78	56.49	-236.72	470.75	-381.98	
4.08791	-5.84615	-0	5.84615	-4.26374	6.28571	-5.75824	3.43612e-05	5.67033	-6.1978	-454.61	-5.38	59.18	-1175.53	94.15	-137.19	408.88	34.97	
3.56044	-5.75824	-0	5.84615	-3.73626	5.67033	-5.84615	3.43612e-05	5.67033	-5.58242	-379.29	-223.27	209.82	-1140.56	129.12	-126.43	400.81	-150.64	
2.94505	-5.93407	-0	5.84615	-2.94505	4.96703	-5.84615	3.43612e-05	5.67033	-4.96703	-336.25	-239.41	357.77	-1124.42	-43.04	-59.18	468.06	-228.65	
2.24176	-5.93407	-0	5.93407	-2.32967	4.26374	-5.75824	3.43612e-05	5.67033	-4.26374	-239.41	-223.27	290.52	-1024.89	-26.9	-193.68	451.92	-158.71	
1.45055	-5.84615	-0	5.84615	-1.53846	3.64835	-5.84615	3.43612e-05	5.67033	-3.56044	-454.61	-193.68	344.32	-1140.56	139.88	-37.66	416.95	61.87	
0.747253	-5.84615	-0	5.93407	-0.835165	2.94505	-5.84615	3.43612e-05	5.67033	-2.76923	-279.76	-239.41	250.17	-847.35	2.69	-298.59	446.54	142.57	
0.043956	-5.93407	-0	5.84615	-0.043956	2.06593	-5.84615	3.43612e-05	5.67033	-1.97802	-207.13	-115.67	244.79	-554.14	72.63	-107.6	425.02	172.16	
-0.747253	-5.93407	-0	5.93407	0.747253	1.36264	-5.84615	3.43612e-05	5.67033	-1.18681	217.89	-250.17	306.66	-349.7	145.26	-180.23	419.64	-45.73	
-1.45055	-5.93407	-0	5.84615	1.53846	0.571429	-5.93407	3.43612e-05	5.67033	-0.483516	-64.56	-239.41	174.85	112.98	-75.32	-161.4	427.71	373.91	
-2.24176	-5.93407	-0	5.93407	2.32967	-0.131868	-5.84615	3.43612e-05	5.67033	0.395604	-129.12	-207.13	53.8	-75.32	18.83	-161.4	443.85	290.52	
-3.03297	-5.93407	-0	5.93407	3.12088	-0.923077	-5.84615	3.43612e-05	5.67033	1.0989	-123.74	-129.12	185.61	-532.62	107.6	-153.33	419.64	320.11	
-3.82418	-5.93407	-0	5.93407	3.82418	-1.71429	-5.84615	3.43612e-05	5.67033	1.89011	51.11	-142.57	72.63	-234.03	145.26	-118.36	416.95	231.34	
-4.43956	-5.93407	-0	5.93407	4.43956	-2.32967	-5.84615	3.43612e-05	5.67033	2.50549	34.97	-94.15	207.13	0	384.67	-212.51	433.09	355.08	
-5.14286	-5.93407	-0	5.84615	5.23077	-3.03297	-5.84615	3.43612e-05	5.67033	3.12088	-83.39	-301.28	59.18	-274.38	258.24	-225.96	414.26	462.68	
-5.84615	-5.93407	-0	5.93407	5.84615	-3.73626	-5.84615	3.43612e-05	5.67033	3.82418	-21.52	-234.03	51.11	-129.12	355.08	-88.77	465.37	298.59	
